gap,date,break_hour,break_time,broken_level,broken_side,contract,direction,extension_pct,extension_pts,first_break_time,gap_minutes,held_all_day,ib1_first_break_side,ib1_first_break_time,ib1_outcome,ib1_range,ib2_break_time,ib2_first_break_side,ib2_outcome,ib2_range,min_distance_pct,min_distance_pts,ratio,second_break_time,side,unbroken_level
1,2021-09-10,,,15592.75,,,,248.3,167.0,,,,,,BOTH,,,,,67.25,,,,,LOW,
1,2021-09-13,,,15357.5,,,,7.4,14.75,,,,,,BOTH,,,,,200.0,,,,,LOW,
1,2021-09-14,,,15404.75,,,,50.4,60.25,,,,,,BOTH,,,,,119.5,,,,,LOW,
1,2021-09-15,,,15433.5,,,,64.4,81.0,,,,,,BOTH,,,,,125.75,,,,,HIGH,
1,2021-09-17,,,15363.0,,,,71.1,86.75,,,,,,L_ONLY,,,,,122.0,,,,,LOW,
1,2021-09-20,,,15013.25,,,,149.1,205.75,,,,,,BOTH,,,,,138.0,,,,,LOW,
1,2021-09-21,,,15003.25,,,,22.4,28.75,,,,,,BOTH,,,,,128.5,,,,,LOW,
1,2021-09-22,,,15131.5,,,,81.8,95.5,,,,,,BOTH,,,,,116.75,,,,,HIGH,
1,2021-09-23,,,15338.5,,,,5.4,8.5,,,,,,H_ONLY,,,,,156.5,,,,,HIGH,
1,2021-09-24,,,15262.75,,,,97.9,71.5,,,,,,H_ONLY,,,,,73.0,,,,,HIGH,
1,2021-09-27,,,15214.5,,,,12.5,16.25,,,,,,BOTH,,,,,130.5,,,,,HIGH,
1,2021-09-28,,,14827.5,,,,43.1,86.75,,,,,,BOTH,,,,,201.5,,,,,LOW,
1,2021-09-29,,,14787.5,,,,64.4,76.5,,,,,,BOTH,,,,,118.75,,,,,LOW,
1,2021-09-30,,,14804.5,,,,180.8,134.25,,,,,,BOTH,,,,,74.25,,,,,LOW,
1,2021-10-04,,,14510.25,,,,67.9,142.5,,,,,,L_ONLY,,,,,209.75,,,,,LOW,
1,2021-10-05,,,14636.5,,,,85.1,118.25,,,,,,H_ONLY,,,,,139.0,,,,,HIGH,
1,2021-10-06,,,14669.0,,,,51.8,96.0,,,,,,BOTH,,,,,185.25,,,,,HIGH,
1,2021-10-07,,,14994.0,,,,5.4,7.25,,,,,,BOTH,,,,,134.75,,,,,HIGH,
1,2021-10-08,,,14845.75,,,,56.6,55.0,,,,,,L_ONLY,,,,,97.25,,,,,LOW,
1,2021-10-11,,,14722.0,,,,14.7,25.75,,,,,,BOTH,,,,,175.25,,,,,LOW,
1,2021-10-12,,,14651.5,,,,23.5,30.0,,,,,,L_ONLY,,,,,127.5,,,,,LOW,
1,2021-10-14,,,14994.0,,,,52.9,54.75,,,,,,BOTH,,,,,103.5,,,,,HIGH,
1,2021-10-15,,,15099.25,,,,72.3,38.5,,,,,,BOTH,,,,,53.25,,,,,HIGH,
1,2021-10-18,,,15160.75,,,,122.8,133.5,,,,,,H_ONLY,,,,,108.75,,,,,HIGH,
1,2021-10-19,,,15361.75,,,,70.3,42.0,,,,,,BOTH,,,,,59.75,,,,,HIGH,
1,2021-10-21,,,15428.0,,,,59.3,55.75,,,,,,H_ONLY,,,,,94.0,,,,,HIGH,
1,2021-10-25,,,15434.0,,,,96.0,107.25,,,,,,BOTH,,,,,111.75,,,,,HIGH,
1,2021-10-27,,,15648.0,,,,77.9,69.5,,,,,,H_ONLY,,,,,89.25,,,,,HIGH,
1,2021-10-29,,,15707.0,,,,153.2,139.75,,,,,,H_ONLY,,,,,91.25,,,,,HIGH,
1,2021-11-01,,,15868.5,,,,30.5,30.5,,,,,,BOTH,,,,,100.0,,,,,HIGH,
1,2021-11-02,,,15968.25,,,,11.5,12.0,,,,,,BOTH,,,,,104.25,,,,,HIGH,
1,2021-11-03,,,15997.25,,,,239.5,148.5,,,,,,BOTH,,,,,62.0,,,,,HIGH,
1,2021-11-04,,,16297.25,,,,56.1,78.75,,,,,,BOTH,,,,,140.25,,,,,HIGH,
1,2021-11-05,,,16374.75,,,,112.2,82.75,,,,,,BOTH,,,,,73.75,,,,,LOW,
1,2021-11-08,,,16317.25,,,,19.2,14.75,,,,,,BOTH,,,,,76.75,,,,,LOW,
1,2021-11-09,,,16189.5,,,,14.6,29.5,,,,,,BOTH,,,,,202.25,,,,,LOW,
1,2021-11-10,,,16041.75,,,,81.0,145.25,,,,,,BOTH,,,,,179.25,,,,,LOW,
1,2021-11-11,,,16041.25,,,,53.4,37.0,,,,,,L_ONLY,,,,,69.25,,,,,LOW,
1,2021-11-12,,,16078.0,,,,177.4,135.25,,,,,,BOTH,,,,,76.25,,,,,HIGH,
