week,cycles,wr,sr,er,pnl,category
2025-W40,283,0.8092,0.1873,42.99,12165.5,WEAKEST
2025-W39,285,0.8386,0.1614,66.66,18999.0,
2025-W43,384,0.8281,0.1693,60.18,23109.0,
2025-W48,370,0.8676,0.1297,92.68,34291.5,LOW
2025-W44,399,0.8647,0.1353,87.98,35102.5,
2025-W50,515,0.8427,0.1553,71.7,36926.0,
2025-W41,480,0.85,0.15,77.37,37137.0,MID
2025-W49,471,0.8641,0.1338,88.89,41868.0,
2025-W45,601,0.8453,0.1531,74.93,45031.0,
2025-W46,659,0.8437,0.1563,71.01,46794.0,GOOD
2025-W42,727,0.8459,0.1541,74.14,53901.0,
2025-W47,1322,0.8669,0.1324,92.6,122412.5,BEST
