filter_type,param1,param2,label,total_trades,total_pnl,up_days,down_days,win_day_pct,worst_day,max_drawdown,pnl_dd_ratio,win_rate,ev_per_trade,trades_per_day,pct_bars_allowed,trades_avoided
RAW_STD,50,-,StdDev > 50,2691,35256.77,30,30,50.0,-2679.23,11952.12,2.95,43.6,13.1,44.85,98.6,302
RANGE_RATIO,0.5,-,Range/BW > 0.5,2286,31728.6,31,29,51.7,-3017.17,11865.89,2.674,43.6,13.88,38.1,93.1,1865
PERCENTILE,200,80,Pctl tw=200 p=80,2574,35770.35,33,27,55.0,-2956.36,13742.67,2.603,44.1,13.9,42.9,79.2,3237
PERCENTILE,500,95,Pctl tw=500 p=95,2678,34673.58,28,32,46.7,-2679.23,13743.07,2.523,43.6,12.95,44.63,95.2,686
PERCENTILE,1000,95,Pctl tw=1000 p=95,2676,34822.19,30,30,50.0,-2684.72,14311.55,2.433,43.5,13.01,44.6,96.4,654
PERCENTILE,1000,90,Pctl tw=1000 p=90,2671,34859.22,29,31,48.3,-2834.7,15823.09,2.203,43.6,13.05,44.52,92.8,1189
RANGE_RATIO,0.75,-,Range/BW > 0.75,2672,34004.39,29,31,48.3,-2687.34,15643.16,2.174,43.6,12.73,44.53,99.9,26
BASELINE,-,-,No filter,2685,33042.95,29,31,48.3,-2687.34,15517.87,2.129,43.6,12.31,44.75,100.0,0
RANGE_RATIO,1.0,-,Range/BW > 1.0,2685,33042.95,29,31,48.3,-2687.34,15517.87,2.129,43.6,12.31,44.75,100.0,0
RANGE_RATIO,1.25,-,Range/BW > 1.25,2685,33042.95,29,31,48.3,-2687.34,15517.87,2.129,43.6,12.31,44.75,100.0,0
RANGE_RATIO,1.5,-,Range/BW > 1.5,2685,33042.95,29,31,48.3,-2687.34,15517.87,2.129,43.6,12.31,44.75,100.0,0
PERCENTILE,200,75,Pctl tw=200 p=75,2504,24838.43,33,27,55.0,-2979.17,12055.41,2.06,43.8,9.92,41.73,75.5,3796
PERCENTILE,1000,85,Pctl tw=1000 p=85,2644,33069.84,31,29,51.7,-2934.79,16425.58,2.013,43.6,12.51,44.07,89.0,1708
PERCENTILE,500,90,Pctl tw=500 p=90,2665,29014.3,29,31,48.3,-2875.21,15133.27,1.917,43.3,10.89,44.42,91.7,1217
PERCENTILE,200,70,Pctl tw=200 p=70,2502,24037.37,35,25,58.3,-2956.36,13377.55,1.797,43.6,9.61,41.7,71.5,4647
RAW_STD,15,-,StdDev > 15,1811,11893.93,32,26,55.2,-2588.76,6785.35,1.753,43.7,6.57,31.22,37.4,20587
PERCENTILE,500,85,Pctl tw=500 p=85,2613,29908.9,31,29,51.7,-2956.36,17877.38,1.673,43.6,11.45,43.55,87.9,1755
PERCENTILE,200,90,Pctl tw=200 p=90,2611,26474.96,30,30,50.0,-2956.36,16568.2,1.598,43.5,10.14,43.52,86.1,1878
PERCENTILE,500,80,Pctl tw=500 p=80,2613,26597.65,30,30,50.0,-2956.36,17908.17,1.485,43.4,10.18,43.55,83.8,2286
PERCENTILE,500,75,Pctl tw=500 p=75,2577,22171.36,30,30,50.0,-2956.36,17406.62,1.274,43.4,8.6,42.95,79.5,3014
PERCENTILE,200,95,Pctl tw=200 p=95,2597,22759.06,28,32,46.7,-2956.36,17940.89,1.269,43.4,8.76,43.28,89.3,1389
PERCENTILE,200,85,Pctl tw=200 p=85,2586,22204.57,31,29,51.7,-2992.19,17634.01,1.259,43.5,8.59,43.1,82.8,2611
PERCENTILE,1000,80,Pctl tw=1000 p=80,2558,19002.4,30,30,50.0,-2956.36,16444.43,1.156,43.1,7.43,42.63,85.1,2389
RAW_STD,40,-,StdDev > 40,2573,16184.18,28,32,46.7,-2956.36,14067.65,1.15,43.1,6.29,42.88,95.5,805
PERCENTILE,1000,75,Pctl tw=1000 p=75,2533,18540.0,29,31,48.3,-2956.36,17198.02,1.078,43.2,7.32,42.22,80.7,3323
PERCENTILE,500,70,Pctl tw=500 p=70,2520,16988.75,29,31,48.3,-2961.5,17485.87,0.972,43.3,6.74,42.0,75.2,3514
RAW_STD,30,-,StdDev > 30,2580,12747.86,28,32,46.7,-2884.08,14230.72,0.896,43.1,4.94,43.0,85.2,2647
RAW_STD,25,-,StdDev > 25,2516,10488.81,29,31,48.3,-2661.08,13770.8,0.762,43.2,4.17,41.93,74.4,5903
PERCENTILE,1000,70,Pctl tw=1000 p=70,2504,10145.88,25,35,41.7,-2961.5,20019.22,0.507,42.9,4.05,41.73,76.4,4485
RAW_STD,20,-,StdDev > 20,2329,2795.61,27,33,45.0,-2819.07,10232.59,0.273,42.9,1.2,38.82,59.3,9786
