hs,week,n,wr,sr,er,pnl,pf,stop_count,avg_stop_loss
40,ALL,6935,0.6877,0.3119,72.62,503602.50,2.14,2163,-204.80
40,2025-W39,306,0.6928,0.3072,73.58,22514.00,2.18,,
40,2025-W40,301,0.6645,0.3322,62.81,18906.50,1.93,,
40,2025-W41,511,0.6849,0.3151,71.50,36536.50,2.11,,
40,2025-W42,777,0.7027,0.2973,78.97,61360.50,2.30,,
40,2025-W43,418,0.6818,0.3158,69.92,29227.00,2.08,,
40,2025-W44,428,0.6846,0.3154,70.71,30262.00,2.10,,
40,2025-W45,646,0.6780,0.3220,69.57,44939.00,2.05,,
40,2025-W46,711,0.6864,0.3136,71.04,50511.50,2.11,,
40,2025-W47,1382,0.6939,0.3054,76.15,105233.00,2.21,,
40,2025-W48,394,0.7081,0.2919,80.92,31881.00,2.35,,
40,2025-W49,497,0.6761,0.3239,67.37,33480.50,2.02,,
40,2025-W50,564,0.6791,0.3209,68.71,38751.00,2.05,,
45,ALL,6666,0.8131,0.1863,75.67,504424.50,1.88,1242,-458.43
45,2025-W39,293,0.8055,0.1945,69.37,20326.00,1.78,,
45,2025-W40,285,0.8035,0.1965,67.73,19304.00,1.75,,
45,2025-W41,495,0.8101,0.1899,73.91,36583.50,1.85,,
45,2025-W42,749,0.8024,0.1976,68.58,51368.00,1.76,,
45,2025-W43,394,0.7919,0.2081,60.70,23917.00,1.64,,
45,2025-W44,414,0.8116,0.1884,73.50,30430.50,1.85,,
45,2025-W45,612,0.8186,0.1814,80.06,48997.50,1.96,,
45,2025-W46,682,0.8152,0.1848,75.60,51559.50,1.89,,
45,2025-W47,1346,0.8276,0.1716,87.01,117120.50,2.10,,
45,2025-W48,379,0.8259,0.1715,84.27,31939.00,2.06,,
45,2025-W49,480,0.8187,0.1792,79.31,38067.00,1.96,,
45,2025-W50,537,0.7970,0.2011,64.83,34812.00,1.70,,
50,ALL,6613,0.8263,0.1731,75.46,499012.50,1.85,1145,-509.76
50,2025-W39,292,0.8116,0.1884,63.94,18669.50,1.67,,
50,2025-W40,287,0.8049,0.1951,58.90,16903.50,1.60,,
50,2025-W41,494,0.8219,0.1781,72.43,35778.50,1.80,,
50,2025-W42,739,0.8214,0.1786,72.04,53236.50,1.79,,
50,2025-W43,390,0.8000,0.2000,55.71,21727.50,1.55,,
50,2025-W44,407,0.8378,0.1622,82.37,33525.50,2.00,,
50,2025-W45,610,0.8295,0.1705,78.62,47957.50,1.91,,
50,2025-W46,670,0.8313,0.1687,77.77,52108.50,1.91,,
50,2025-W47,1340,0.8410,0.1582,87.39,117098.50,2.07,,
50,2025-W48,377,0.8355,0.1618,82.30,31028.00,1.99,,
50,2025-W49,477,0.8260,0.1719,75.45,35987.50,1.86,,
50,2025-W50,530,0.8132,0.1849,66.02,34991.50,1.70,,
55,ALL,6533,0.8405,0.1586,77.84,508523.00,1.88,1036,-559.35
55,2025-W39,288,0.8299,0.1701,68.22,19647.00,1.72,,
55,2025-W40,285,0.8105,0.1895,53.41,15220.50,1.51,,
55,2025-W41,482,0.8444,0.1556,80.62,38858.00,1.93,,
55,2025-W42,733,0.8322,0.1678,71.38,52324.50,1.76,,
55,2025-W43,385,0.8104,0.1870,55.22,21258.50,1.53,,
55,2025-W44,398,0.8543,0.1457,86.81,34549.00,2.07,,
55,2025-W45,603,0.8425,0.1559,80.29,48414.00,1.92,,
55,2025-W46,662,0.8399,0.1601,75.87,50225.00,1.85,,
55,2025-W47,1329,0.8540,0.1452,89.55,119010.50,2.10,,
55,2025-W48,373,0.8499,0.1475,85.32,31822.50,2.03,,
55,2025-W49,473,0.8457,0.1522,81.66,38625.50,1.96,,
55,2025-W50,522,0.8352,0.1628,73.89,38568.00,1.81,,
60,ALL,6496,0.8507,0.1482,78.16,507737.00,1.86,963,-609.15
60,2025-W39,285,0.8386,0.1614,66.66,18999.00,1.68,,
60,2025-W40,283,0.8092,0.1873,42.99,12165.50,1.37,,
60,2025-W41,480,0.8500,0.1500,77.37,37137.00,1.85,,
60,2025-W42,727,0.8459,0.1541,74.14,53901.00,1.79,,
60,2025-W43,384,0.8281,0.1693,60.18,23109.00,1.58,,
60,2025-W44,399,0.8647,0.1353,87.98,35102.50,2.07,,
60,2025-W45,601,0.8453,0.1531,74.93,45031.00,1.80,,
60,2025-W46,659,0.8437,0.1563,71.01,46794.00,1.75,,
60,2025-W47,1322,0.8669,0.1324,92.60,122412.50,2.14,,
60,2025-W48,370,0.8676,0.1297,92.68,34291.50,2.16,,
60,2025-W49,471,0.8641,0.1338,88.89,41868.00,2.09,,
60,2025-W50,515,0.8427,0.1553,71.70,36926.00,1.76,,
