n_pts,week,cycles,wr,sr,be_pct,er,pnl,pf
BL,ALL,6496,0.8507,0.1482,0,78.16,507737.00,1.86
BL,2025-W39,285,0.8386,0.1614,0,66.66,18999.00,1.68
BL,2025-W40,283,0.8092,0.1873,0,42.99,12165.50,1.37
BL,2025-W41,480,0.8500,0.1500,0,77.37,37137.00,1.85
BL,2025-W42,727,0.8459,0.1541,0,74.14,53901.00,1.79
BL,2025-W43,384,0.8281,0.1693,0,60.18,23109.00,1.58
BL,2025-W44,399,0.8647,0.1353,0,87.98,35102.50,2.07
BL,2025-W45,601,0.8453,0.1531,0,74.93,45031.00,1.80
BL,2025-W46,659,0.8437,0.1563,0,71.01,46794.00,1.75
BL,2025-W47,1322,0.8669,0.1324,0,92.60,122412.50,2.14
BL,2025-W48,370,0.8676,0.1297,0,92.68,34291.50,2.16
BL,2025-W49,471,0.8641,0.1338,0,88.89,41868.00,2.09
BL,2025-W50,515,0.8427,0.1553,0,71.70,36926.00,1.76
3,ALL,6856,0.7265,0.0257,0.2601,74.34,509689.50,2.11
3,2025-W39,305,0.7180,0.0230,,71.31,21748.50,2.05
3,2025-W40,295,0.7017,0.0237,,64.52,19033.00,1.91
3,2025-W41,508,0.7303,0.0335,,72.02,36585.50,2.04
3,2025-W42,769,0.7360,0.0273,,77.83,59853.50,2.18
3,2025-W43,413,0.7094,0.0169,,70.58,29149.00,2.06
3,2025-W44,425,0.7294,0.0188,,76.81,32645.00,2.20
3,2025-W45,637,0.7174,0.0283,,71.37,45462.00,2.02
3,2025-W46,704,0.7259,0.0256,,73.33,51624.50,2.09
3,2025-W47,1361,0.7450,0.0345,,78.62,106998.50,2.17
3,2025-W48,391,0.7366,0.0128,,84.21,32926.00,2.39
3,2025-W49,492,0.7256,0.0061,,80.29,39501.50,2.37
3,2025-W50,556,0.6978,0.0324,,61.44,34162.50,1.82
4,ALL,6791,0.7453,0.0403,0.2225,76.91,522318.00,2.11
4,2025-W39,301,0.7409,0.0399,,73.61,22157.50,2.06
4,2025-W40,293,0.7099,0.0341,,64.82,18993.50,1.89
4,2025-W41,504,0.7440,0.0556,,70.78,35673.00,1.94
4,2025-W42,765,0.7451,0.0444,,75.58,57815.50,2.07
4,2025-W43,409,0.7139,0.0293,,68.89,28175.00,1.98
4,2025-W44,418,0.7488,0.0335,,79.94,33416.50,2.22
4,2025-W45,631,0.7464,0.0491,,74.87,47242.50,2.04
4,2025-W46,697,0.7489,0.0330,,80.10,55829.50,2.23
4,2025-W47,1350,0.7674,0.0481,,83.55,112797.50,2.23
4,2025-W48,386,0.7565,0.0233,,88.34,34099.00,2.46
4,2025-W49,487,0.7433,0.0267,,80.73,39314.50,2.27
4,2025-W50,550,0.7218,0.0418,,66.92,36804.00,1.90
5,ALL,6729,0.7569,0.0574,0.1852,76.70,516084.00,2.04
5,2025-W39,294,0.7483,0.0748,,64.61,18995.50,1.79
5,2025-W40,286,0.7238,0.0594,,59.95,17144.50,1.73
5,2025-W41,501,0.7525,0.0739,,68.62,34379.00,1.85
5,2025-W42,753,0.7610,0.0624,,76.55,57641.50,2.02
5,2025-W43,402,0.7239,0.0572,,63.45,25506.50,1.80
5,2025-W44,413,0.7579,0.0484,,79.64,32892.50,2.14
5,2025-W45,624,0.7532,0.0657,,72.82,45440.00,1.94
5,2025-W46,694,0.7608,0.0461,,81.71,56708.50,2.20
5,2025-W47,1348,0.7767,0.0623,,83.87,113060.00,2.17
5,2025-W48,384,0.7760,0.0312,,94.63,36337.50,2.59
5,2025-W49,487,0.7515,0.0431,,80.00,38961.50,2.17
5,2025-W50,543,0.7422,0.0552,,71.85,39017.00,1.95
6,ALL,6679,0.7780,0.0750,0.1464,78.13,521825.00,2.03
6,2025-W39,289,0.7785,0.1003,,66.71,19280.00,1.77
6,2025-W40,282,0.7411,0.0957,,52.31,14752.00,1.56
6,2025-W41,501,0.7585,0.0778,,69.41,34775.50,1.85
6,2025-W42,751,0.7816,0.0746,,79.96,60047.00,2.06
6,2025-W43,400,0.7375,0.0875,,56.89,22757.00,1.64
6,2025-W44,409,0.7751,0.0782,,74.65,30532.00,1.96
6,2025-W45,622,0.7814,0.0740,,80.79,50250.50,2.08
6,2025-W46,684,0.7807,0.0731,,78.87,53948.50,2.05
6,2025-W47,1345,0.8037,0.0758,,89.42,120266.00,2.25
6,2025-W48,380,0.7921,0.0474,,94.67,35975.50,2.51
6,2025-W49,483,0.7723,0.0600,,81.57,39397.50,2.15
6,2025-W50,533,0.7655,0.0713,,74.75,39843.50,1.97
7,ALL,6619,0.7986,0.0961,0.1047,77.99,516234.00,1.97
7,2025-W39,287,0.8014,0.1254,,65.91,18917.00,1.72
7,2025-W40,282,0.7518,0.1099,,50.88,14348.50,1.53
7,2025-W41,496,0.7964,0.0927,,78.83,39098.50,1.99
7,2025-W42,739,0.8011,0.0920,,80.81,59716.50,2.03
7,2025-W43,393,0.7761,0.1272,,56.13,22057.50,1.58
7,2025-W44,407,0.7985,0.0934,,78.20,31827.50,1.99
7,2025-W45,615,0.7935,0.0959,,76.76,47208.50,1.94
7,2025-W46,673,0.8009,0.0996,,76.31,51353.50,1.94
7,2025-W47,1339,0.8193,0.0926,,89.06,119252.50,2.19
7,2025-W48,379,0.8100,0.0765,,90.48,34291.00,2.29
7,2025-W49,480,0.7958,0.0813,,82.37,39536.50,2.10
7,2025-W50,529,0.7826,0.0926,,73.02,38626.50,1.89
