cycle_id,watch_start_dt,watch_price,watch_high,watch_low,watch_bars,seed_dt,exit_dt,direction,seed_price,avg_entry_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks
0,2025-09-22 09:30:00,24815.50,24824.25,24814.25,939,2025-09-22 09:30:05,2025-09-22 09:32:16,SHORT,24824.25,24829.25,24844.25,HARD_STOP,1,2,-120.00,-600.00,7309,22.00,60.00
1,2025-09-22 09:32:16,24844.25,24853.00,24843.00,2350,2025-09-22 09:33:10,2025-09-22 09:35:24,SHORT,24853.00,24853.00,24843.00,REVERSAL,0,1,40.00,200.00,4326,40.00,13.00
2,2025-09-22 09:35:24,24843.00,24843.00,24843.00,0,2025-09-22 09:35:24,2025-09-22 09:37:50,LONG,24843.00,24843.00,24853.00,REVERSAL,0,1,40.00,200.00,5086,40.00,38.00
3,2025-09-22 09:37:50,24853.00,24853.00,24853.00,0,2025-09-22 09:37:50,2025-09-22 09:39:11,SHORT,24853.00,24853.00,24843.00,REVERSAL,0,1,40.00,200.00,2205,40.00,15.00
4,2025-09-22 09:39:11,24843.00,24843.00,24843.00,0,2025-09-22 09:39:11,2025-09-22 09:41:24,LONG,24843.00,24838.00,24823.00,HARD_STOP,1,2,-120.00,-600.00,4664,3.00,60.00
5,2025-09-22 09:41:24,24823.00,24831.50,24821.50,1161,2025-09-22 09:42:00,2025-09-22 09:45:21,SHORT,24831.50,24836.50,24851.50,HARD_STOP,1,2,-120.00,-600.00,5273,12.00,60.00
6,2025-09-22 09:45:21,24851.50,24854.25,24844.25,837,2025-09-22 09:45:47,2025-09-22 09:48:04,LONG,24844.25,24844.25,24854.25,REVERSAL,0,1,40.00,200.00,2494,40.00,13.00
7,2025-09-22 09:48:04,24854.25,24854.25,24854.25,0,2025-09-22 09:48:04,2025-09-22 09:54:29,SHORT,24854.25,24859.25,24874.25,HARD_STOP,1,2,-120.00,-600.00,8269,16.00,60.00
8,2025-09-22 09:54:29,24874.25,24880.50,24870.50,2417,2025-09-22 09:55:47,2025-09-22 09:59:04,LONG,24870.50,24865.50,24870.50,REVERSAL,1,2,40.00,200.00,3843,20.00,40.00
9,2025-09-22 09:59:04,24870.50,24870.50,24870.50,0,2025-09-22 09:59:04,2025-09-22 10:10:22,SHORT,24870.50,24875.50,24870.50,REVERSAL,1,2,40.00,200.00,12128,21.00,50.00
10,2025-09-22 10:10:22,24870.50,24870.50,24870.50,0,2025-09-22 10:10:22,2025-09-22 10:16:44,LONG,24870.50,24865.50,24870.50,REVERSAL,1,2,40.00,200.00,6964,20.00,42.00
11,2025-09-22 10:16:44,24870.50,24870.50,24870.50,0,2025-09-22 10:16:44,2025-09-22 10:21:39,SHORT,24870.50,24875.50,24890.50,HARD_STOP,1,2,-120.00,-600.00,4952,8.00,60.00
12,2025-09-22 10:21:39,24890.50,24894.25,24884.25,1020,2025-09-22 10:22:06,2025-09-22 10:27:43,LONG,24884.25,24884.25,24894.25,REVERSAL,0,1,40.00,200.00,4343,40.00,5.00
13,2025-09-22 10:27:43,24894.25,24894.25,24894.25,0,2025-09-22 10:27:43,2025-09-22 10:31:17,SHORT,24894.25,24899.38,24894.50,REVERSAL,1,2,39.00,195.00,5029,19.50,41.00
14,2025-09-22 10:31:17,24894.50,24894.50,24894.50,0,2025-09-22 10:31:17,2025-09-22 10:36:03,LONG,24894.50,24894.50,24904.50,REVERSAL,0,1,40.00,200.00,3693,40.00,18.00
15,2025-09-22 10:36:03,24904.50,24904.50,24904.50,0,2025-09-22 10:36:03,2025-09-22 10:48:15,SHORT,24904.50,24909.50,24924.50,HARD_STOP,1,2,-120.00,-600.00,11300,22.00,60.00
16,2025-09-22 10:48:15,24924.50,24926.50,24916.50,1655,2025-09-22 10:49:39,2025-09-22 10:51:05,LONG,24916.50,24916.50,24926.50,REVERSAL,0,1,40.00,200.00,1298,40.00,6.00
17,2025-09-22 10:51:05,24926.50,24926.50,24926.50,0,2025-09-22 10:51:05,2025-09-22 10:54:16,SHORT,24926.50,24926.50,24916.50,REVERSAL,0,1,40.00,200.00,3282,40.00,18.00
18,2025-09-22 10:54:16,24916.50,24916.50,24916.50,0,2025-09-22 10:54:16,2025-09-22 10:56:12,LONG,24916.50,24916.50,24926.50,REVERSAL,0,1,40.00,200.00,1284,40.00,10.00
19,2025-09-22 10:56:12,24926.50,24926.50,24926.50,0,2025-09-22 10:56:12,2025-09-22 11:02:50,SHORT,24926.50,24931.50,24926.50,REVERSAL,1,2,40.00,200.00,5753,28.00,40.00
20,2025-09-22 11:02:50,24926.50,24926.50,24926.50,0,2025-09-22 11:02:50,2025-09-22 11:17:28,LONG,24926.50,24921.50,24906.50,HARD_STOP,1,2,-120.00,-600.00,11067,13.00,60.00
21,2025-09-22 11:17:28,24906.50,24914.25,24904.25,3316,2025-09-22 11:22:20,2025-09-22 11:34:07,SHORT,24914.25,24919.25,24914.25,REVERSAL,1,2,40.00,200.00,7486,20.00,40.00
22,2025-09-22 11:34:07,24914.25,24914.25,24914.25,0,2025-09-22 11:34:07,2025-09-22 11:38:36,LONG,24914.25,24909.25,24914.25,REVERSAL,1,2,40.00,200.00,5974,20.00,48.00
23,2025-09-22 11:38:36,24914.25,24914.25,24914.25,0,2025-09-22 11:38:36,2025-09-22 12:02:44,SHORT,24914.25,24919.25,24914.25,REVERSAL,1,2,40.00,200.00,13820,37.00,40.00
24,2025-09-22 12:02:44,24914.25,24914.25,24914.25,0,2025-09-22 12:02:44,2025-09-22 12:04:01,LONG,24914.25,24914.25,24924.25,REVERSAL,0,1,40.00,200.00,1291,40.00,5.00
25,2025-09-22 12:04:01,24924.25,24924.25,24924.25,0,2025-09-22 12:04:01,2025-09-22 12:05:32,SHORT,24924.25,24924.25,24914.25,REVERSAL,0,1,40.00,200.00,1100,40.00,2.00
26,2025-09-22 12:05:32,24914.25,24914.25,24914.25,0,2025-09-22 12:05:32,2025-09-22 12:06:14,LONG,24914.25,24914.25,24924.25,REVERSAL,0,1,40.00,200.00,775,40.00,15.00
27,2025-09-22 12:06:14,24924.25,24924.25,24924.25,0,2025-09-22 12:06:14,2025-09-22 12:11:00,SHORT,24924.25,24929.25,24944.25,HARD_STOP,1,2,-120.00,-600.00,6805,5.00,60.00
28,2025-09-22 12:11:00,24944.25,24951.75,24941.75,2633,2025-09-22 12:12:37,2025-09-22 12:13:28,SHORT,24951.75,24951.75,24941.75,REVERSAL,0,1,40.00,200.00,1113,40.00,4.00
29,2025-09-22 12:13:28,24941.75,24941.75,24941.75,0,2025-09-22 12:13:28,2025-09-22 12:14:18,LONG,24941.75,24941.75,24951.75,REVERSAL,0,1,40.00,200.00,764,40.00,0.00
30,2025-09-22 12:14:18,24951.75,24951.75,24951.75,0,2025-09-22 12:14:18,2025-09-22 12:24:09,SHORT,24951.75,24956.75,24951.75,REVERSAL,1,2,40.00,200.00,12723,29.00,51.00
31,2025-09-22 12:24:09,24951.75,24951.75,24951.75,0,2025-09-22 12:24:09,2025-09-22 12:25:51,LONG,24951.75,24951.75,24961.75,REVERSAL,0,1,40.00,200.00,1739,40.00,6.00
32,2025-09-22 12:25:51,24961.75,24961.75,24961.75,0,2025-09-22 12:25:51,2025-09-22 12:34:15,SHORT,24961.75,24966.75,24981.75,HARD_STOP,1,2,-120.00,-600.00,8228,18.00,60.00
33,2025-09-22 12:34:15,24981.75,24986.75,24976.75,3719,2025-09-22 12:38:06,2025-09-22 12:47:17,SHORT,24986.75,24986.75,24976.75,REVERSAL,0,1,40.00,200.00,7491,40.00,25.00
34,2025-09-22 12:47:17,24976.75,24976.75,24976.75,0,2025-09-22 12:47:17,2025-09-22 12:50:45,LONG,24976.75,24976.75,24986.75,REVERSAL,0,1,40.00,200.00,2720,40.00,4.00
35,2025-09-22 12:50:45,24986.75,24986.75,24986.75,0,2025-09-22 12:50:45,2025-09-22 13:15:15,SHORT,24986.75,24986.75,24976.75,REVERSAL,0,1,40.00,200.00,14217,40.00,31.00
36,2025-09-22 13:15:15,24976.75,24976.75,24976.75,0,2025-09-22 13:15:15,2025-09-22 13:17:45,LONG,24976.75,24976.75,24986.75,REVERSAL,0,1,40.00,200.00,2658,40.00,14.00
37,2025-09-22 13:17:45,24986.75,24986.75,24986.75,0,2025-09-22 13:17:45,2025-09-22 13:19:12,SHORT,24986.75,24986.75,24976.75,REVERSAL,0,1,40.00,200.00,1162,40.00,4.00
38,2025-09-22 13:19:12,24976.75,24976.75,24976.75,0,2025-09-22 13:19:12,2025-09-22 13:21:41,LONG,24976.75,24976.75,24986.75,REVERSAL,0,1,40.00,200.00,1690,40.00,7.00
39,2025-09-22 13:21:41,24986.75,24986.75,24986.75,0,2025-09-22 13:21:41,2025-09-22 13:33:16,SHORT,24986.75,24991.75,24986.75,REVERSAL,1,2,40.00,200.00,5885,20.00,40.00
40,2025-09-22 13:33:16,24986.75,24986.75,24986.75,0,2025-09-22 13:33:16,2025-09-22 13:48:13,LONG,24986.75,24986.75,24996.75,REVERSAL,0,1,40.00,200.00,8851,40.00,36.00
41,2025-09-22 13:48:13,24996.75,24996.75,24996.75,0,2025-09-22 13:48:13,2025-09-22 13:57:26,SHORT,24996.75,24996.75,24986.75,REVERSAL,0,1,40.00,200.00,5348,40.00,15.00
42,2025-09-22 13:57:26,24986.75,24986.75,24986.75,0,2025-09-22 13:57:26,2025-09-22 14:05:55,LONG,24986.75,24986.75,24996.75,REVERSAL,0,1,40.00,200.00,4898,40.00,16.00
43,2025-09-22 14:05:55,24996.75,24996.75,24996.75,0,2025-09-22 14:05:55,2025-09-22 14:32:19,SHORT,24996.75,25001.75,25016.75,HARD_STOP,1,2,-120.00,-600.00,15975,31.00,60.00
44,2025-09-22 14:32:19,25016.75,25018.00,25008.00,1381,2025-09-22 14:34:20,2025-09-22 14:48:19,LONG,25008.00,25008.00,25018.00,REVERSAL,0,1,40.00,200.00,6293,40.00,4.00
45,2025-09-22 14:48:19,25018.00,25018.00,25018.00,0,2025-09-22 14:48:19,2025-09-22 14:53:12,SHORT,25018.00,25018.00,25008.00,REVERSAL,0,1,40.00,200.00,2567,40.00,5.00
