cycle_id,watch_start_dt,watch_price,watch_high,watch_low,watch_bars,seed_dt,exit_dt,direction,seed_price,avg_entry_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks
0,2025-09-22 09:30:00,24815.50,24829.00,24814.25,1750,2025-09-22 09:30:14,2025-09-22 09:32:19,SHORT,24827.50,24832.50,24847.50,HARD_STOP,1,2,-120.00,-600.00,6674,35.00,60.00
1,2025-09-22 09:32:19,24847.50,24854.00,24843.75,2326,2025-09-22 09:33:13,2025-09-22 09:35:24,SHORT,24853.75,24853.75,24843.50,REVERSAL,0,1,41.00,205.00,4166,41.00,10.00
2,2025-09-22 09:35:24,24843.50,24844.50,24833.50,2600,2025-09-22 09:36:28,2025-09-22 09:36:56,LONG,24834.25,24834.25,24844.25,REVERSAL,0,1,40.00,200.00,722,40.00,2.00
3,2025-09-22 09:36:56,24844.25,24856.75,24842.50,2262,2025-09-22 09:37:58,2025-09-22 09:39:09,SHORT,24854.50,24854.50,24844.50,REVERSAL,0,1,40.00,200.00,1662,40.00,9.00
4,2025-09-22 09:39:09,24844.50,24844.75,24830.50,1338,2025-09-22 09:39:39,2025-09-22 09:42:15,LONG,24832.75,24827.75,24832.75,REVERSAL,1,2,40.00,200.00,4978,20.00,40.00
5,2025-09-22 09:42:15,24832.75,24832.75,24832.75,0,2025-09-22 09:42:15,2025-09-22 09:45:22,SHORT,24832.75,24837.75,24852.75,HARD_STOP,1,2,-120.00,-600.00,4899,14.00,60.00
6,2025-09-22 09:45:22,24852.75,24854.25,24841.00,1658,2025-09-22 09:46:33,2025-09-22 09:48:04,LONG,24844.25,24844.25,24854.25,REVERSAL,0,1,40.00,200.00,1609,40.00,13.00
7,2025-09-22 09:48:04,24854.25,24865.25,24851.50,3856,2025-09-22 09:50:28,2025-09-22 09:56:06,SHORT,24862.50,24867.50,24862.50,REVERSAL,1,2,40.00,200.00,7412,21.00,52.00
8,2025-09-22 09:56:06,24862.50,24870.25,24858.25,1838,2025-09-22 09:57:32,2025-09-22 09:58:54,LONG,24859.00,24859.00,24869.00,REVERSAL,0,1,40.00,200.00,1214,40.00,5.00
9,2025-09-22 09:58:54,24869.00,24878.75,24865.25,3786,2025-09-22 10:01:45,2025-09-22 10:02:48,SHORT,24878.00,24883.00,24878.00,REVERSAL,1,2,40.00,200.00,1819,20.00,40.00
10,2025-09-22 10:02:48,24878.00,24888.00,24873.50,4681,2025-09-22 10:07:48,2025-09-22 10:10:12,SHORT,24885.25,24885.25,24875.25,REVERSAL,0,1,40.00,200.00,1708,40.00,4.00
11,2025-09-22 10:10:12,24875.25,24875.75,24858.00,2542,2025-09-22 10:12:00,2025-09-22 10:16:16,LONG,24858.75,24858.75,24868.75,REVERSAL,0,1,40.00,200.00,4301,40.00,15.00
12,2025-09-22 10:16:16,24868.75,24879.25,24867.00,1449,2025-09-22 10:17:29,2025-09-22 10:28:16,SHORT,24877.75,24882.75,24897.75,HARD_STOP,1,2,-120.00,-600.00,10179,37.00,60.00
13,2025-09-22 10:28:16,24897.75,24906.00,24894.50,2654,2025-09-22 10:30:00,2025-09-22 10:31:17,SHORT,24904.50,24904.50,24894.50,REVERSAL,0,1,40.00,200.00,1526,40.00,1.00
14,2025-09-22 10:31:17,24894.50,24910.00,24890.00,7141,2025-09-22 10:40:01,2025-09-22 10:51:31,SHORT,24910.00,24915.00,24930.00,HARD_STOP,1,2,-120.00,-600.00,11687,6.00,60.00
15,2025-09-22 10:51:31,24930.00,24931.00,24920.25,1317,2025-09-22 10:52:52,2025-09-22 11:00:45,LONG,24921.00,24921.00,24931.00,REVERSAL,0,1,40.00,200.00,5054,40.00,28.00
16,2025-09-22 11:00:45,24931.00,24937.75,24923.50,3692,2025-09-22 11:03:16,2025-09-22 11:18:56,LONG,24925.25,24920.25,24905.25,HARD_STOP,1,2,-120.00,-600.00,11492,18.00,60.00
17,2025-09-22 11:18:56,24905.25,24916.75,24904.25,2758,2025-09-22 11:22:45,2025-09-22 11:33:25,SHORT,24915.25,24920.25,24915.25,REVERSAL,1,2,40.00,200.00,6520,20.00,40.00
18,2025-09-22 11:33:25,24915.25,24917.50,24902.50,2230,2025-09-22 11:34:53,2025-09-22 11:38:37,LONG,24904.75,24904.75,24914.75,REVERSAL,0,1,40.00,200.00,4247,40.00,30.00
19,2025-09-22 11:38:37,24914.75,24916.50,24905.00,4028,2025-09-22 11:46:05,2025-09-22 12:02:41,SHORT,24915.00,24920.00,24915.00,REVERSAL,1,2,40.00,200.00,9701,32.00,40.00
20,2025-09-22 12:02:41,24915.00,24915.00,24915.00,0,2025-09-22 12:02:41,2025-09-22 12:06:16,LONG,24915.00,24915.00,24925.00,REVERSAL,0,1,40.00,200.00,3316,40.00,18.00
21,2025-09-22 12:06:16,24925.00,24935.75,24923.00,3708,2025-09-22 12:09:14,2025-09-22 12:14:18,SHORT,24935.00,24940.00,24955.00,HARD_STOP,1,2,-120.00,-600.00,7615,14.00,60.00
22,2025-09-22 12:14:18,24955.00,24957.25,24944.50,1683,2025-09-22 12:15:19,2025-09-22 12:17:07,SHORT,24954.75,24959.75,24954.75,REVERSAL,1,2,40.00,200.00,2822,20.00,40.00
23,2025-09-22 12:17:07,24954.75,24969.25,24953.25,1630,2025-09-22 12:18:14,2025-09-22 12:19:55,SHORT,24966.25,24966.25,24956.25,REVERSAL,0,1,40.00,200.00,1856,40.00,7.00
24,2025-09-22 12:19:55,24956.25,24969.00,24953.00,2394,2025-09-22 12:21:52,2025-09-22 12:23:43,SHORT,24967.75,24967.75,24957.75,REVERSAL,0,1,40.00,200.00,1610,40.00,7.00
25,2025-09-22 12:23:43,24957.75,24960.25,24950.25,1946,2025-09-22 12:25:22,2025-09-22 12:31:47,SHORT,24960.25,24965.25,24980.25,HARD_STOP,1,2,-120.00,-600.00,6902,12.00,60.00
26,2025-09-22 12:31:47,24980.25,24984.50,24974.25,2542,2025-09-22 12:34:58,2025-09-22 12:58:27,SHORT,24984.50,24989.50,24984.50,REVERSAL,1,2,40.00,200.00,18246,35.00,40.00
27,2025-09-22 12:58:27,24984.50,24992.75,24977.75,8754,2025-09-22 13:14:47,2025-09-22 13:22:47,LONG,24979.25,24979.25,24989.25,REVERSAL,0,1,40.00,200.00,6288,40.00,24.00
28,2025-09-22 13:22:47,24989.25,24997.75,24981.50,6212,2025-09-22 13:33:59,2025-09-22 13:44:05,LONG,24982.50,24982.50,24992.50,REVERSAL,0,1,40.00,200.00,5531,40.00,19.00
29,2025-09-22 13:44:05,24992.50,25000.50,24987.00,6719,2025-09-22 13:55:23,2025-09-22 14:11:29,LONG,24988.25,24988.25,24998.25,REVERSAL,0,1,40.00,200.00,9119,40.00,22.00
