agg_bar,close,high,low,choppiness
0,24818.25,24818.25,24814.25,NaN
1,24818.75,24820.00,24815.75,NaN
2,24818.50,24821.00,24817.50,0.021277
3,24824.00,24825.00,24818.50,0.368421
4,24821.50,24825.50,24819.25,0.184615
5,24826.50,24827.75,24821.75,0.133333
6,24827.50,24829.00,24825.25,0.375000
7,24825.75,24827.75,24824.00,0.055556
8,24826.50,24829.25,24824.25,0.080000
9,24821.00,24826.50,24819.50,0.301587
10,24825.75,24827.00,24818.75,0.037037
11,24823.75,24827.25,24821.00,0.127907
12,24826.00,24826.75,24822.00,0.012987
13,24829.00,24830.00,24825.75,0.344262
14,24830.75,24832.50,24828.50,0.365385
15,24829.75,24833.00,24827.75,0.055556
16,24827.25,24830.25,24826.50,0.269231
17,24831.00,24831.25,24824.75,0.080645
18,24834.00,24834.00,24830.50,0.490909
19,24836.75,24836.75,24833.25,0.425926
20,24840.25,24840.25,24834.00,0.471698
21,24837.00,24841.00,24836.50,0.017544
22,24837.25,24839.00,24834.00,0.190476
23,24836.00,24840.00,24835.75,0.072727
24,24837.25,24842.50,24836.00,0.000000
25,24833.75,24838.25,24832.00,0.132353
26,24838.25,24838.50,24831.75,0.051282
27,24841.75,24843.75,24837.75,0.421053
28,24836.75,24842.50,24836.75,0.081081
29,24841.25,24841.25,24835.50,0.028571
30,24840.50,24842.50,24839.25,0.254237
31,24840.75,24841.75,24837.25,0.037037
32,24844.25,24844.25,24840.50,0.326087
33,24848.50,24848.50,24843.00,0.563636
34,24849.00,24850.50,24847.00,0.372549
35,24850.25,24850.25,24846.25,0.134615
36,24848.00,24850.50,24846.50,0.086957
37,24847.50,24849.50,24844.25,0.207547
38,24849.25,24849.25,24843.75,0.084746
39,24849.25,24851.50,24847.00,0.114754
40,24849.25,24850.75,24848.00,0.000000
41,24851.75,24851.75,24847.75,0.222222
42,24853.50,24854.00,24849.75,0.386364
43,24852.25,24854.75,24850.75,0.040816
44,24855.00,24855.00,24852.25,0.136364
45,24855.75,24856.25,24853.75,0.378378
46,24853.50,24856.25,24853.00,0.176471
47,24851.00,24856.25,24850.50,0.413043
48,24851.00,24852.75,24848.75,0.192308
49,24847.00,24852.25,24846.50,0.258065
50,24848.50,24849.00,24845.50,0.188679
51,24850.00,24850.50,24845.25,0.206897
52,24851.75,24853.00,24849.75,0.270833
53,24853.00,24856.00,24851.25,0.226415
54,24850.25,24854.25,24849.50,0.117647
55,24850.50,24853.25,24849.75,0.192308
56,24850.00,24851.75,24848.75,0.022222
57,24848.50,24851.50,24847.25,0.186047
58,24846.75,24851.75,24846.75,0.265306
59,24843.25,24849.00,24843.00,0.344262
60,24841.00,24844.50,24840.25,0.377049
61,24841.75,24843.75,24840.75,0.113208
62,24840.75,24844.00,24838.50,0.019608
63,24840.50,24842.00,24838.50,0.104167
64,24838.25,24841.00,24836.50,0.185185
65,24838.00,24839.50,24836.75,0.232558
66,24841.25,24843.75,24838.00,0.230769
67,24840.75,24841.75,24837.50,0.215686
68,24836.75,24841.25,24834.75,0.272727
69,24836.75,24837.50,24833.50,0.271186
70,24837.25,24838.00,24833.75,0.033898
71,24839.00,24839.00,24835.50,0.191489
72,24844.50,24844.50,24838.25,0.517857
73,24845.75,24847.00,24844.00,0.529412
74,24848.75,24849.50,24845.25,0.314815
75,24850.50,24851.25,24846.50,0.395833
76,24848.75,24850.50,24847.50,0.000000
77,24844.50,24849.50,24842.75,0.413793
78,24847.50,24847.50,24842.50,0.084746
79,24852.75,24852.75,24845.75,0.440000
80,24853.75,24854.50,24852.50,0.446429
81,24854.75,24856.75,24853.50,0.163265
82,24854.50,24856.75,24854.25,0.096774
83,24852.00,24854.75,24849.50,0.250000
84,24854.00,24854.75,24851.00,0.043478
85,24849.75,24854.25,24849.25,0.160714
86,24846.00,24851.50,24846.00,0.561404
87,24846.00,24847.75,24844.75,0.277778
88,24842.75,24847.25,24842.25,0.240741
89,24839.25,24843.75,24839.25,0.540000
90,24836.75,24839.75,24836.25,0.461538
91,24835.00,24837.50,24834.75,0.395349
92,24833.00,24836.75,24832.75,0.365854
93,24832.75,24833.50,24830.50,0.230769
94,24833.25,24834.25,24830.25,0.022727
95,24835.00,24835.50,24831.75,0.209302
96,24833.00,24835.50,24832.25,0.022727
97,24831.00,24833.25,24829.25,0.363636
98,24830.25,24832.50,24830.25,0.289474
99,24832.50,24835.50,24829.00,0.117647
100,24830.50,24837.25,24830.00,0.015625
101,24833.25,24835.00,24829.00,0.037975
102,24831.25,24833.75,24828.25,0.040000
103,24828.25,24832.00,24827.25,0.307692
104,24832.00,24833.75,24826.75,0.043478
105,24826.75,24833.00,24825.75,0.078947
106,24824.50,24828.25,24823.75,0.400000
107,24825.25,24825.50,24822.75,0.103448
108,24827.25,24829.50,24824.00,0.215686
109,24823.50,24828.00,24822.50,0.127273
110,24823.00,24824.50,24821.50,0.303571
111,24831.00,24831.00,24821.75,0.422535
112,24831.00,24832.25,24829.50,0.533333
113,24830.75,24833.00,24828.50,0.015152
114,24832.00,24834.50,24829.25,0.080000
115,24831.75,24835.00,24831.25,0.074074
116,24838.00,24838.75,24832.25,0.387097
117,24839.75,24839.75,24836.00,0.571429
118,24842.50,24844.25,24839.75,0.305085
119,24844.75,24844.75,24840.75,0.408163
120,24839.75,24845.50,24839.75,0.192982
121,24839.00,24843.75,24838.50,0.383333
122,24839.75,24841.00,24835.75,0.000000
123,24841.50,24845.25,24839.75,0.156250
124,24842.25,24844.00,24838.75,0.156250
125,24843.25,24845.00,24842.00,0.127273
126,24846.50,24849.00,24843.00,0.298246
127,24845.00,24847.50,24844.00,0.140000
128,24848.00,24848.00,24845.00,0.120000
129,24847.50,24848.75,24845.25,0.250000
130,24848.50,24849.50,24847.50,0.058824
131,24844.50,24849.25,24843.50,0.266667
132,24850.00,24850.75,24844.50,0.107143
133,24852.00,24854.00,24849.75,0.461538
134,24852.50,24854.25,24851.00,0.181818
135,24848.25,24853.00,24847.00,0.277778
136,24841.25,24848.25,24841.25,0.692308
137,24841.75,24845.25,24841.00,0.376812
138,24849.75,24850.25,24841.00,0.414634
139,24845.25,24850.00,24844.00,0.179487
140,24848.25,24848.25,24842.25,0.070588
141,24851.25,24852.50,24847.75,0.358209
142,24850.75,24854.00,24850.25,0.172414
143,24851.00,24852.00,24847.75,0.019608
144,24842.75,24851.25,24841.00,0.438356
145,24851.00,24852.00,24842.00,0.000000
146,24855.50,24855.50,24850.75,0.510000
147,24858.00,24858.75,24854.75,0.373333
148,24857.50,24859.50,24857.00,0.177778
149,24855.75,24858.00,24854.75,0.230769
150,24854.50,24855.25,24851.50,0.315789
151,24859.50,24860.00,24854.00,0.288462
152,24860.50,24860.75,24857.25,0.452830
153,24863.25,24863.25,24858.75,0.267857
154,24864.50,24865.25,24863.25,0.400000
155,24861.25,24864.50,24860.75,0.195122
156,24859.50,24862.75,24858.25,0.487805
157,24855.75,24860.25,24855.75,0.431373
158,24857.25,24859.75,24855.50,0.169811
159,24860.25,24860.75,24857.00,0.360000
160,24860.00,24861.50,24855.25,0.192982
161,24862.50,24864.00,24859.00,0.150000
162,24860.25,24862.75,24859.00,0.016667
163,24858.75,24863.00,24858.25,0.277778
164,24860.00,24861.75,24857.25,0.019231
165,24862.00,24862.25,24857.75,0.236364
166,24865.50,24866.00,24861.75,0.415094
167,24865.25,24867.25,24863.75,0.265306
168,24860.75,24867.00,24860.75,0.339286
169,24866.25,24866.25,24859.25,0.059701
170,24868.50,24869.50,24866.00,0.462687
171,24867.50,24869.50,24867.00,0.096154
172,24866.00,24867.75,24864.25,0.263158
173,24865.50,24866.75,24862.50,0.195122
174,24868.25,24869.75,24865.25,0.183673
175,24863.00,24868.50,24862.50,0.169492
176,24868.00,24868.25,24862.75,0.015625
177,24870.00,24871.00,24866.00,0.424242
178,24872.00,24872.75,24868.00,0.262295
179,24873.00,24874.50,24871.75,0.240000
180,24875.00,24875.00,24871.50,0.272727
181,24874.25,24875.75,24873.75,0.151515
