cycle_id,watch_start_dt,watch_price,watch_high,watch_low,watch_bars,seed_dt,exit_dt,direction,seed_price,avg_entry_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,hold_count
0,2025-09-22 09:30:00,24815.50,24829.25,24814.25,3068,2025-09-22 09:30:37,2025-09-22 09:32:18,SHORT,24825.50,24830.62,24845.75,HARD_STOP,1,2,-121.00,-605.00,5281,14.00,60.50,0
1,2025-09-22 09:32:18,24845.75,24856.75,24821.50,20387,2025-09-22 09:42:26,2025-09-22 09:43:11,LONG,24830.50,24830.50,24843.00,D2_EXIT,0,1,50.00,250.00,1618,60.00,0.00,1
2,2025-09-22 09:43:11,24843.00,24859.50,24835.75,7008,2025-09-22 09:48:15,2025-09-22 09:54:57,SHORT,24857.50,24862.50,24877.50,HARD_STOP,1,2,-120.00,-600.00,8344,24.00,60.00,0
3,2025-09-22 09:54:57,24877.50,24934.00,24855.00,65648,2025-09-22 11:01:00,2025-09-22 11:04:31,SHORT,24932.00,24932.00,24922.00,REVERSAL,0,1,40.00,200.00,3982,40.00,23.00,0
4,2025-09-22 11:04:31,24922.00,24926.00,24897.25,29518,2025-09-22 11:44:03,2025-09-22 11:55:28,LONG,24909.25,24909.25,24911.50,D2_EXIT,0,1,9.00,45.00,5250,40.00,10.00,1
5,2025-09-22 11:55:28,24911.50,24952.75,24907.00,19250,2025-09-22 12:13:35,2025-09-22 12:14:54,SHORT,24946.00,24951.00,24953.25,D2_EXIT,1,2,-18.00,-90.00,1750,26.00,40.00,1
6,2025-09-22 12:14:54,24953.25,24969.25,24951.00,6365,2025-09-22 12:19:12,2025-09-22 12:22:10,LONG,24959.25,24959.25,24966.00,D2_EXIT,0,1,27.00,135.00,3385,41.00,25.00,1
7,2025-09-22 12:22:10,24966.00,24993.00,24950.25,21250,2025-09-22 12:44:51,2025-09-22 13:14:58,SHORT,24982.00,24987.00,24980.25,D2_EXIT,1,2,54.00,270.00,18500,37.00,40.00,1
8,2025-09-22 13:14:58,24980.25,24997.75,24973.25,12576,2025-09-22 13:34:24,2025-09-22 13:44:36,LONG,24982.50,24982.50,24995.75,D2_EXIT,0,1,53.00,265.00,6174,56.00,19.00,1
9,2025-09-22 13:44:36,24995.75,25000.50,24982.75,10251,2025-09-22 14:03:30,2025-09-22 14:11:25,LONG,24988.00,24988.00,24996.75,D2_EXIT,0,1,35.00,175.00,4749,40.00,6.00,1
10,2025-09-22 14:11:25,24996.75,25014.50,24996.75,10547,2025-09-22 14:27:29,2025-09-22 14:35:08,SHORT,25007.50,25012.50,25010.75,D2_EXIT,1,2,14.00,70.00,4203,22.00,40.00,1
