entry_bar,exit_bar,direction,entry_price,target_price,stop_price,target_offset,stop_offset,exit_type,pnl_points,pnl_dollar,close_at_exit,high_at_exit,low_at_exit,entry_date,entry_time,exit_date,exit_time,mean,stddev,innerTop,innerBot,outerTop,outerBot
26217,26222,short,25310.0,25295.5559,25317.2221,14.4441,7.2221,reversal,9.75,195.0,25300.25,25303.25,25296.5,10/10/2025,09:30:00.038000,10/10/2025,09:30:09.918004,25303.945,6.529,25310.474,25297.416,25317.0031,25290.8869
26222,26224,long,25300.25,25313.3081,25293.721,13.0581,6.529,stop,-6.529,-130.58,25297.0,25299.75,25293.5,10/10/2025,09:30:09.918004,10/10/2025,09:30:17.202004,25303.805,6.6237,25310.4287,25297.1813,25317.0524,25290.5576
26224,26228,long,25297.0,25310.2474,25290.3763,13.2474,6.6237,target,13.2474,264.95,25306.5,25312.5,25306.25,10/10/2025,09:30:17.202004,10/10/2025,09:30:32.529000,25304.465,6.3069,25310.7719,25298.1581,25317.0789,25291.8511
26228,26230,short,25306.5,25293.8861,25312.8069,12.6139,6.3069,stop,-6.3069,-126.14,25312.5,25313.75,25309.0,10/10/2025,09:30:32.529000,10/10/2025,09:30:36.975000,25304.92,6.3983,25311.3183,25298.5217,25317.7167,25292.1233
26230,26235,short,25312.5,25299.7033,25318.8983,12.7967,6.3983,stop,-6.3983,-127.97,25323.25,25323.25,25314.25,10/10/2025,09:30:36.975000,10/10/2025,09:30:59.633000,25307.015,6.425,25313.44,25300.59,25319.8651,25294.1649
26252,26285,short,25338.75,25310.2544,25352.9978,28.4956,14.2478,reversal,4.25,85.0,25334.5,25335.0,25327.0,10/10/2025,09:32:01.306000,10/10/2025,09:36:22.714000,25333.275,6.0271,25339.3021,25327.2479,25345.3291,25321.2209
26285,26286,long,25334.5,25346.5541,25328.4729,12.0541,6.0271,reversal,3.0,60.0,25337.5,25340.5,25334.5,10/10/2025,09:36:22.714000,10/10/2025,09:36:34.514004,25333.475,5.998,25339.473,25327.477,25345.4709,25321.4791
26286,26287,short,25337.5,25325.5041,25343.498,11.9959,5.998,stop,-5.998,-119.96,25343.5,25344.25,25334.5,10/10/2025,09:36:34.514004,10/10/2025,09:36:37.714001,25333.755,6.1312,25339.8862,25327.6238,25346.0173,25321.4927
26287,26293,short,25343.5,25331.2377,25349.6312,12.2623,6.1312,stop,-6.1312,-122.62,25353.5,25353.5,25347.75,10/10/2025,09:36:37.714001,10/10/2025,09:37:17.249000,25335.745,7.3606,25343.1056,25328.3844,25350.4662,25321.0238
26305,26338,short,25367.5,25339.1353,25381.6823,28.3647,14.1823,reversal,10.75,215.0,25356.75,25360.75,25354.5,10/10/2025,09:38:05.025002,10/10/2025,09:43:16.256000,25363.25,7.1897,25370.4397,25356.0603,25377.6295,25348.8705
26338,26342,long,25356.75,25371.1295,25349.5603,14.3795,7.1897,reversal,11.5,230.0,25368.25,25370.0,25365.5,10/10/2025,09:43:16.256000,10/10/2025,09:43:59.194001,25364.78,5.1794,25369.9594,25359.6006,25375.1389,25354.4211
