time,direction,entry_price,exit_type,pnl,consec_long,consec_short,long_blocked,short_blocked
09:30:38,long,25300.25,TARGET,335.59,0,0,0,0
09:31:01,short,25317.75,STOP,-203.82,0,1,0,0
09:37:17,short,25335.0,STOP,-296.93,0,2,0,0
09:45:54,short,25367.0,STOP,-392.06,0,3,0,1
09:50:48,long,25350.25,STOP,-252.85,1,0,0,0
09:54:46,long,25345.5,STOP,-322.87,2,0,0,0
09:58:34,long,25332.25,TARGET,522.62,0,0,0,0
10:01:08,short,25365.5,TARGET,529.24,0,0,0,0
10:01:31,long,25338.0,STOP,-330.9,1,0,0,0
10:02:55,long,25321.0,TARGET,456.34,0,0,0,0
10:07:39,long,25332.5,TARGET,359.31,0,0,0,0
10:13:22,short,25351.5,TARGET,360.33,0,0,0,0
10:16:05,long,25330.0,STOP,-249.23,1,0,0,0
10:21:24,long,25320.5,REVERSAL,356.0,0,0,0,0
10:25:30,short,25338.5,STOP,-263.7,0,1,0,0
10:29:06,short,25350.5,TARGET,398.22,0,0,0,0
10:36:34,short,25344.0,TARGET,396.66,0,0,0,0
10:37:26,long,25322.25,TARGET,377.12,0,0,0,0
10:40:28,short,25341.75,TARGET,377.86,0,0,0,0
10:44:14,long,25323.75,TARGET,325.31,0,0,0,0
10:48:00,short,25343.5,STOP,-167.07,0,1,0,0
10:52:46,short,25349.5,TARGET,272.22,0,0,0,0
10:55:06,long,25333.0,REVERSAL,236.0,0,0,0,0
10:57:53,short,25345.0,TARGET,263.63,0,0,0,0
10:57:53,long,25330.0,STOP,-182.45,1,0,0,0
10:59:02,long,25225.5,STOP,-972.52,2,0,0,0
11:00:17,long,25179.25,STOP,-1218.49,3,0,1,0
11:06:46,short,25064.25,STOP,-529.3,0,1,0,0
11:07:04,short,25080.0,TARGET,699.03,0,0,0,0
11:07:18,short,25051.0,REVERSAL,476.0,0,0,0,0
11:08:56,long,25027.0,STOP,-460.09,1,0,0,0
11:09:19,long,25026.5,STOP,-468.25,2,0,0,0
11:10:07,long,24999.75,TARGET,739.05,0,0,0,0
11:10:26,long,25030.5,REVERSAL,391.0,0,0,0,0
11:10:59,short,25050.25,STOP,-494.96,0,1,0,0
11:12:17,short,25066.0,TARGET,809.79,0,0,0,0
11:13:44,short,25062.25,STOP,-539.51,0,1,0,0
11:16:19,short,25073.75,TARGET,775.71,0,0,0,0
11:17:48,long,25022.5,STOP,-541.78,1,0,0,0
11:18:17,long,24998.25,STOP,-565.39,2,0,0,0
11:21:04,long,24943.25,STOP,-1033.63,3,0,1,0
11:28:51,short,24877.25,TARGET,762.22,0,0,0,0
11:30:02,long,24832.25,STOP,-501.81,1,0,0,0
11:30:13,long,24803.75,STOP,-479.71,2,0,0,0
11:32:21,long,24765.25,STOP,-786.49,3,0,1,0
11:40:00,short,24760.5,TARGET,939.99,0,0,0,0
11:42:22,long,24711.75,TARGET,838.68,0,0,0,0
11:43:04,short,24768.75,STOP,-501.82,0,1,0,0
11:44:16,short,24785.0,STOP,-555.52,0,2,0,0
11:54:11,short,24875.5,REVERSAL,691.0,0,0,0,0
11:54:37,long,24840.75,TARGET,610.7,0,0,0,0
11:55:02,short,24882.0,TARGET,609.5,0,0,0,0
11:56:11,long,24831.25,STOP,-394.43,1,0,0,0
12:03:00,long,24800.0,STOP,-668.31,2,0,0,0
12:05:22,long,24768.25,TARGET,876.33,0,0,0,0
12:06:04,short,24799.25,REVERSAL,206.0,0,0,0,0
12:06:40,long,24788.75,STOP,-366.42,1,0,0,0
12:07:35,long,24766.25,TARGET,528.37,0,0,0,0
12:08:26,long,24795.75,REVERSAL,266.0,0,0,0,0
12:10:15,short,24809.25,TARGET,552.48,0,0,0,0
12:11:10,long,24775.75,STOP,-366.74,1,0,0,0
12:11:29,long,24766.0,TARGET,497.68,0,0,0,0
12:11:56,short,24799.0,STOP,-325.05,0,1,0,0
12:12:42,short,24794.0,STOP,-329.65,0,2,0,0
12:13:45,short,24802.75,STOP,-332.69,0,3,0,1
12:18:04,long,24776.75,STOP,-364.53,1,0,0,0
12:19:05,long,24768.25,STOP,-369.28,2,0,0,0
12:21:02,long,24776.0,STOP,-391.78,3,0,1,0
12:23:21,short,24809.25,STOP,-406.93,0,1,0,0
12:25:00,short,24835.25,TARGET,727.08,0,0,0,0
12:29:14,short,24815.75,TARGET,730.83,0,0,0,0
12:32:09,short,24806.5,STOP,-475.54,0,1,0,0
12:34:08,short,24830.0,TARGET,731.34,0,0,0,0
12:35:12,long,24784.5,STOP,-463.97,1,0,0,0
12:36:25,long,24766.5,TARGET,678.91,0,0,0,0
12:38:06,long,24786.5,STOP,-408.56,1,0,0,0
12:42:48,long,24776.5,STOP,-433.91,2,0,0,0
12:48:05,long,24742.75,STOP,-530.4,3,0,1,0
13:13:47,short,24662.75,TARGET,726.14,0,0,0,0
13:15:34,long,24621.75,TARGET,582.02,0,0,0,0
13:17:33,short,24651.75,STOP,-338.16,0,1,0,0
13:20:42,short,24649.0,TARGET,518.56,0,0,0,0
13:21:32,long,24623.75,TARGET,522.74,0,0,0,0
13:22:17,short,24650.0,STOP,-354.07,0,1,0,0
13:27:05,short,24668.5,STOP,-430.2,0,2,0,0
13:30:34,short,24701.75,STOP,-546.5,0,3,0,1
13:46:17,long,24707.25,STOP,-274.35,1,0,0,0
13:52:22,long,24686.25,STOP,-424.87,2,0,0,0
