==========================================================================================
CONSECUTIVE-STOP CIRCUIT BREAKER GRID SEARCH
(with correct target/stop resolution)
==========================================================================================
Config: LB=100, Inner=0.75, Outer=1.75
Data: NQ-250tick-calibration.csv (127567 bars)
Cost: $4.0/trade, Qty=1, No martingale, No step-up
RTH: 09:30-15:45, Entry at bar close, ddof=0

Simulation logic:
  - Target/stop checked every bar while in position
  - Priority: target > stop > reversal
  - Same-bar target+stop: close determines winner
  - Same-bar re-entry after target/stop resolution
  - Reversal: exit at close, enter opposite at close
  - Circuit breaker: block side at N consecutive stops,
    reset BOTH counters when opposite side fires

   N  Trades      PnL($)   Up   Dn  WinD%     AvgUp     AvgDn      Worst      MaxDD   PnL/DD    WR%     EV/T  CBFire  Block  Force
----------------------------------------------------------------------------------------------------------------------------------
 OFF    4433    23082.62   33   28   54.1   2461.40  -2076.55   -7025.02   23020.50    1.003   43.9     5.21       0      0      0
   2    2963    33227.92   30   30   50.0   2701.12  -1593.51   -5227.58   17680.87    1.879   43.5    11.21     609  21087    572
   3    3637    29906.88   33   28   54.1   2649.20  -2054.16   -6407.32   22818.23    1.311   43.6     8.22     346  12473    322
   4    4003    16894.02   29   32   47.5   3035.96  -2223.39   -7401.83   33801.21    0.500   43.5     4.22     198   6684    188
   5    4212    14237.90   31   30   50.8   2602.67  -2214.82   -7587.44   35651.97    0.399   43.7     3.38     106   3366    100
   7    4371    22096.11   31   30   50.8   2663.37  -2015.61   -8931.40   27791.33    0.795   43.9     5.06      27    842     26
  10    4424    23508.09   32   29   52.5   2537.92  -1989.83   -7025.02   23020.50    1.021   43.9     5.31       4    166      4

==========================================================================================
ANALYSIS
==========================================================================================
Baseline (N=OFF): 4433 trades, PnL=$23082.62, MaxDD=$23020.50, PnL/DD=1.003

Best total PnL:   N=2 ($33227.92, delta vs baseline: $+10145.30)
Best PnL/DD:      N=2 (1.879, baseline: 1.003)
Best EV/trade:    N=2 ($11.21, baseline: $5.21)

Deltas vs baseline (N=OFF):
  N= 2: PnL  +10145.30, Trades -1470, MaxDD  -5339.63, CB fired 609x, blocked 21087, forced-opposite 572
  N= 3: PnL   +6824.26, Trades  -796, MaxDD   -202.27, CB fired 346x, blocked 12473, forced-opposite 322
  N= 4: PnL   -6188.60, Trades  -430, MaxDD +10780.71, CB fired 198x, blocked 6684, forced-opposite 188
  N= 5: PnL   -8844.72, Trades  -221, MaxDD +12631.47, CB fired 106x, blocked 3366, forced-opposite 100
  N= 7: PnL    -986.51, Trades   -62, MaxDD  +4770.83, CB fired  27x, blocked  842, forced-opposite  26
  N=10: PnL    +425.47, Trades    -9, MaxDD     +0.00, CB fired   4x, blocked  166, forced-opposite   4

==========================================================================================
SINGLE-DAY TRADE LOG: 10/10/2025 (N=3)
==========================================================================================
           Time    Dir       Entry      Exit    PnL($)   CL   CS  LBlk  SBlk
---------------------------------------------------------------------------
       09:30:38   long    25300.25    TARGET    335.59    0    0     0     0
       09:31:01  short    25317.75      STOP   -203.82    0    1     0     0
       09:37:17  short    25335.00      STOP   -296.93    0    2     0     0
       09:45:54  short    25367.00      STOP   -392.06    0    3     0     1
       09:50:48   long    25350.25      STOP   -252.85    1    0     0     0
       09:54:46   long    25345.50      STOP   -322.87    2    0     0     0
       09:58:34   long    25332.25    TARGET    522.62    0    0     0     0
       10:01:08  short    25365.50    TARGET    529.24    0    0     0     0
       10:01:31   long    25338.00      STOP   -330.90    1    0     0     0
       10:02:55   long    25321.00    TARGET    456.34    0    0     0     0
       10:07:39   long    25332.50    TARGET    359.31    0    0     0     0
       10:13:22  short    25351.50    TARGET    360.33    0    0     0     0
       10:16:05   long    25330.00      STOP   -249.23    1    0     0     0
       10:21:24   long    25320.50  REVERSAL    356.00    0    0     0     0
       10:25:30  short    25338.50      STOP   -263.70    0    1     0     0
       10:29:06  short    25350.50    TARGET    398.22    0    0     0     0
       10:36:34  short    25344.00    TARGET    396.66    0    0     0     0
       10:37:26   long    25322.25    TARGET    377.12    0    0     0     0
       10:40:28  short    25341.75    TARGET    377.86    0    0     0     0
       10:44:14   long    25323.75    TARGET    325.31    0    0     0     0
       10:48:00  short    25343.50      STOP   -167.07    0    1     0     0
       10:52:46  short    25349.50    TARGET    272.22    0    0     0     0
       10:55:06   long    25333.00  REVERSAL    236.00    0    0     0     0
       10:57:53  short    25345.00    TARGET    263.63    0    0     0     0
       10:57:53   long    25330.00      STOP   -182.45    1    0     0     0
       10:59:02   long    25225.50      STOP   -972.52    2    0     0     0
       11:00:17   long    25179.25      STOP  -1218.49    3    0     1     0
       11:06:46  short    25064.25      STOP   -529.30    0    1     0     0
       11:07:04  short    25080.00    TARGET    699.03    0    0     0     0
       11:07:18  short    25051.00  REVERSAL    476.00    0    0     0     0
       11:08:56   long    25027.00      STOP   -460.09    1    0     0     0
       11:09:19   long    25026.50      STOP   -468.25    2    0     0     0
       11:10:07   long    24999.75    TARGET    739.05    0    0     0     0
       11:10:26   long    25030.50  REVERSAL    391.00    0    0     0     0
       11:10:59  short    25050.25      STOP   -494.96    0    1     0     0
       11:12:17  short    25066.00    TARGET    809.79    0    0     0     0
       11:13:44  short    25062.25      STOP   -539.51    0    1     0     0
       11:16:19  short    25073.75    TARGET    775.71    0    0     0     0
       11:17:48   long    25022.50      STOP   -541.78    1    0     0     0
       11:18:17   long    24998.25      STOP   -565.39    2    0     0     0
       11:21:04   long    24943.25      STOP  -1033.63    3    0     1     0
       11:28:51  short    24877.25    TARGET    762.22    0    0     0     0
       11:30:02   long    24832.25      STOP   -501.81    1    0     0     0
       11:30:13   long    24803.75      STOP   -479.71    2    0     0     0
       11:32:21   long    24765.25      STOP   -786.49    3    0     1     0
