config,ema_period,ema_threshold,total_trades,total_pnl,up_days,down_days,win_day_pct,avg_up_day,avg_down_day,worst_day,max_drawdown,pnl_dd_ratio,win_rate,ev_per_trade,trades_per_day,filter_active_pct
EMA50_thr0.25,50,0.25,2218,39309.88,35,24,59.3,2003.79,-1284.27,-3745.04,9179.62,4.282,44.7,17.72,37.59,29.7
EMA30_thr0.1,30,0.1,2409,34294.34,32,28,53.3,2074.3,-1145.83,-4084.65,8437.67,4.064,44.5,14.24,40.15,35.4
EMA20_thr0.1,20,0.1,2303,30484.29,35,25,58.3,1778.11,-1269.97,-4058.2,9275.54,3.287,44.9,13.24,38.38,30.6
EMA20_thr0.0,20,0.0,2508,36211.6,36,24,60.0,1836.11,-1245.34,-4970.77,11192.8,3.235,45.0,14.44,41.8,39.0
EMA50_thr0.0,50,0.0,2893,42047.36,33,27,55.0,2551.23,-1560.85,-6563.86,14685.32,2.863,44.3,14.53,48.22,72.1
EMA30_thr0.25,30,0.25,1956,33997.68,39,20,66.1,1650.91,-1519.38,-4602.43,12595.91,2.699,44.6,17.38,33.15,21.4
EMA30_thr0.0,30,0.0,2638,34702.85,36,25,59.0,1961.23,-1436.05,-3868.79,13123.45,2.644,44.4,13.15,43.25,45.8
EMA20_thr0.25,20,0.25,1909,28910.1,36,23,61.0,1719.61,-1434.6,-4789.43,11985.03,2.412,44.7,15.14,32.36,18.4
EMA50_thr0.1,50,0.1,2704,33416.57,31,30,50.8,2293.48,-1256.04,-4476.76,14054.06,2.378,44.2,12.36,44.33,51.8
EMA75_thr0.1,75,0.1,2931,33980.45,28,32,46.7,2866.61,-1446.39,-5961.52,15339.86,2.215,43.5,11.59,48.85,94.2
baseline,none,none,2963,33227.92,30,30,50.0,2701.12,-1593.51,-5227.58,17680.87,1.879,43.5,11.21,49.38,100.0
EMA75_thr0.0,75,0.0,2960,33434.72,30,30,50.0,2741.85,-1627.35,-5227.58,17997.09,1.858,43.6,11.3,49.33,99.9
EMA100_thr0.0,100,0.0,2916,29774.14,30,30,50.0,2657.04,-1664.56,-4324.39,19573.24,1.521,43.3,10.21,48.6,98.5
EMA75_thr0.25,75,0.25,2546,21023.79,33,27,55.0,1913.02,-1559.48,-5091.49,18225.12,1.154,43.9,8.26,42.43,52.5
EMA150_thr0.0,150,0.0,2236,20183.71,28,32,46.7,2411.13,-1479.0,-5196.64,20340.84,0.992,43.6,9.03,37.27,79.2
EMA100_thr0.25,100,0.25,2353,17581.04,30,30,50.0,2250.18,-1664.14,-5052.3,19351.93,0.908,43.3,7.47,39.22,74.7
EMA100_thr0.1,100,0.1,2798,14874.68,30,30,50.0,2326.84,-1831.01,-5854.27,25093.53,0.593,42.8,5.32,46.63,94.4
EMA150_thr0.1,150,0.1,1987,8134.51,29,31,48.3,2023.17,-1630.23,-4955.89,15846.57,0.513,43.3,4.09,33.12,70.0
EMA150_thr0.25,150,0.25,1503,7046.91,31,30,50.8,1947.24,-1777.24,-5961.18,21483.97,0.328,44.3,4.69,24.64,49.4
EMA20_thr0.5,20,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
EMA30_thr0.5,30,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
EMA50_thr0.5,50,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
EMA75_thr0.5,75,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
EMA100_thr0.5,100,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
EMA150_thr0.5,150,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
