filter,n,retention,wr,sr,er,pnl,delta_er
baseline,5047,1.0,0.8165,0.1821,50.84,256614.00,0.00
dr2<=0.00,4455,0.8827,0.8202,0.1789,53.55,238566.00,2.71
dr2<=-0.10,4060,0.8044,0.8227,0.1764,55.56,225565.50,4.71
dr2<=-0.20,3764,0.7458,0.8273,0.1716,59.34,223337.00,8.49
dr2<=-0.30,3431,0.6798,0.8350,0.1638,65.62,225143.00,14.78
dr2<=-0.40,3167,0.6275,0.8390,0.1598,68.87,218120.00,18.03
dr2<=-0.50,2868,0.5683,0.8417,0.1573,70.91,203363.50,20.06
dr2<=-0.60,2564,0.5080,0.8413,0.1576,70.65,181150.00,19.81
dr2<=-0.70,2260,0.4478,0.8456,0.1531,74.18,167643.50,23.33
dr2<=-0.80,1854,0.3673,0.8447,0.1537,73.61,136479.00,22.77
dslope<=0.00,4844,0.9598,0.8167,0.1823,50.82,246183.00,-0.02
dslope<=-1.00,4340,0.8599,0.8210,0.1781,54.31,235698.00,3.46
dslope<=-2.00,3468,0.6871,0.8253,0.1745,57.58,199674.00,6.73
dslope<=-3.00,2632,0.5215,0.8347,0.1653,65.45,172268.00,14.61
dslope<=-4.00,1902,0.3769,0.8417,0.1583,71.40,135801.50,20.55
dslope<=-5.00,1369,0.2713,0.8466,0.1534,75.72,103654.50,24.87
dslope<=-6.00,979,0.1940,0.8560,0.1440,83.63,81874.00,32.79
dslope<=-8.00,473,0.0937,0.8626,0.1374,89.69,42425.50,38.85
dr2<=-0.20+dslope<=-2.0,3030,0.6004,0.8337,0.1660,64.32,194898.00,13.48
dr2<=-0.20+dslope<=-3.0,2359,0.4674,0.8393,0.1607,69.08,162965.50,18.24
dr2<=-0.20+dslope<=-4.0,1739,0.3446,0.8447,0.1553,73.77,128283.50,22.92
dr2<=-0.20+dslope<=-5.0,1272,0.2520,0.8483,0.1517,77.03,97984.00,26.19
dr2<=-0.30+dslope<=-2.0,2869,0.5685,0.8393,0.1603,68.89,197635.00,18.04
dr2<=-0.30+dslope<=-3.0,2276,0.4510,0.8440,0.1560,72.85,165813.50,22.01
dr2<=-0.30+dslope<=-4.0,1707,0.3382,0.8465,0.1535,75.23,128423.50,24.39
dr2<=-0.30+dslope<=-5.0,1256,0.2489,0.8495,0.1505,78.06,98041.50,27.21
dr2<=-0.40+dslope<=-2.0,2705,0.5360,0.8410,0.1586,70.30,190171.50,19.46
dr2<=-0.40+dslope<=-3.0,2175,0.4309,0.8460,0.1540,74.42,161869.00,23.58
dr2<=-0.40+dslope<=-4.0,1651,0.3271,0.8486,0.1514,76.90,126959.00,26.05
dr2<=-0.40+dslope<=-5.0,1225,0.2427,0.8522,0.1478,80.27,98327.50,29.42
dr2<=-0.50+dslope<=-2.0,2496,0.4946,0.8433,0.1562,72.15,180075.00,21.30
dr2<=-0.50+dslope<=-3.0,2045,0.4052,0.8479,0.1521,75.92,155247.00,25.07
dr2<=-0.50+dslope<=-4.0,1587,0.3144,0.8494,0.1506,77.53,123034.00,26.68
dr2<=-0.50+dslope<=-5.0,1184,0.2346,0.8530,0.1470,80.93,95822.00,30.09
