filter,scope,n,retention,wr,sr,er,delta_er,pnl
chop_only,pooled,10312,1.0000,0.8194,0.1786,53.43,0.00,550919.50
chop_only,W39,438,,0.8059,0.1895,42.60,0.00,18658.00
chop_only,W43,557,,0.7917,0.2029,32.14,0.00,17900.00
chop_only,W46,1022,,0.8229,0.1771,54.29,0.00,55486.50
chop_only,W47,2227,,0.8208,0.1787,55.05,0.00,122600.00
chop_only,W50,803,,0.8194,0.1793,52.27,0.00,41969.50
dr2<=-0.20+ds<=-2.0,pooled,7193,0.6975,0.8275,0.1714,59.52,6.10,428143.00
dr2<=-0.20+ds<=-2.0,W39,296,,0.8142,0.1858,46.74,4.15,13836.50
dr2<=-0.20+ds<=-2.0,W43,403,,0.8114,0.1886,45.21,13.07,18219.00
dr2<=-0.20+ds<=-2.0,W46,756,,0.8347,0.1653,63.75,9.46,48193.50
dr2<=-0.20+ds<=-2.0,W47,1542,,0.8411,0.1589,71.08,16.03,109607.50
dr2<=-0.20+ds<=-2.0,W50,560,,0.8339,0.1643,64.35,12.08,36034.00
dr2<=-0.30+ds<=-2.0,pooled,6952,0.6742,0.8293,0.1696,60.97,7.54,423839.50
dr2<=-0.30+ds<=-2.0,W39,294,,0.8163,0.1837,48.49,5.89,14255.50
dr2<=-0.30+ds<=-2.0,W43,397,,0.8136,0.1864,47.11,14.98,18703.50
dr2<=-0.30+ds<=-2.0,W46,714,,0.8389,0.1611,67.10,12.81,47909.50
dr2<=-0.30+ds<=-2.0,W47,1475,,0.8468,0.1532,75.67,20.62,111608.50
dr2<=-0.30+ds<=-2.0,W50,544,,0.8290,0.1691,60.45,8.18,32884.50
dr2<=-0.40+ds<=-2.0,pooled,6624,0.6424,0.8321,0.1668,63.22,9.80,418785.00
dr2<=-0.40+ds<=-2.0,W39,288,,0.8229,0.1771,53.81,11.21,15497.50
dr2<=-0.40+ds<=-2.0,W43,390,,0.8179,0.1821,50.57,18.43,19721.50
dr2<=-0.40+ds<=-2.0,W46,669,,0.8311,0.1689,60.67,6.38,40589.00
dr2<=-0.40+ds<=-2.0,W47,1394,,0.8479,0.1521,76.56,21.51,106722.00
dr2<=-0.40+ds<=-2.0,W50,526,,0.8308,0.1673,61.97,9.71,32597.50
