filter,n,retention,wr,sr,er,pnl
baseline,3226,1.0,0.8357,0.1637,65.77,212184.50
fc<0.5+fs<0.3,2008,0.6224,0.8889,0.1106,108.82,218511.50
fc<0.5+fs<0.5,2123,0.6581,0.8865,0.1130,106.85,226838.00
fc<0.5+fs<1.0,2336,0.7241,0.8759,0.1237,98.25,229511.50
fc<0.6+fs<0.3,2098,0.6503,0.8866,0.1130,106.93,224339.50
fc<0.6+fs<0.5,2229,0.6909,0.8834,0.1162,104.35,232598.50
fc<0.6+fs<1.0,2450,0.7595,0.8731,0.1265,96.01,235233.50
fc<0.7+fs<0.3,2184,0.6770,0.8819,0.1177,103.10,225180.00
fc<0.7+fs<0.5,2321,0.7195,0.8785,0.1211,100.40,233039.00
fc<0.7+fs<1.0,2558,0.7929,0.8679,0.1317,91.79,234797.50
fc<0.8+fs<0.3,2232,0.6919,0.8781,0.1214,100.05,223312.50
fc<0.8+fs<0.5,2385,0.7393,0.8742,0.1254,96.89,231090.50
fc<0.8+fs<1.0,2639,0.8180,0.8632,0.1364,87.99,232209.00
fc<1.0+fs<0.3,2293,0.7108,0.8731,0.1260,96.07,220281.00
fc<1.0+fs<0.5,2468,0.7650,0.8671,0.1321,91.23,225151.00
fc<1.0+fs<1.0,2768,0.8580,0.8515,0.1478,78.60,217565.50
