rank,week,category,bl_n,ef_n,retention,bl_wr,ef_wr,bl_sr,ef_sr,bl_pnl,ef_pnl,bl_er,ef_er
1,2025-W40,WEAKEST,412,279,0.6772,0.8325,0.8029,0.1626,0.1971,26088.00,10461.00,63.32,37.49
2,2025-W39,,438,288,0.6575,0.8059,0.8229,0.1895,0.1771,18658.00,15497.50,42.60,53.81
3,2025-W43,,557,390,0.7002,0.7917,0.8179,0.2029,0.1821,17900.00,19721.50,32.14,50.57
4,2025-W49,LOW,738,469,0.6355,0.8225,0.8209,0.1734,0.1770,42181.50,25429.00,57.16,54.22
5,2025-W41,,764,484,0.6335,0.8220,0.8223,0.1767,0.1756,41873.50,27002.50,54.81,55.79
6,2025-W48,,631,383,0.6070,0.8352,0.8460,0.1632,0.1514,41710.00,28833.50,66.10,75.28
7,2025-W44,MID,663,415,0.6259,0.8160,0.8410,0.1810,0.1566,33794.00,28983.50,50.97,69.84
8,2025-W50,,803,526,0.6550,0.8194,0.8308,0.1793,0.1673,41969.50,32597.50,52.27,61.97
9,2025-W45,,907,608,0.6703,0.8313,0.8273,0.1665,0.1711,58196.00,37432.00,64.16,61.57
10,2025-W46,GOOD,1022,669,0.6546,0.8229,0.8311,0.1771,0.1689,55486.50,40589.00,54.29,60.67
11,2025-W42,,1150,719,0.6252,0.8078,0.8317,0.1904,0.1669,50462.50,45516.00,43.88,63.30
12,2025-W47,BEST,2227,1394,0.6260,0.8208,0.8479,0.1787,0.1521,122600.00,106722.00,55.05,76.56
