lookback,inner_mult,outer_mult,martingale,total_trades,total_pnl,up_days,down_days,flat_days,trading_days,win_day_pct,avg_up_day,avg_down_day,worst_day,max_drawdown,pnl_maxdd_ratio,largest_single_loss,ev_per_trade,profit_factor,trades_per_day
30,1.25,1.5,m1.5_max2,10433,75964.27,42,18,0,60,70.0,3035.33,-2862.2,-6767.1,11883.26,6.3925,-474.91,7.28,1.0857,173.88
20,1.0,2.0,m1.5_max2,16224,51417.62,42,18,0,60,70.0,3841.48,-6106.91,-23343.23,25873.57,1.9873,-1524.29,3.17,1.0229,270.4
20,0.75,1.25,m1.5_max2,13838,64274.45,40,20,0,60,66.67,3046.03,-2878.35,-10994.33,14839.05,4.3314,-681.91,4.64,1.0563,230.63
40,1.25,2.5,m2.0_max2,7070,82220.15,40,20,0,60,66.67,4947.09,-5783.16,-14369.04,28904.84,2.8445,-2432.95,11.63,1.0422,117.83
75,0.5,3.0,none,5802,42534.95,40,20,0,60,66.67,2827.39,-3528.03,-9130.66,23038.18,1.8463,-2135.8,7.33,1.045,96.7
40,1.25,3.0,m1.5_max2,5770,40602.05,40,20,0,60,66.67,3821.24,-5612.37,-12519.75,34501.25,1.1768,-2965.67,7.04,1.0283,96.17
30,1.25,1.5,none,10433,41216.1,39,21,0,60,65.0,1828.26,-1432.67,-3904.85,5875.32,7.0151,-237.46,3.95,1.0818,173.88
30,1.25,1.5,m2.0_max2,10433,79144.89,39,21,0,60,65.0,3485.65,-2704.54,-7284.65,11677.19,6.7777,-474.91,7.59,1.0835,173.88
75,1.5,2.5,none,3896,56937.33,39,21,0,60,65.0,3093.37,-3033.53,-8239.5,11793.53,4.8278,-1229.45,14.61,1.0684,64.93
75,1.5,2.5,m1.5_max2,3896,96734.54,39,21,0,60,65.0,5223.58,-5094.53,-12594.59,24400.66,3.9644,-2458.9,24.83,1.0769,64.93
100,1.5,2.0,m2.0_max2,4744,104549.75,39,21,0,60,65.0,5337.82,-4934.54,-15478.06,27948.77,3.7408,-1471.2,22.04,1.0789,79.07
100,1.5,3.0,m1.5_max2,2273,57853.32,39,21,0,60,65.0,4117.52,-4891.9,-11522.75,19491.96,2.9681,-3553.8,25.45,1.0618,37.88
20,1.25,1.75,m1.5_max2,16588,79375.91,39,21,0,60,65.0,4308.88,-4222.4,-15331.91,28196.89,2.8151,-803.39,4.79,1.0431,276.47
100,1.5,2.0,m1.5_max2,4744,89328.41,39,21,0,60,65.0,5036.29,-5099.37,-17345.62,32791.3,2.7241,-1471.2,18.83,1.0731,79.07
100,1.5,3.0,m2.0_max2,2273,66686.84,39,21,0,60,65.0,4859.57,-5849.36,-14460.48,26691.54,2.4984,-3553.8,29.34,1.0602,37.88
75,0.5,2.0,m1.5_max2,7317,55451.44,39,21,0,60,65.0,3477.92,-3818.44,-13915.53,23344.29,2.3754,-2897.53,7.58,1.0421,121.95
30,1.5,2.0,m2.0_max2,12678,39041.3,39,21,0,60,65.0,3963.76,-5502.17,-11676.89,37671.19,1.0364,-896.38,3.08,1.0192,211.3
