lookback,inner_mult,outer_mult,label,total_trades,total_pnl,up_days,down_days,total_days,win_day_pct,avg_up_day,avg_down_day,worst_day,best_day,max_drawdown,pnl_maxdd_ratio,trades_per_day,win_rate,ev_per_trade,profit_factor,consistency_score
20,1.0,1.25,smallest drawdowns,10126,43840.16,39,22,61,63.93,1627.1,-891.68,-2731.34,10807.48,5197.61,8.4347,166.0,15.62,4.33,1.1201,0.5635
20,0.5,1.75,good consistency + low DD,22848,6612.98,35,26,61,57.38,2432.3,-3019.91,-8810.38,10611.68,25797.83,0.2563,374.56,56.1,0.29,1.0038,-1.6646
20,0.5,2.0,highest win day %,23806,6231.4,35,26,61,57.38,2831.67,-3572.19,-11083.62,12482.03,20835.33,0.2991,390.26,59.45,0.26,1.0033,-1.3447
20,1.5,2.0,best EV,17186,23360.97,36,25,61,59.02,2493.38,-2656.03,-11904.29,10376.33,19974.24,1.1696,281.74,19.57,1.36,1.0189,0.0856
20,0.75,2.5,holdout winner,17579,-17647.62,30,31,61,49.18,3204.42,-3670.33,-12777.67,13519.35,32115.67,-0.5495,288.18,56.05,-1.0,0.9904,
20,1.0,1.5,nearby combo to test,15837,54269.37,34,27,61,55.74,3029.0,-1804.32,-7360.09,18308.86,15995.11,3.3929,259.62,26.28,3.43,1.0553,0.3931
20,0.75,1.75,nearby combo to test,18381,20409.09,33,28,61,54.1,2916.51,-2708.42,-12163.72,8016.94,17711.24,1.1523,301.33,44.79,1.11,1.0131,0.0715
30,1.0,1.25,smallest drawdowns,9403,11584.35,35,25,60,58.33,1358.41,-1438.4,-4567.12,10247.47,10829.11,1.0697,156.72,14.63,1.23,1.0277,0.038
30,0.5,1.75,good consistency + low DD,16795,-14355.42,30,31,61,49.18,2272.39,-2662.17,-11526.15,13136.39,29812.7,-0.4815,275.33,56.3,-0.85,0.9908,
30,0.5,2.0,highest win day %,17086,799.37,32,29,61,52.46,2582.54,-2822.13,-12186.31,12946.43,24467.83,0.0327,280.1,60.17,0.05,1.0005,-15.5326
30,1.5,2.0,best EV,12683,67.34,36,25,61,59.02,1933.3,-2781.26,-6654.68,6463.03,22322.63,0.003,207.92,18.76,0.01,1.0001,-195.0582
30,0.75,2.5,holdout winner,11758,-6024.83,27,33,60,45.0,3118.64,-2734.19,-9519.63,13310.1,24832.53,-0.2426,195.97,56.73,-0.51,0.996,
30,1.0,1.5,nearby combo to test,12664,13130.96,32,29,61,52.46,2195.7,-1970.05,-6330.8,7923.25,18165.34,0.7229,207.61,25.02,1.04,1.0136,-0.2011
30,0.75,1.75,nearby combo to test,13111,-1107.35,31,29,60,51.67,2351.52,-2551.88,-10119.45,7622.66,26750.22,-0.0414,218.52,44.17,-0.08,0.9992,
40,1.0,1.25,smallest drawdowns,8905,19411.66,32,28,60,53.33,1719.3,-1271.64,-3956.95,9355.7,14939.44,1.2994,148.42,14.52,2.18,1.0425,0.1229
40,0.5,1.75,good consistency + low DD,13364,-7598.12,29,32,61,47.54,2530.15,-2530.39,-8815.61,8024.21,23120.97,-0.3286,219.08,57.13,-0.57,0.9946,
40,0.5,2.0,highest win day %,13254,-9583.72,32,29,61,52.46,2321.63,-2892.27,-7336.98,10263.35,24755.84,-0.3871,217.28,60.79,-0.72,0.9935,
