lookback,inner_mult,outer_mult,martingale,total_trades,total_pnl,up_days,down_days,win_day_pct,avg_up_day,avg_down_day,worst_day,best_day,max_drawdown,pnl_maxdd_ratio,largest_trade_loss,win_rate,ev_per_trade,profit_factor,max_consec_losses
20,1.0,1.25,none,8290,-35391.78,22,38,36.7,1139.04,-1590.81,-4110.65,7228.3,37841.43,-0.94,-593.41,34.1,-4.27,0.93,16
20,1.0,1.25,m1.5_max2,8290,-43121.09,26,34,43.3,1665.4,-2541.81,-6754.4,10609.96,47345.0,-0.91,-1163.98,34.1,-5.2,0.94,16
20,1.0,1.25,m1.5_max3,8290,-54863.84,23,37,38.3,2360.67,-2950.25,-8204.84,11803.45,60210.77,-0.91,-1715.4,34.1,-6.62,0.94,16
20,1.0,1.25,m2.0_max2,8290,-60921.46,23,37,38.3,1895.77,-2824.98,-7448.66,8359.26,67738.21,-0.9,-1163.98,34.1,-7.35,0.93,16
20,1.0,1.25,m2.0_max3,8290,-68650.77,26,34,43.3,2391.65,-3848.05,-10186.77,11740.92,77241.77,-0.89,-1745.98,34.1,-8.28,0.94,16
20,1.0,1.5,none,12976,-96507.63,16,44,26.7,2292.53,-3027.0,-9352.11,9198.9,98871.18,-0.98,-871.25,35.4,-7.44,0.9,15
20,1.0,1.5,m1.5_max2,12976,-125087.23,18,42,30.0,3247.19,-4369.92,-15645.3,10456.04,128798.22,-0.97,-1742.5,35.4,-9.64,0.91,15
20,1.0,1.5,m1.5_max3,12976,-143389.99,21,39,35.0,3702.4,-5670.26,-19242.19,15718.62,148521.08,-0.97,-1883.59,35.4,-11.05,0.91,15
20,1.0,1.5,m2.0_max2,12976,-150008.3,18,42,30.0,3768.43,-5186.67,-17588.38,13665.6,153663.19,-0.98,-1742.5,35.4,-11.56,0.91,15
20,1.0,1.5,m2.0_max3,12976,-178587.9,18,42,30.0,4997.96,-6394.08,-23881.57,14922.74,183590.23,-0.97,-2613.74,35.4,-13.76,0.92,15
50,1.0,1.25,none,6413,-19705.28,20,40,33.3,2336.25,-1660.76,-6385.44,9964.96,28902.23,-0.68,-775.03,25.2,-3.07,0.96,24
50,1.0,1.25,m1.5_max2,6413,-17717.18,24,36,40.0,3789.52,-3018.49,-9794.39,18398.97,30757.6,-0.58,-1550.06,25.2,-2.76,0.98,24
50,1.0,1.25,m1.5_max3,6413,-15192.82,25,35,41.7,5411.52,-4299.45,-14346.18,21735.45,38412.44,-0.4,-2061.96,25.2,-2.37,0.99,24
50,1.0,1.25,m2.0_max2,6413,-29274.31,22,38,36.7,4157.05,-3177.09,-10925.61,16092.36,47488.2,-0.62,-1550.06,25.2,-4.56,0.97,24
50,1.0,1.25,m2.0_max3,6413,-27286.21,26,34,43.3,5205.79,-4783.43,-15053.73,24526.37,49343.57,-0.55,-2325.1,25.2,-4.25,0.98,24
50,0.5,1.75,none,9974,-18417.56,31,29,51.7,2001.1,-2774.2,-8768.34,6773.62,39986.76,-0.46,-1258.76,44.5,-1.85,0.98,17
50,0.5,1.75,m1.5_max2,9974,-2631.42,32,28,53.3,3345.56,-3917.48,-13989.3,16824.64,41441.31,-0.06,-2517.51,44.5,-0.26,1.0,17
50,0.5,1.75,m1.5_max3,9974,3614.03,33,27,55.0,4075.46,-4847.27,-17541.97,19742.61,38024.55,0.1,-3156.37,44.5,0.36,1.0,17
50,0.5,1.75,m2.0_max2,9974,-11378.03,31,29,51.7,3855.61,-4513.86,-15401.82,17088.3,50242.83,-0.23,-2517.51,44.5,-1.14,0.99,17
50,0.5,1.75,m2.0_max3,9974,4408.1,29,31,48.3,5707.24,-5196.83,-20622.78,27600.51,52569.42,0.08,-3776.27,44.5,0.44,1.0,17
100,0.75,1.75,none,5477,8443.52,32,28,53.3,2361.33,-2397.11,-8805.0,9000.48,25912.36,0.33,-2262.68,30.9,1.54,1.01,23
100,0.75,1.75,m1.5_max2,5477,9774.59,31,29,51.7,4134.39,-4082.47,-14531.29,16015.46,52109.41,0.19,-2265.37,30.9,1.78,1.01,23
100,0.75,1.75,m1.5_max3,5477,3651.06,29,31,48.3,5872.28,-5375.65,-23547.69,20943.9,79889.23,0.05,-3349.92,30.9,0.67,1.0,23
100,0.75,1.75,m2.0_max2,5477,5495.63,28,32,46.7,4635.41,-3884.25,-15782.96,15851.94,50787.9,0.11,-2920.87,30.9,1.0,1.0,23
100,0.75,1.75,m2.0_max3,5477,6826.69,31,29,51.7,6005.99,-6184.79,-24835.99,22866.93,76984.95,0.09,-3398.06,30.9,1.25,1.0,23
