inner_mult,outer_mult,martingale,total_trades,total_pnl,pnl_per_day,win_rate_pct,max_drawdown,max_consec_losses,profit_factor,avg_win,avg_loss,largest_loss,pnl_maxdd_ratio
1.5,2.0,no_martingale,8394,39718.19,544.08,18.79,15448.04,35,1.0429,612.47,-135.86,-577.28,2.5711
1.5,2.0,m1.5_max2,8394,85283.41,1168.27,18.79,29576.95,35,1.0542,1051.8,-230.81,-1154.55,2.8834
1.5,2.0,m1.5_max3,8394,128418.17,1759.15,18.79,40541.12,35,1.0612,1410.97,-307.57,-1671.11,3.1676
1.5,2.0,m2.0_max2,8394,79574.39,1090.06,18.79,30933.66,35,1.0465,1134.79,-250.84,-1154.55,2.5724
1.5,2.0,m2.0_max3,8394,125139.61,1714.24,18.79,45090.77,35,1.0531,1574.12,-345.79,-1731.83,2.7753
1.5,2.0,m2.0_max4,8394,170704.83,2338.42,18.79,59277.64,35,1.0568,2013.44,-440.74,-2309.1,2.8798
0.5,2.0,no_martingale,10747,46167.4,632.43,62.33,22536.07,8,1.0351,203.17,-324.82,-1484.85,2.0486
0.5,2.0,m1.5_max2,10747,42608.92,583.68,62.33,26764.65,8,1.027,242.33,-390.5,-2969.69,1.592
0.5,2.0,m1.5_max3,10747,46768.48,640.66,62.33,24076.28,8,1.0277,258.64,-416.47,-4166.89,1.9425
0.5,2.0,m2.0_max2,10747,64268.89,880.4,62.33,34855.54,8,1.0337,294.31,-471.17,-2969.69,1.8439
0.5,2.0,m2.0_max3,10747,60710.41,831.65,62.33,39920.0,8,1.0279,333.46,-536.85,-4454.54,1.5208
0.5,2.0,m2.0_max4,10747,57151.94,782.9,62.33,45439.6,8,1.0234,372.62,-602.53,-5939.39,1.2578
1.5,3.0,no_martingale,4445,15818.83,216.7,40.4,20132.06,17,1.0164,546.88,-364.81,-1657.27,0.7858
1.5,3.0,m1.5_max2,4445,-696.43,-9.54,40.4,44402.83,17,0.9995,750.36,-509.0,-3314.55,-0.0157
1.5,3.0,m1.5_max3,4445,-32192.64,-441.0,40.4,73273.84,17,0.9796,861.16,-596.01,-4971.82,-0.4393
1.5,3.0,m2.0_max2,4445,37431.56,512.76,40.4,34188.26,17,1.0237,901.61,-597.15,-3314.55,1.0949
1.5,3.0,m2.0_max3,4445,20916.3,286.52,40.4,60794.51,17,1.0107,1105.08,-741.34,-4971.82,0.344
1.5,3.0,m2.0_max4,4445,4401.05,60.29,40.4,89256.12,17,1.0019,1308.56,-885.53,-6629.1,0.0493
0.75,2.5,no_martingale,7090,24621.98,337.29,57.67,17935.77,8,1.0209,293.58,-391.81,-1949.63,1.3728
0.75,2.5,m1.5_max2,7090,22669.27,310.54,57.67,24818.43,8,1.0157,358.88,-481.44,-3899.26,0.9134
0.75,2.5,m1.5_max3,7090,26636.18,364.88,57.67,27178.95,8,1.0171,388.39,-520.32,-5848.88,0.98
0.75,2.5,m2.0_max2,7090,56855.61,778.84,57.67,26668.97,8,1.0328,437.64,-577.36,-3899.26,2.1319
0.75,2.5,m2.0_max3,7090,54902.91,752.09,57.67,37179.08,8,1.0274,502.94,-666.99,-5848.88,1.4767
0.75,2.5,m2.0_max4,7090,52950.2,725.35,57.67,48082.41,8,1.0233,568.24,-756.61,-7798.51,1.1012
0.5,1.75,no_martingale,10966,37924.47,519.51,58.4,17689.5,11,1.0297,205.09,-279.58,-1271.24,2.1439
0.5,1.75,m1.5_max2,10966,58502.38,801.4,58.4,23683.94,11,1.0375,252.89,-342.18,-2542.48,2.4701
0.5,1.75,m1.5_max3,10966,67433.78,923.75,58.4,31072.46,11,1.0401,273.13,-368.63,-3813.72,2.1702
0.5,1.75,m2.0_max2,10966,66946.06,917.07,58.4,25897.8,11,1.0353,306.41,-415.46,-2542.48,2.585
0.5,1.75,m2.0_max3,10966,87523.98,1198.96,58.4,31469.93,11,1.0401,354.22,-478.06,-3813.72,2.7812
0.5,1.75,m2.0_max4,10966,108101.89,1480.85,58.4,37896.64,11,1.0438,402.03,-540.66,-5084.96,2.8525
1.0,2.0,no_martingale,7027,12228.14,167.51,37.78,23618.39,18,1.0111,417.69,-250.85,-1095.67,0.5177
1.0,2.0,m1.5_max2,7027,34918.64,478.34,37.78,32110.03,18,1.0222,605.49,-359.71,-2191.33,1.0875
1.0,2.0,m1.5_max3,7027,34362.84,470.72,37.78,38722.61,18,1.0184,715.42,-426.59,-2969.69,0.8874
1.0,2.0,m2.0_max2,7027,43889.23,601.22,37.78,36641.28,18,1.024,706.71,-419.12,-2191.33,1.1978
1.0,2.0,m2.0_max3,7027,66579.73,912.05,37.78,48997.07,18,1.0288,894.51,-527.98,-3287.0,1.3589
1.0,2.0,m2.0_max4,7027,89270.24,1222.88,37.78,62222.2,18,1.0321,1082.31,-636.84,-4382.66,1.4347
