max_daily_loss,total_trades,total_pnl,up_days,down_days,win_day_pct,avg_up_day,avg_down_day,worst_day,max_drawdown,pnl_dd_ratio,win_rate,ev_per_trade,trades_per_day,days_halted,days_halted_pct
0.0,2963,33227.92,30,30,50.0,2701.12,-1593.51,-5227.58,17680.87,1.879,43.5,11.21,49.38,0,0.0
500.0,937,-3677.03,11,49,18.3,2745.18,-691.3,-1144.03,12590.85,-0.292,40.9,-3.92,15.62,48,80.0
1000.0,1659,3364.96,20,40,33.3,2463.26,-1147.5,-1911.22,13839.49,0.243,42.0,2.03,27.65,37,61.7
1500.0,2071,2916.68,22,38,36.7,2344.5,-1280.58,-2110.79,16161.54,0.18,42.1,1.41,34.52,25,41.7
2000.0,2496,28535.42,27,33,45.0,2762.97,-1395.89,-2428.73,12582.97,2.268,43.5,11.43,41.6,16,26.7
2500.0,2685,33042.73,29,31,48.3,2746.26,-1503.18,-2687.34,15517.87,2.129,43.6,12.31,44.75,12,20.0
3000.0,2773,33785.89,30,30,50.0,2701.12,-1574.91,-3460.64,18846.86,1.793,43.6,12.18,46.22,8,13.3
4000.0,2856,32573.71,30,30,50.0,2701.12,-1615.32,-4395.93,18185.29,1.791,43.6,11.41,47.6,4,6.7
5000.0,2892,31609.67,30,30,50.0,2701.12,-1647.45,-5357.78,19343.88,1.634,43.5,10.93,48.2,2,3.3
7500.0,2963,33227.92,30,30,50.0,2701.12,-1593.51,-5227.58,17680.87,1.879,43.5,11.21,49.38,0,0.0
10000.0,2963,33227.92,30,30,50.0,2701.12,-1593.51,-5227.58,17680.87,1.879,43.5,11.21,49.38,0,0.0
