inner_mult,outer_mult,total_trades,win_count,loss_count,win_rate_pct,avg_win_dollar,avg_loss_dollar,ev_per_trade_dollar,profit_factor,max_consecutive_losses,trades_per_day,avg_target_dist_pts,avg_stop_dist_pts,reward_risk_ratio,target_exits,stop_exits,reversal_exits
1.5,2.0,8394,1577,6817,18.79,612.47,-135.86,4.73,1.0429,35,114.99,41.29,6.88,6.0,435,6817,1142
0.5,2.0,10747,6699,4017,62.33,203.17,-327.33,4.3,1.0351,8,147.22,11.91,17.86,0.6667,4770,3564,2413
1.5,3.0,4445,1796,2649,40.4,546.88,-364.81,3.56,1.0164,17,60.89,37.93,18.96,2.0,718,2638,1089
0.75,2.5,7090,4089,2992,57.67,293.58,-392.99,3.47,1.0209,8,97.12,17.81,20.78,0.8571,2597,2852,1641
0.5,1.75,10966,6404,4529,58.4,205.09,-281.62,3.46,1.0297,11,150.22,11.99,14.98,0.8,4551,4133,2282
1.25,2.0,7375,2053,5322,27.84,517.35,-194.95,3.34,1.0237,30,101.03,33.09,9.93,3.3333,812,5317,1246
0.5,2.5,9907,6647,3223,67.09,197.89,-398.73,3.05,1.0235,7,135.71,11.62,23.25,0.5,4739,2663,2505
1.25,2.5,5626,2153,3471,38.27,497.92,-304.07,2.95,1.0157,18,77.07,31.56,15.78,2.0,1051,3454,1121
0.5,3.0,8883,6263,2586,70.51,191.97,-454.8,2.95,1.0223,7,121.68,11.51,28.77,0.4,4363,1933,2587
1.25,3.0,4574,2160,2412,47.22,463.95,-409.96,2.91,1.0135,11,62.66,30.69,21.48,1.4286,1020,2382,1172
1.5,2.5,5829,1776,4053,30.47,587.51,-253.44,2.78,1.0158,22,79.85,39.0,13.0,3.0,694,4053,1082
0.75,3.0,6278,3968,2300,63.2,281.8,-478.78,2.7,1.0154,7,86.0,17.48,26.22,0.6667,2423,2092,1763
1.0,1.75,8030,2555,5474,31.82,418.54,-191.82,2.41,1.0184,23,110.0,25.98,9.74,2.6667,1215,5466,1349
1.0,1.25,8330,1181,7149,14.18,421.96,-67.08,2.25,1.0391,48,114.11,27.03,3.38,8.0,474,7147,709
0.75,2.0,7797,3864,3925,49.56,309.1,-300.01,2.16,1.0143,10,106.81,18.41,15.34,1.2,2480,3852,1465
1.0,2.0,7027,2655,4371,37.78,417.69,-250.91,1.74,1.0111,18,96.26,25.6,12.8,2.0,1424,4353,1250
1.5,1.75,8847,921,7926,10.41,637.75,-72.24,1.67,1.0258,66,121.19,43.64,3.64,12.0,241,7926,680
1.0,3.0,5026,2747,2275,54.66,374.9,-449.52,1.43,1.007,8,68.85,24.06,24.06,1.0,1443,2182,1401
1.25,1.5,8617,1025,7592,11.9,528.28,-69.71,1.42,1.0232,46,118.04,35.08,3.51,10.0,362,7592,663
0.5,1.5,11113,5901,5185,53.1,204.87,-230.71,1.14,1.0106,11,152.23,12.0,12.0,1.0,4178,4844,2091
1.25,1.75,8803,1833,6970,20.82,512.42,-133.48,1.01,1.0096,28,120.59,33.76,6.75,5.0,603,6968,1232
1.0,1.5,9164,2226,6938,24.29,406.9,-129.69,0.65,1.0066,20,125.53,26.18,6.54,4.0,882,6930,1352
0.75,1.75,8304,3656,4639,44.03,312.3,-244.99,0.63,1.0046,14,113.75,18.64,12.43,1.5,2292,4582,1430
1.0,2.5,5855,2768,3084,47.28,395.96,-355.28,0.06,1.0003,15,80.21,24.58,18.43,1.3333,1558,3045,1252
0.5,1.25,10963,5095,5840,46.47,201.65,-176.66,-0.39,0.9959,15,150.18,12.0,9.0,1.3333,3447,5576,1940
0.75,1.25,9635,2825,6808,29.32,297.01,-124.44,-0.85,0.9904,22,131.99,18.73,6.24,3.0,1405,6784,1446
0.75,1.5,9070,3387,5675,37.34,308.57,-185.61,-0.91,0.9922,17,124.25,18.71,9.35,2.0,1964,5625,1481
