inner_mult,outer_mult,regime,trade_count,win_rate_pct,ev_per_trade_dollar
0.5,1.25,low,5455,47.44,4.44
0.5,1.25,medium,3495,45.61,-0.46
0.5,1.25,high,2013,45.36,-13.32
0.5,1.5,low,5566,53.4,3.78
0.5,1.5,medium,3509,52.55,1.2
0.5,1.5,high,2038,53.24,-6.17
0.5,1.75,low,5478,58.51,4.88
0.5,1.75,medium,3461,57.87,1.39
0.5,1.75,high,2027,59.0,3.15
0.5,2.0,low,5423,62.46,6.98
0.5,2.0,medium,3370,61.99,1.79
0.5,2.0,high,1954,62.59,1.17
0.5,2.5,low,5133,67.45,6.17
0.5,2.5,medium,3137,66.82,-0.06
0.5,2.5,high,1637,66.52,-0.76
0.5,3.0,low,4683,71.3,6.95
0.5,3.0,medium,2751,70.27,0.79
0.5,3.0,high,1449,68.39,-5.89
0.75,1.25,low,4510,29.89,2.21
0.75,1.25,medium,3104,28.16,-2.26
0.75,1.25,high,2021,29.84,-5.51
0.75,1.5,low,4313,37.58,2.59
0.75,1.5,medium,2867,36.66,0.96
0.75,1.5,high,1890,37.83,-11.72
0.75,1.75,low,3968,44.23,4.51
0.75,1.75,medium,2636,42.56,-3.51
0.75,1.75,high,1700,45.82,-2.0
0.75,2.0,low,3757,49.56,4.96
0.75,2.0,medium,2475,48.73,-0.2
0.75,2.0,high,1565,50.86,-0.86
0.75,2.5,low,3519,57.63,6.33
0.75,2.5,medium,2305,56.96,-5.26
0.75,2.5,high,1266,59.08,11.42
0.75,3.0,low,3221,63.99,9.95
0.75,3.0,medium,2009,62.42,-5.4
0.75,3.0,high,1048,62.31,-4.04
1.0,1.25,low,3359,13.07,-0.24
1.0,1.25,medium,2826,13.91,1.91
1.0,1.25,high,2145,16.27,6.61
1.0,1.5,low,3953,23.55,1.5
1.0,1.5,medium,3065,23.92,0.26
1.0,1.5,high,2146,26.19,-0.36
1.0,1.75,low,3544,30.47,1.45
1.0,1.75,medium,2629,31.57,2.47
1.0,1.75,high,1857,34.73,4.16
1.0,2.0,low,3143,36.78,3.27
1.0,2.0,medium,2285,37.42,3.15
1.0,2.0,high,1599,40.28,-3.28
1.0,2.5,low,2748,46.32,3.33
1.0,2.5,medium,1946,46.56,-6.8
1.0,2.5,high,1161,50.73,3.8
1.0,3.0,low,2455,54.18,4.35
1.0,3.0,medium,1644,53.53,-13.16
1.0,3.0,high,927,57.93,19.55
1.25,1.5,low,3270,11.38,1.73
1.25,1.5,medium,2908,11.14,-1.63
1.25,1.5,high,2439,13.49,4.65
1.25,1.75,low,3607,19.74,2.27
1.25,1.75,medium,2949,20.21,0.41
1.25,1.75,high,2247,23.36,-0.21
1.25,2.0,low,3115,25.97,0.99
1.25,2.0,medium,2422,28.12,9.19
1.25,2.0,high,1838,30.63,-0.4
1.25,2.5,low,2514,36.2,1.31
1.25,2.5,medium,1918,37.23,-6.59
1.25,2.5,high,1194,44.3,21.73
1.25,3.0,low,2161,45.3,5.0
1.25,3.0,medium,1527,47.74,4.77
1.25,3.0,high,886,51.02,-5.4
1.5,1.75,low,3125,9.18,0.26
1.5,1.75,medium,2971,10.43,4.09
1.5,1.75,high,2751,11.78,0.66
1.5,2.0,low,3278,16.5,-1.21
1.5,2.0,medium,2806,19.92,17.9
1.5,2.0,high,2310,20.65,-2.83
1.5,2.5,low,2475,28.0,2.29
1.5,2.5,medium,2007,30.69,7.35
1.5,2.5,high,1347,34.67,-3.11
1.5,3.0,low,1995,37.29,2.33
1.5,3.0,medium,1512,41.07,13.05
1.5,3.0,high,938,45.95,-9.13
