from_block,to_block,from_class,to_class,gap,from_wr,to_wr,from_pnl,to_pnl,from_std100,to_std100,delta_std100,from_avg_range_10,to_avg_range_10,delta_avg_range_10,from_avg_duration_10,to_avg_duration_10,delta_avg_duration_10,from_range_bw_ratio,to_range_bw_ratio,delta_range_bw_ratio,from_band_width,to_band_width,delta_band_width,from_ema_position,to_ema_position,delta_ema_position,from_price_position,to_price_position,delta_price_position,from_stddev_ratio,to_stddev_ratio,delta_stddev_ratio,from_hour,to_hour,delta_hour
40,41,LOW,HIGH,1,35.0,60.0,-1625.14,3901.87,16.395227,17.162219,0.7669920000000019,9.14125,7.99,-1.1512499999999992,17.175,12.705,-4.470000000000001,0.414288,0.324192,-0.09009600000000001,24.592841,25.743328,1.1504870000000018,0.507068,0.515596,0.008528000000000091,0.536135,0.439878,-0.09625700000000004,0.2295,0.349018,0.11951799999999999,12.35,10.55,-1.799999999999999
41,42,HIGH,LOW,1,60.0,35.0,3901.87,-1193.54,17.162219,16.612862,-0.5493570000000005,7.99,9.12125,1.1312499999999996,12.705,11.65,-1.0549999999999997,0.324192,0.3846,0.06040800000000002,25.743328,24.919293,-0.8240350000000021,0.515596,0.538521,0.022924999999999973,0.439878,0.399515,-0.04036299999999998,0.349018,0.594779,0.24576099999999995,10.55,10.4,-0.15000000000000036
66,68,LOW,HIGH,2,25.0,60.0,-2295.1,3115.33,14.153614,13.79656,-0.35705399999999976,6.72,7.225,0.5049999999999999,13.51,20.805,7.295,0.349348,0.412301,0.06295299999999998,21.230421,20.694841,-0.5355799999999995,0.584828,0.485063,-0.09976499999999999,0.669567,0.492747,-0.17682000000000003,0.28404,0.42082,0.13678,11.9,11.9,0.0
68,69,HIGH,LOW,1,60.0,35.0,3115.33,-1127.29,13.79656,13.303007,-0.49355300000000035,7.225,7.86125,0.6362500000000004,20.805,14.24,-6.5649999999999995,0.412301,0.417152,0.00485100000000005,20.694841,19.954511,-0.7403300000000002,0.485063,0.583236,0.09817299999999995,0.492747,0.629881,0.13713400000000003,0.42082,0.279432,-0.141388,11.9,10.3,-1.5999999999999996
78,80,LOW,HIGH,2,35.0,60.0,-1973.66,2980.48,15.237505,12.070929,-3.166576000000001,7.86,6.03,-1.83,11.04,20.71,9.670000000000002,0.367444,0.380084,0.012639999999999985,22.856258,18.106393,-4.749865,0.530185,0.541677,0.011491999999999947,0.461911,0.577231,0.11532000000000003,0.25602,0.287718,0.03169799999999995,10.15,13.0,2.8499999999999996
80,82,HIGH,LOW,2,60.0,35.0,2980.48,-451.68,12.070929,16.219401,4.148472000000002,6.03,7.39125,1.36125,20.71,12.615,-8.095,0.380084,0.360856,-0.019227999999999967,18.106393,24.329101,6.222708000000001,0.541677,0.4476,-0.09407699999999997,0.577231,0.399064,-0.17816700000000008,0.287718,0.537814,0.25009600000000004,13.0,10.45,-2.5500000000000007
97,99,HIGH,LOW,2,60.0,25.0,3261.22,-2509.75,22.177212,18.793418,-3.3837940000000017,12.25125,12.17375,-0.07750000000000057,14.245,7.05,-7.194999999999999,0.45148,0.436421,-0.015058999999999989,33.265817,28.190128,-5.075688999999997,0.51201,0.574782,0.06277200000000005,0.546668,0.456763,-0.08990500000000007,0.450457,0.336649,-0.11380800000000002,12.5,9.8,-2.6999999999999993
99,100,LOW,HIGH,1,25.0,60.0,-2509.75,3705.72,18.793418,26.993455,8.200037000000002,12.17375,14.9775,2.803749999999999,7.05,5.42,-1.63,0.436421,0.393549,-0.04287200000000002,28.190128,40.490182,12.300053999999996,0.574782,0.547959,-0.02682300000000004,0.456763,0.5399,0.08313700000000007,0.336649,0.234008,-0.10264099999999998,9.8,11.45,1.6499999999999986
102,104,HIGH,LOW,2,60.0,25.0,5195.06,-4982.98,26.436724,28.349052,1.9123279999999987,15.135,16.0325,0.8974999999999991,10.855,9.08,-1.7750000000000004,0.385324,0.406128,0.02080399999999999,39.655085,42.523578,2.868493000000001,0.481636,0.484541,0.002904999999999991,0.487861,0.484376,-0.003485000000000016,0.328007,0.444863,0.11685600000000002,12.45,10.75,-1.6999999999999993
103,104,HIGH,LOW,1,60.0,25.0,7641.71,-4982.98,34.353522,28.349052,-6.004469999999998,15.8,16.0325,0.23249999999999815,5.565,9.08,3.5149999999999997,0.325866,0.406128,0.080262,51.530283,42.523578,-9.006704999999997,0.452898,0.484541,0.03164299999999998,0.334977,0.484376,0.14939899999999995,0.708443,0.444863,-0.26358000000000004,9.3,10.75,1.4499999999999993
104,106,LOW,HIGH,2,25.0,60.0,-4982.98,5162.08,28.349052,24.275558,-4.073494,16.0325,12.35,-3.682499999999999,9.08,13.02,3.9399999999999995,0.406128,0.379199,-0.02692899999999998,42.523578,36.413337,-6.110241000000002,0.484541,0.428236,-0.056304999999999994,0.484376,0.293816,-0.19055999999999995,0.444863,0.282683,-0.16218,10.75,11.15,0.40000000000000036
110,111,HIGH,LOW,1,80.0,25.0,6852.46,-3211.48,21.863856,16.821209,-5.042646999999999,13.74125,8.21125,-5.530000000000001,10.345,17.29,6.9449999999999985,0.448392,0.357727,-0.090665,32.795784,25.231814,-7.563969999999998,0.445859,0.598628,0.15276900000000004,0.427915,0.63373,0.20581500000000003,0.439662,0.339272,-0.10038999999999998,10.2,11.6,1.4000000000000004
111,113,LOW,HIGH,2,25.0,60.0,-3211.48,2413.11,16.821209,13.332584,-3.488624999999999,8.21125,6.98,-1.2312499999999993,17.29,24.71,7.420000000000002,0.357727,0.363383,0.005655999999999994,25.231814,19.998876,-5.232938000000001,0.598628,0.532406,-0.066222,0.63373,0.500178,-0.133552,0.339272,0.515688,0.17641600000000002,11.6,13.2,1.5999999999999996
113,115,HIGH,LOW,2,60.0,35.0,2413.11,-1748.21,13.332584,15.607169,2.274585,6.98,9.0275,2.0474999999999994,24.71,11.265,-13.445,0.363383,0.431413,0.06802999999999998,19.998876,23.410753,3.4118770000000005,0.532406,0.510138,-0.022268000000000066,0.500178,0.620428,0.12024999999999997,0.515688,0.408801,-0.10688700000000001,13.2,9.8,-3.3999999999999986
132,133,HIGH,LOW,1,60.0,20.0,20.09,-3806.63,22.178256,17.839934,-4.338322000000002,10.07875,8.5225,-1.5562499999999986,12.925,7.055,-5.870000000000001,0.391978,0.344754,-0.04722399999999999,33.267385,26.7599,-6.507484999999999,0.489798,0.401308,-0.08849000000000001,0.47663,0.288622,-0.188008,0.511644,0.282048,-0.22959599999999997,14.45,9.25,-5.199999999999999
