cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,avg_entry_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,entry_signed_chop,entry_dchop,entry_d2chop,entry_signed_slope,entry_dr2,entry_dslope
2764,W43,WEAKEST,2025-10-20 09:30:37,2025-10-20 09:31:55,SHORT,25170.5000,25175.5000,25170.5000,REVERSAL,1,2,40.0000,200.0000,3778,20.0000,50.0000,0.075758,-0.168687,0.092487,0.625000,-0.793956,-2.125000
2765,W43,WEAKEST,2025-10-20 09:32:10,2025-10-20 09:33:14,SHORT,25182.5000,25187.5000,25182.5000,REVERSAL,1,2,40.0000,200.0000,2644,20.0000,56.0000,0.048780,-0.252295,-0.241443,0.500000,-0.151819,-3.000000
2766,W43,WEAKEST,2025-10-20 09:33:35,2025-10-20 09:33:47,SHORT,25197.0000,25197.0000,25187.0000,REVERSAL,0,1,40.0000,200.0000,304,40.0000,1.0000,-0.018018,-0.432432,-0.632883,-0.250000,-0.966290,-6.000000
2767,W43,WEAKEST,2025-10-20 09:34:09,2025-10-20 09:34:33,LONG,25185.0000,25185.0000,25195.0000,REVERSAL,0,1,40.0000,200.0000,449,40.0000,10.0000,-0.042105,-0.054280,0.168015,-0.500000,-0.086106,-0.500000
2768,W43,WEAKEST,2025-10-20 09:34:48,2025-10-20 09:35:45,LONG,25187.0000,25187.0000,25197.0000,REVERSAL,0,1,40.0000,200.0000,1468,40.0000,35.0000,-0.042373,-0.070671,-0.183714,-0.625000,-0.837209,-1.000000
2769,W43,WEAKEST,2025-10-20 09:36:07,2025-10-20 09:37:56,SHORT,25214.2500,25219.2500,25214.2500,REVERSAL,1,2,40.0000,200.0000,3106,35.0000,40.0000,0.040541,-0.219733,0.032188,0.375000,-0.367337,-2.000000
2770,W43,WEAKEST,2025-10-20 09:37:56,2025-10-20 09:41:15,LONG,25214.2500,25209.2500,25194.2500,HARD_STOP,1,2,-120.0000,-600.0000,5575,31.0000,60.0000,-0.019608,-0.080392,-0.154530,-0.250000,-0.166010,-1.125000
2771,W43,WEAKEST,2025-10-20 09:41:29,2025-10-20 09:41:44,LONG,25190.0000,25190.0000,25200.0000,REVERSAL,0,1,40.0000,200.0000,477,40.0000,17.0000,-0.018868,-0.115061,0.268555,-0.250000,-0.282948,-1.625000
2772,W43,WEAKEST,2025-10-20 09:41:58,2025-10-20 09:43:00,SHORT,25208.2500,25208.2500,25198.2500,REVERSAL,0,1,40.0000,200.0000,1628,40.0000,27.0000,0.064220,-0.463558,-0.551335,0.875000,-0.208168,-6.250000
2773,W43,WEAKEST,2025-10-20 09:43:25,2025-10-20 09:45:37,LONG,25196.5000,25191.5000,25196.5000,REVERSAL,1,2,40.0000,200.0000,3300,22.0000,40.0000,-0.081818,0.012253,0.510484,-1.125000,-0.014081,0.125000
2774,W43,WEAKEST,2025-10-20 09:46:34,2025-10-20 09:48:25,SHORT,25205.5000,25210.5000,25205.5000,REVERSAL,1,2,40.0000,200.0000,2010,31.0000,40.0000,0.000000,-0.337500,-0.367308,0.000000,-0.640973,-3.375000
2775,W43,WEAKEST,2025-10-20 09:50:29,2025-10-20 09:52:07,SHORT,25219.5000,25224.5000,25219.5000,REVERSAL,1,2,40.0000,200.0000,1924,23.0000,42.0000,0.075000,-0.038924,0.082446,0.750000,0.374480,-0.375000
2776,W43,WEAKEST,2025-10-20 09:53:01,2025-10-20 09:54:29,SHORT,25225.0000,25230.0000,25224.5000,REVERSAL,1,2,44.0000,220.0000,1363,23.0000,40.0000,0.061538,0.019872,0.124273,0.500000,0.673077,0.125000
2777,W43,WEAKEST,2025-10-20 09:55:00,2025-10-20 09:55:40,SHORT,25230.5000,25230.5000,25220.5000,REVERSAL,0,1,40.0000,200.0000,1147,40.0000,38.0000,0.095745,-0.457196,-0.893255,1.125000,-0.858976,-4.750000
2778,W43,WEAKEST,2025-10-20 09:55:46,2025-10-20 09:56:27,LONG,25209.5000,25209.5000,25219.5000,REVERSAL,0,1,40.0000,200.0000,1157,40.0000,25.0000,-0.061947,-0.338053,-0.146749,-0.875000,-0.907452,-5.625000
2779,W43,WEAKEST,2025-10-20 09:56:27,2025-10-20 09:57:12,SHORT,25219.5000,25219.5000,25209.5000,REVERSAL,0,1,40.0000,200.0000,739,40.0000,7.0000,0.032000,-0.356489,-0.706219,0.500000,-0.766179,-6.250000
2780,W43,WEAKEST,2025-10-20 09:57:34,2025-10-20 10:00:10,SHORT,25212.5000,25217.5000,25232.5000,HARD_STOP,1,2,-120.0000,-600.0000,3054,34.0000,60.0000,0.071429,-0.218894,-0.161391,1.000000,-0.644245,-2.375000
2781,W43,WEAKEST,2025-10-20 10:01:04,2025-10-20 10:02:34,SHORT,25233.0000,25233.0000,25223.0000,REVERSAL,0,1,40.0000,200.0000,1433,40.0000,9.0000,0.082192,-0.106997,-0.112279,0.750000,0.018107,-1.000000
2782,W43,WEAKEST,2025-10-20 10:03:35,2025-10-20 10:04:35,SHORT,25236.0000,25241.0000,25236.0000,REVERSAL,1,2,40.0000,200.0000,1843,22.0000,40.0000,-0.042254,-0.529175,-0.560374,-0.375000,-0.811480,-5.125000
2783,W43,WEAKEST,2025-10-20 10:05:11,2025-10-20 10:09:03,SHORT,25242.7500,25247.8750,25243.0000,REVERSAL,1,2,39.0000,195.0000,5110,39.0000,41.0000,-0.059701,-0.259139,-0.563694,-0.500000,-0.777672,-2.250000
2784,W43,WEAKEST,2025-10-20 10:10:35,2025-10-20 10:11:06,SHORT,25252.5000,25252.5000,25242.5000,REVERSAL,0,1,40.0000,200.0000,634,40.0000,1.0000,0.042254,-0.190623,-0.226779,0.375000,-0.461131,-1.750000
2785,W43,WEAKEST,2025-10-20 10:14:32,2025-10-20 10:16:46,LONG,25237.7500,25232.7500,25238.0000,REVERSAL,1,2,42.0000,210.0000,2864,21.0000,54.0000,-0.038961,-0.230270,0.000500,-0.375000,-0.428935,-2.250000
2786,W43,WEAKEST,2025-10-20 10:17:45,2025-10-20 10:19:03,LONG,25221.5000,25221.5000,25231.5000,REVERSAL,0,1,40.0000,200.0000,2101,40.0000,25.0000,0.057971,-0.113904,0.103110,0.500000,-0.043085,-0.875000
2787,W43,WEAKEST,2025-10-20 10:21:35,2025-10-20 10:22:43,SHORT,25229.7500,25234.7500,25249.7500,HARD_STOP,1,2,-120.0000,-600.0000,1467,19.0000,60.0000,-0.011236,-0.317711,-0.185874,-0.125000,-0.514120,-3.000000
2788,W43,WEAKEST,2025-10-20 10:23:47,2025-10-20 10:24:19,LONG,25239.7500,25239.7500,25249.7500,REVERSAL,0,1,40.0000,200.0000,411,40.0000,3.0000,-0.046875,-0.292108,-0.304560,-0.375000,-0.889535,-2.125000
2789,W43,WEAKEST,2025-10-20 10:26:19,2025-10-20 10:28:04,SHORT,25261.7500,25266.7500,25281.7500,HARD_STOP,1,2,-120.0000,-600.0000,2580,18.0000,60.0000,0.000000,-0.200000,-0.236364,0.000000,-0.892857,-1.250000
2790,W43,WEAKEST,2025-10-20 10:30:01,2025-10-20 10:31:10,SHORT,25283.7500,25283.7500,25273.7500,REVERSAL,0,1,40.0000,200.0000,1422,40.0000,2.0000,0.075472,-0.415094,-0.801494,0.500000,-0.890889,-2.750000
2791,W43,WEAKEST,2025-10-20 10:31:36,2025-10-20 10:31:52,LONG,25267.0000,25267.0000,25277.0000,REVERSAL,0,1,40.0000,200.0000,353,40.0000,3.0000,0.065789,-0.134211,-0.184957,0.625000,-0.730885,-1.125000
