hour,bar_count,avg_duration,median_duration,avg_range,avg_abs_co,bars_per_hour
0,930,228.133,177.838,12.578,6.846,12.7
1,935,229.706,200.419,12.131,6.552,12.8
2,1180,182.852,156.974,11.911,6.251,16.2
3,1721,123.882,110.336,12.357,6.546,23.6
4,1597,132.055,114.254,11.909,6.41,21.9
5,1349,158.562,141.295,11.677,6.108,18.5
6,1438,148.211,129.418,11.585,6.409,19.7
7,2125,100.447,82.016,11.58,6.276,29.1
8,3178,67.925,52.413,9.584,5.254,43.5
9,18280,11.95,6.678,8.309,4.437,250.4
10,20537,10.514,9.094,8.109,4.365,281.3
11,16493,13.09,11.202,8.086,4.389,225.9
12,12410,17.367,14.648,7.934,4.267,170.0
13,10903,19.215,16.167,7.723,4.146,149.4
14,10094,20.697,18.124,7.833,4.202,138.3
15,13396,15.649,12.917,6.546,3.499,183.5
16,4000,51.299,27.304,8.224,4.266,54.8
18,1306,158.135,116.845,14.044,7.378,17.9
19,1238,181.709,136.524,12.108,6.418,17.0
20,1459,148.952,122.544,11.49,6.186,20.0
21,1119,193.741,170.624,10.953,5.853,15.3
22,961,222.053,190.509,11.134,5.911,13.2
23,856,253.172,204.695,11.494,6.221,11.7
