week,category,filter,window,cycles,wins,wr,stops,sr,revs,eods,pnl,er,retention,delta_sr,delta_pnl,transitions
W39,WORST,baseline,-,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,,,,
W39,WORST,w=250,250,78,57,0.7308,19,0.2436,55,4,3203.0,41.0641,0.7959,-0.134,21520.5,164
W39,WORST,w=500,500,66,42,0.6364,22,0.3333,40,4,-7726.0,-117.0606,0.6735,-0.0442,10591.5,105
W39,WORST,w=1000,1000,63,48,0.7619,14,0.2222,47,2,5632.0,89.3968,0.6429,-0.1553,23949.5,103
W48,BAD,baseline,-,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,,,,
W48,BAD,w=250,250,90,66,0.7333,23,0.2556,65,1,3435.5,38.1722,0.5294,-0.0386,8028.5,128
W48,BAD,w=500,500,69,45,0.6522,22,0.3188,45,1,-5555.5,-80.5145,0.4059,0.0247,-962.5,102
W48,BAD,w=1000,1000,73,46,0.6301,27,0.3699,45,0,-11542.0,-158.1096,0.4294,0.0757,-6949.0,85
W45,AVG,baseline,-,276,198,0.7174,74,0.2681,198,4,3088.0,11.1884,,,,
W45,AVG,w=250,250,171,123,0.7193,47,0.2749,123,1,1633.5,9.5526,0.6196,0.0067,-1454.5,205
W45,AVG,w=500,500,162,113,0.6975,47,0.2901,113,2,-4264.5,-26.3241,0.587,0.022,-7352.5,214
W45,AVG,w=1000,1000,132,90,0.6818,41,0.3106,90,1,-8123.5,-61.5417,0.4783,0.0425,-11211.5,155
W44,GOOD,baseline,-,186,141,0.7581,40,0.2151,141,5,17991.5,96.7285,,,,
W44,GOOD,w=250,250,123,102,0.8293,18,0.1463,102,3,27644.0,224.748,0.6613,-0.0687,9652.5,184
W44,GOOD,w=500,500,104,78,0.75,24,0.2308,78,2,8382.0,80.5962,0.5591,0.0157,-9609.5,125
W44,GOOD,w=1000,1000,122,85,0.6967,36,0.2951,84,2,-3460.0,-28.3607,0.6559,0.08,-21451.5,91
W40,GOOD,baseline,-,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,,,,
W40,GOOD,w=250,250,56,40,0.7143,15,0.2679,39,2,625.0,11.1607,0.487,0.0592,-11026.0,162
W40,GOOD,w=500,500,68,50,0.7353,16,0.2353,50,2,4232.5,62.2426,0.5913,0.0266,-7418.5,116
W40,GOOD,w=1000,1000,64,51,0.7969,11,0.1719,51,2,10648.5,166.3828,0.5565,-0.0368,-1002.5,78
