week,category,filter,window,cycles,wins,wr,stops,sr,revs,eods,pnl,er,retention,delta_sr,delta_pnl,transitions,n_swings
W39,WORST,baseline,-,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,,,,,
W39,WORST,zz_w=10,10,24,16,0.6667,7,0.2917,16,1,-886.0,-36.9167,0.2449,-0.0859,17431.5,196,1636
W39,WORST,zz_w=20,20,7,4,0.5714,3,0.4286,4,0,-1785.0,-255.0,0.0714,0.051,16532.5,119,1636
W39,WORST,zz_w=40,40,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.3776,18317.5,67,1636
W48,BAD,baseline,-,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,,,,,
W48,BAD,zz_w=10,10,68,48,0.7059,20,0.2941,48,0,-1377.0,-20.25,0.4,0.0,3216.0,261,1691
W48,BAD,zz_w=20,20,53,38,0.717,15,0.283,38,0,-16.5,-0.3113,0.3118,-0.0111,4576.5,155,1691
W48,BAD,zz_w=40,40,34,28,0.8235,6,0.1765,28,0,6442.0,189.4706,0.2,-0.1176,11035.0,70,1691
W45,AVG,baseline,-,276,198,0.7174,74,0.2681,198,4,3088.0,11.1884,,,,,
W45,AVG,zz_w=10,10,127,92,0.7244,34,0.2677,92,1,1712.5,13.4843,0.4601,-0.0004,-1375.5,408,2819
W45,AVG,zz_w=20,20,94,70,0.7447,23,0.2447,70,1,4789.5,50.9521,0.3406,-0.0234,1701.5,240,2819
W45,AVG,zz_w=40,40,55,43,0.7818,11,0.2,43,1,7299.5,132.7182,0.1993,-0.0681,4211.5,128,2819
W44,GOOD,baseline,-,186,141,0.7581,40,0.2151,141,5,17991.5,96.7285,,,,,
W44,GOOD,zz_w=10,10,66,52,0.7879,14,0.2121,51,1,7929.5,120.1439,0.3548,-0.0029,-10062.0,276,2011
W44,GOOD,zz_w=20,20,46,36,0.7826,10,0.2174,35,1,4977.5,108.2065,0.2473,0.0023,-13014.0,167,2011
W44,GOOD,zz_w=40,40,38,30,0.7895,7,0.1842,30,1,6044.5,159.0658,0.2043,-0.0308,-11947.0,74,2011
W40,GOOD,baseline,-,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,,,,,
W40,GOOD,zz_w=10,10,13,12,0.9231,1,0.0769,12,0,4699.0,361.4615,0.113,-0.1318,-6952.0,200,1660
W40,GOOD,zz_w=20,20,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.2087,-11651.0,92,1660
W40,GOOD,zz_w=40,40,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.2087,-11651.0,72,1660
