week,category,filter,window,cycles,wins,wr,stops,sr,revs,eods,pnl,er,retention,delta_sr,delta_pnl,transitions,n_swings
W39,WORST,baseline,-,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,,,,,
W39,WORST,zz_w=10,10,98,60,0.6122,37,0.3776,56,5,-18355.5,-187.301,1.0,0.0,-38.0,77,446
W39,WORST,zz_w=20,20,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0,45,446
W39,WORST,zz_w=40,40,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0,29,446
W48,BAD,baseline,-,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,,,,,
W48,BAD,zz_w=10,10,156,109,0.6987,46,0.2949,107,2,-4707.5,-30.1763,0.9176,0.0008,-114.5,77,551
W48,BAD,zz_w=20,20,164,115,0.7012,48,0.2927,113,2,-4071.5,-24.8262,0.9647,-0.0014,521.5,30,551
W48,BAD,zz_w=40,40,165,113,0.6848,51,0.3091,111,2,-8770.5,-53.1545,0.9706,0.015,-4177.5,20,551
W45,AVG,baseline,-,276,198,0.7174,74,0.2681,198,4,3088.0,11.1884,,,,,
W45,AVG,zz_w=10,10,253,183,0.7233,66,0.2609,183,4,5717.5,22.5988,0.9167,-0.0072,2629.5,124,938
W45,AVG,zz_w=20,20,268,195,0.7276,69,0.2575,195,4,7951.5,29.6698,0.971,-0.0107,4863.5,48,938
W45,AVG,zz_w=40,40,276,198,0.7174,74,0.2681,198,4,3088.0,11.1884,1.0,0.0,0.0,25,938
W44,GOOD,baseline,-,186,141,0.7581,40,0.2151,141,5,17991.5,96.7285,,,,,
W44,GOOD,zz_w=10,10,172,132,0.7674,36,0.2093,132,4,18576.5,108.0029,0.9247,-0.0058,585.0,94,632
W44,GOOD,zz_w=20,20,188,142,0.7553,41,0.2181,142,5,17213.5,91.5612,1.0108,0.003,-778.0,40,632
W44,GOOD,zz_w=40,40,186,143,0.7688,38,0.2043,143,5,21517.0,115.6828,1.0,-0.0108,3525.5,20,632
W40,GOOD,baseline,-,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,,,,,
W40,GOOD,zz_w=10,10,110,81,0.7364,26,0.2364,79,5,5658.5,51.4409,0.9565,0.0277,-5992.5,58,383
W40,GOOD,zz_w=20,20,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0,38,383
W40,GOOD,zz_w=40,40,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0,19,383
