week,category,filter,window,threshold,cycles,wins,wr,stops,sr,revs,eods,pnl,er,retention,delta_sr,delta_pnl
W39,WORST,baseline,-,-,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,,,
W39,WORST,both|0.3,250,0.3,97,59,0.6082,37,0.3814,56,4,-18414.0,-189.8351,0.9898,0.0039,-96.5
W39,WORST,dir|0.3,250,0.3,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0
W39,WORST,both|0.5,250,0.5,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0
W39,WORST,dir|0.5,250,0.5,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0
W39,WORST,both|0.7,250,0.7,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0
W39,WORST,dir|0.7,250,0.7,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0
W39,WORST,both|0.3,500,0.3,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0
W39,WORST,dir|0.3,500,0.3,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0
W39,WORST,both|0.5,500,0.5,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0
W39,WORST,dir|0.5,500,0.5,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0
W39,WORST,both|0.7,500,0.7,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0
W39,WORST,dir|0.7,500,0.7,98,60,0.6122,37,0.3776,56,5,-18317.5,-186.9133,1.0,0.0,0.0
W48,BAD,baseline,-,-,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,,,
W48,BAD,both|0.3,250,0.3,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W48,BAD,dir|0.3,250,0.3,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W48,BAD,both|0.5,250,0.5,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W48,BAD,dir|0.5,250,0.5,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W48,BAD,both|0.7,250,0.7,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W48,BAD,dir|0.7,250,0.7,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W48,BAD,both|0.3,500,0.3,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W48,BAD,dir|0.3,500,0.3,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W48,BAD,both|0.5,500,0.5,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W48,BAD,dir|0.5,500,0.5,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W48,BAD,both|0.7,500,0.7,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W48,BAD,dir|0.7,500,0.7,170,119,0.7,50,0.2941,117,2,-4593.0,-27.0176,1.0,0.0,0.0
W45,AVG,baseline,-,-,276,198,0.7174,74,0.2681,198,4,3088.0,11.1884,,,
W45,AVG,both|0.3,250,0.3,276,198,0.7174,74,0.2681,197,5,2686.5,9.7337,1.0,0.0,-401.5
W45,AVG,dir|0.3,250,0.3,276,198,0.7174,74,0.2681,198,4,3088.0,11.1884,1.0,0.0,0.0
W45,AVG,both|0.5,250,0.5,276,198,0.7174,74,0.2681,198,4,3088.0,11.1884,1.0,0.0,0.0
W45,AVG,dir|0.5,250,0.5,276,198,0.7174,74,0.2681,198,4,3088.0,11.1884,1.0,0.0,0.0
W45,AVG,both|0.7,250,0.7,276,198,0.7174,74,0.2681,198,4,3088.0,11.1884,1.0,0.0,0.0
W45,AVG,dir|0.7,250,0.7,276,198,0.7174,74,0.2681,198,4,3088.0,11.1884,1.0,0.0,0.0
W45,AVG,both|0.3,500,0.3,276,198,0.7174,74,0.2681,198,4,3088.0,11.1884,1.0,0.0,0.0
