week,category,filter,cycles,wins,wr,stops,sr,pnl,er,retention,delta_pnl
W42,WORST,baseline,1922,1428,0.743,491,0.2555,-17385.5,-9.0455,,
W42,WORST,chop<0.10,1148,950,0.8275,198,0.1725,67370.0,58.6847,0.5973,84755.5
W42,WORST,chop<0.15,1392,1136,0.8161,255,0.1832,69103.0,49.643,0.7242,86488.5
W42,WORST,chop<0.20+slope<3.0,1524,1257,0.8248,265,0.1739,86893.5,57.0167,0.7929,104279.0
W42,WORST,chop<0.10+slope<3.0,1148,950,0.8275,198,0.1725,67370.0,58.6847,0.5973,84755.5
W50,BAD,baseline,1296,964,0.7438,328,0.2531,-9640.0,-7.4383,,
W50,BAD,chop<0.10,787,656,0.8335,130,0.1652,49978.5,63.5051,0.6073,59618.5
W50,BAD,chop<0.15,952,801,0.8414,150,0.1576,66350.5,69.6959,0.7346,75990.5
W50,BAD,chop<0.20+slope<3.0,980,808,0.8245,171,0.1745,54979.5,56.1015,0.7562,64619.5
W50,BAD,chop<0.10+slope<3.0,787,656,0.8335,130,0.1652,49978.5,63.5051,0.6073,59618.5
W45,AVG,baseline,1582,1193,0.7541,388,0.2453,756.5,0.4782,,
W45,AVG,chop<0.10,914,735,0.8042,178,0.1947,38007.0,41.5832,0.5777,37250.5
W45,AVG,chop<0.15,1101,901,0.8183,198,0.1798,58659.0,53.2779,0.696,57902.5
W45,AVG,chop<0.20+slope<3.0,1206,987,0.8184,217,0.1799,63098.5,52.3205,0.7623,62342.0
W45,AVG,chop<0.10+slope<3.0,905,726,0.8022,178,0.1967,35207.0,38.9028,0.5721,34450.5
W46,GOOD,baseline,1729,1336,0.7727,392,0.2267,24420.0,14.1238,,
W46,GOOD,chop<0.10,1017,845,0.8309,171,0.1681,62278.0,61.237,0.5882,37858.0
W46,GOOD,chop<0.15,1252,1044,0.8339,207,0.1653,79723.0,63.6765,0.7241,55303.0
W46,GOOD,chop<0.20+slope<3.0,1346,1129,0.8388,215,0.1597,91791.5,68.1958,0.7785,67371.5
W46,GOOD,chop<0.10+slope<3.0,1017,845,0.8309,171,0.1681,62278.0,61.237,0.5882,37858.0
W48,GOOD,baseline,1124,872,0.7758,249,0.2215,20435.5,18.181,,
W48,GOOD,chop<0.10,659,549,0.8331,110,0.1669,41719.5,63.3073,0.5863,21284.0
W48,GOOD,chop<0.15,781,648,0.8297,133,0.1703,47480.5,60.7945,0.6948,27045.0
W48,GOOD,chop<0.20+slope<3.0,807,669,0.829,138,0.171,48311.5,59.8656,0.718,27876.0
W48,GOOD,chop<0.10+slope<3.0,659,549,0.8331,110,0.1669,41719.5,63.3073,0.5863,21284.0
