target_mode,switchback,total_trades,main_trades,sub_trades,total_pnl,up_days,down_days,win_day_pct,worst_day,max_drawdown,pnl_dd_ratio,ev_per_trade,sub_win_rate,sub_ev_per_trade
baseline,N/A,2685,2685,0,33042.73,29,31,48.3,-2687.34,15517.87,2.129,12.31,0.0,0.0
1.0x,R0,1645,278,1367,9631.44,32,28,53.3,-3830.32,17846.02,0.54,5.85,68.8,9.94
1.0x,R1,2567,2492,75,30869.41,32,28,53.3,-2968.3,14864.58,2.077,12.03,77.3,77.3
1.0x,R2,2434,2281,153,12071.77,29,31,48.3,-3830.32,13069.45,0.924,4.96,74.5,52.5
1.0x,R4,2401,2109,292,19018.04,28,32,46.7,-3256.96,14503.79,1.311,7.92,71.6,30.27
1.0x,R5,2095,1551,544,16849.68,28,32,46.7,-3830.32,15261.55,1.104,8.04,69.5,16.81
1.5x,R0,1270,278,992,14226.46,31,29,51.7,-3655.67,17430.9,0.816,11.2,59.8,18.32
1.5x,R1,2536,2455,81,34339.9,30,30,50.0,-2916.95,14006.86,2.452,13.54,70.4,125.83
1.5x,R2,2410,2235,175,27578.36,32,28,53.3,-3655.67,10333.69,2.669,11.44,62.9,58.5
1.5x,R4,2218,1932,286,14072.98,24,36,40.0,-3205.86,16990.95,0.828,6.34,62.9,43.1
1.5x,R5,1775,1241,534,14232.59,30,30,50.0,-3655.67,16032.25,0.888,8.02,60.5,24.15
2.0x,R0,1024,278,746,9668.59,31,29,51.7,-3856.74,17962.01,0.538,9.44,52.5,18.26
2.0x,R1,2355,2263,92,23141.93,31,29,51.7,-3856.74,18881.06,1.226,9.83,55.4,1.39
2.0x,R2,2098,1915,183,7808.32,28,32,46.7,-3856.74,13273.4,0.588,3.72,53.6,14.56
2.0x,R4,1898,1622,276,5675.5,26,34,43.3,-3856.74,13601.41,0.417,2.99,52.9,7.22
2.0x,R5,1430,933,497,12567.59,31,29,51.7,-3856.74,15841.39,0.793,8.79,53.1,10.87
3.0x,R0,828,278,550,22842.76,31,29,51.7,-3856.74,16358.06,1.396,27.59,43.3,48.72
3.0x,R1,2073,1963,110,12602.36,29,31,48.3,-3856.74,27955.98,0.451,6.08,42.7,-28.71
3.0x,R2,1739,1533,206,3969.48,25,35,41.7,-3856.74,18269.08,0.217,2.28,43.7,37.73
3.0x,R4,1636,1367,269,13397.42,33,27,55.0,-3856.74,14656.71,0.914,8.19,42.0,21.21
3.0x,R5,1066,620,446,26656.87,33,27,55.0,-3856.74,16358.06,1.63,25.01,44.6,57.01
main_band_width,R0,1270,278,992,14226.46,31,29,51.7,-3655.67,17430.9,0.816,11.2,59.8,18.32
main_band_width,R1,2536,2455,81,34339.9,30,30,50.0,-2916.95,14006.86,2.452,13.54,70.4,125.83
main_band_width,R2,2410,2235,175,27578.36,32,28,53.3,-3655.67,10333.69,2.669,11.44,62.9,58.5
main_band_width,R4,2218,1932,286,14072.98,24,36,40.0,-3205.86,16990.95,0.828,6.34,62.9,43.1
main_band_width,R5,1775,1241,534,14232.59,30,30,50.0,-3655.67,16032.25,0.888,8.02,60.5,24.15
to_opposite_inner,R0,1007,278,729,22743.03,32,28,53.3,-3808.08,17575.46,1.294,22.58,52.7,36.62
to_opposite_inner,R1,2339,2249,90,22317.24,26,34,43.3,-3808.08,15520.47,1.438,9.54,57.8,36.31
to_opposite_inner,R2,2102,1924,178,15386.51,28,32,46.7,-3808.08,14854.57,1.036,7.32,55.6,44.73
to_opposite_inner,R4,1958,1681,277,12994.44,27,33,45.0,-3808.08,16464.99,0.789,6.64,55.2,29.97
to_opposite_inner,R5,1419,925,494,28756.66,32,28,53.3,-3808.08,16011.42,1.796,20.27,54.0,37.31
