ema_threshold,sub_inner_mult,sub_outer_mult,total_trades,main_trades,sub_trades,total_pnl,up_days,down_days,win_day_pct,worst_day,max_drawdown,pnl_dd_ratio,win_rate,ev_per_trade,sub_win_rate,sub_ev_per_trade,subband_activations,cb_fired
N/A,N/A,N/A,2685,2685,0,33042.73,29,31,48.3,-2687.34,15517.87,2.129,43.6,12.31,0.0,0.0,0,0
0.0,0.5,1.0,2961,343,2618,-3767.84,24,36,40.0,-3028.49,22849.61,-0.165,32.3,-1.27,31.3,0.41,59,397
0.0,0.5,1.25,2713,343,2370,-16937.07,22,38,36.7,-3038.39,35843.44,-0.473,34.6,-6.24,33.9,-5.1,59,397
0.0,0.5,1.5,2375,343,2032,-11255.15,23,37,38.3,-3066.92,33221.92,-0.339,37.4,-4.74,37.1,-3.15,59,397
0.0,0.75,1.0,2758,343,2415,-13879.53,25,35,41.7,-3016.6,36662.77,-0.379,37.1,-5.03,36.7,-3.74,59,397
0.0,0.75,1.25,2838,343,2495,2799.24,28,32,46.7,-3066.92,24818.05,0.113,40.2,0.99,40.2,3.06,59,397
0.0,0.75,1.5,2570,343,2227,-12354.24,26,34,43.3,-3333.32,34021.16,-0.363,42.4,-4.81,42.8,-3.37,59,397
0.0,1.0,1.25,2806,343,2463,-14197.72,25,35,41.7,-3325.08,43879.95,-0.324,45.2,-5.06,45.9,-3.8,59,397
0.0,1.0,1.5,2713,343,2370,4922.05,30,30,50.0,-3695.18,34715.61,0.142,48.6,1.81,49.9,4.12,59,397
0.1,0.5,1.0,2912,278,2634,-7820.3,23,37,38.3,-3028.49,25815.63,-0.303,32.0,-2.69,31.1,-1.47,59,152
0.1,0.5,1.25,2683,278,2405,-19956.17,24,36,40.0,-3338.63,37348.31,-0.534,34.3,-7.44,33.6,-6.66,59,152
0.1,0.5,1.5,2398,278,2120,-9805.23,24,36,40.0,-3028.16,30435.08,-0.322,37.3,-4.09,36.9,-2.76,59,152
0.1,0.75,1.0,2805,278,2527,-12903.54,26,34,43.3,-3187.07,36089.38,-0.358,37.0,-4.6,36.7,-3.54,59,152
0.1,0.75,1.25,2876,278,2598,3032.2,30,30,50.0,-3028.84,22933.57,0.132,40.1,1.05,40.1,2.69,59,152
0.1,0.75,1.5,2607,278,2329,-9898.3,26,34,43.3,-3295.27,31375.13,-0.315,42.5,-3.8,42.7,-2.55,59,152
0.1,1.0,1.25,2853,278,2575,-13184.89,25,35,41.7,-3346.12,41506.16,-0.318,45.3,-4.62,45.8,-3.59,59,152
0.1,1.0,1.5,2790,278,2512,6093.78,30,30,50.0,-3583.64,33120.84,0.184,48.7,2.18,49.7,4.0,59,152
0.25,0.5,1.0,2927,259,2668,-5902.9,24,36,40.0,-3028.49,26727.95,-0.221,31.9,-2.02,31.1,0.16,60,71
0.25,0.5,1.25,2696,259,2437,-18945.81,24,36,40.0,-3338.63,38796.34,-0.488,34.2,-7.03,33.6,-5.18,60,71
0.25,0.5,1.5,2406,259,2147,-8545.72,24,36,40.0,-3028.16,31413.99,-0.272,37.2,-3.55,37.0,-1.04,60,71
0.25,0.75,1.0,2798,259,2539,-12699.04,26,34,43.3,-3187.07,36436.16,-0.349,36.9,-4.54,36.6,-2.51,60,71
0.25,0.75,1.25,2870,259,2611,1913.49,30,30,50.0,-3246.83,23676.84,0.081,39.9,0.67,40.0,3.15,60,71
0.25,0.75,1.5,2564,259,2305,-12717.91,24,36,40.0,-3240.59,34481.63,-0.369,42.4,-4.96,42.7,-2.77,60,71
0.25,1.0,1.25,2855,259,2596,-12707.66,25,35,41.7,-3346.12,41692.14,-0.305,45.3,-4.45,45.8,-2.46,60,71
0.25,1.0,1.5,2798,259,2539,5182.49,30,30,50.0,-3583.64,33652.14,0.154,48.7,1.85,49.7,4.53,60,71
