ema_threshold,sub_inner_mult,sub_outer_mult,total_trades,main_trades,sub_trades,total_pnl,up_days,down_days,win_day_pct,worst_day,max_drawdown,pnl_dd_ratio,win_rate,ev_per_trade,sub_win_rate,sub_ev_per_trade,subband_activations,cb_fired
N/A,N/A,N/A,2685,2685,0,33042.73,29,31,48.3,-2687.34,15517.87,2.129,43.6,12.31,0.0,0.0,0,0
0.0,0.5,1.0,3660,343,3317,-16672.48,27,33,45.0,-3204.49,27687.47,-0.602,59.1,-4.56,61.1,-3.57,59,397
0.0,0.5,1.25,3702,343,3359,2847.12,30,30,50.0,-3018.43,14414.35,0.198,63.0,0.77,65.3,2.29,59,397
0.0,0.5,1.5,3540,343,3197,-14053.47,24,36,40.0,-3517.01,22500.59,-0.625,64.9,-3.97,67.6,-2.88,59,397
0.0,0.75,1.0,2793,343,2450,-10137.6,24,36,40.0,-3133.34,20565.2,-0.493,53.6,-3.63,55.6,-2.16,59,397
0.0,0.75,1.25,2764,343,2421,-10223.41,26,34,43.3,-3320.27,19312.04,-0.529,56.1,-3.7,58.4,-2.22,59,397
0.0,0.75,1.5,2512,343,2169,-12355.44,27,33,45.0,-3648.31,19919.01,-0.62,58.4,-4.92,61.3,-3.46,59,397
0.0,1.0,1.25,2215,343,1872,-9861.16,27,33,45.0,-3464.26,17940.54,-0.55,51.8,-4.45,54.1,-2.68,59,397
0.0,1.0,1.5,2093,343,1750,-18660.87,29,31,48.3,-3695.93,28160.53,-0.663,53.3,-8.92,56.0,-7.89,59,397
0.1,0.5,1.0,3818,278,3540,-13428.64,28,32,46.7,-3204.49,26908.34,-0.499,59.6,-3.52,61.2,-2.68,59,152
0.1,0.5,1.25,3794,278,3516,8374.02,30,30,50.0,-3018.43,16938.88,0.494,63.7,2.21,65.5,3.51,59,152
0.1,0.5,1.5,3619,278,3341,-6536.98,25,35,41.7,-3517.01,20059.68,-0.326,65.7,-1.81,67.8,-0.77,59,152
0.1,0.75,1.0,2887,278,2609,-3552.87,25,35,41.7,-3133.34,14579.64,-0.244,54.2,-1.23,55.7,0.15,59,152
0.1,0.75,1.25,2826,278,2548,-3129.71,27,33,45.0,-3320.27,15249.66,-0.205,56.8,-1.11,58.6,0.32,59,152
0.1,0.75,1.5,2554,278,2276,-4800.68,28,32,46.7,-3648.31,15001.36,-0.32,59.2,-1.88,61.6,-0.37,59,152
0.1,1.0,1.25,2223,278,1945,-1774.13,27,33,45.0,-3464.26,16647.95,-0.107,52.6,-0.8,54.4,1.12,59,152
0.1,1.0,1.5,2098,278,1820,-8974.44,31,29,51.7,-3695.93,25527.36,-0.352,54.2,-4.28,56.4,-2.76,59,152
0.25,0.5,1.0,3794,259,3535,-12682.13,28,32,46.7,-3204.49,26908.34,-0.471,59.8,-3.34,61.2,-1.8,60,71
0.25,0.5,1.25,3785,259,3526,7435.0,30,30,50.0,-3018.43,16938.88,0.439,63.8,1.96,65.5,3.9,60,71
0.25,0.5,1.5,3623,259,3364,-4416.0,25,35,41.7,-3517.01,20059.68,-0.22,65.9,-1.22,67.9,0.57,60,71
0.25,0.75,1.0,2861,259,2602,-8551.41,24,36,40.0,-3133.34,14579.64,-0.587,54.1,-2.99,55.6,-0.86,60,71
0.25,0.75,1.25,2819,259,2560,-3284.39,27,33,45.0,-3177.33,15249.66,-0.215,56.9,-1.17,58.6,1.19,60,71
0.25,0.75,1.5,2560,259,2301,1905.06,29,31,48.3,-3162.43,15001.36,0.127,59.5,0.74,61.8,3.58,60,71
0.25,1.0,1.25,2226,259,1967,-425.9,27,33,45.0,-3464.26,16647.95,-0.026,52.7,-0.19,54.4,3.0,60,71
0.25,1.0,1.5,2098,259,1839,-7038.46,31,29,51.7,-3695.93,25527.36,-0.276,54.3,-3.35,56.4,-0.39,60,71
