target_mode,switchback,total_trades,main_trades,sub_trades,total_pnl,up_days,down_days,win_day_pct,worst_day,max_drawdown,pnl_dd_ratio,ev_per_trade,sub_win_rate,sub_ev_per_trade
baseline,N/A,2685,2685,0,33042.73,29,31,48.3,-2687.34,15517.87,2.129,12.31,0.0,0.0
1.0x,R0,3794,278,3516,8374.02,30,30,50.0,-3018.43,16938.88,0.494,2.21,65.5,3.51
1.0x,R1,2738,2648,90,32904.45,30,30,50.0,-2851.07,12817.67,2.567,12.02,65.6,20.3
1.0x,R2,2733,2552,181,25173.75,27,33,45.0,-3110.27,13857.02,1.817,9.21,65.2,10.71
1.0x,R3,2685,2685,0,33042.73,29,31,48.3,-2687.34,15517.87,2.129,12.31,0.0,0.0
1.0x,R4,2740,2445,295,24026.88,31,29,51.7,-3403.51,14614.96,1.644,8.77,63.1,-10.05
1.0x,R5,2752,2171,581,17341.67,32,28,53.3,-3018.43,17994.79,0.964,6.3,63.2,-9.37
1.5x,R0,2844,278,2566,11557.88,28,32,46.7,-3025.83,14264.4,0.81,4.06,56.1,6.04
1.5x,R1,2713,2600,113,32059.15,27,33,45.0,-3102.9,12916.11,2.482,11.82,51.3,-15.67
1.5x,R2,2615,2411,204,10212.07,29,31,48.3,-3285.9,15960.48,0.64,3.91,55.9,3.16
1.5x,R3,2685,2685,0,33042.73,29,31,48.3,-2687.34,15517.87,2.129,12.31,0.0,0.0
1.5x,R4,2616,2322,294,21101.29,30,30,50.0,-2937.41,17395.62,1.213,8.07,54.4,-5.98
1.5x,R5,2688,2113,575,19067.31,25,35,41.7,-3014.79,15799.31,1.207,7.09,54.3,-5.28
2.0x,R0,2266,278,1988,-6008.23,28,32,46.7,-3277.96,18376.19,-0.327,-2.65,47.9,-1.03
2.0x,R1,2602,2482,120,24736.0,27,33,45.0,-2984.65,13443.27,1.84,9.51,47.5,0.39
2.0x,R2,2642,2425,217,27505.47,31,29,51.7,-3164.76,11653.38,2.36,10.41,51.6,21.43
2.0x,R3,2685,2685,0,33042.73,29,31,48.3,-2687.34,15517.87,2.129,12.31,0.0,0.0
2.0x,R4,2552,2258,294,19686.8,30,30,50.0,-2937.41,19241.23,1.023,7.71,48.3,5.04
2.0x,R5,2572,2006,566,20271.04,25,35,41.7,-3148.65,16938.61,1.197,7.88,49.3,7.58
3.0x,R0,1813,278,1535,13370.66,28,32,46.7,-3462.0,17906.96,0.747,7.37,39.3,11.28
3.0x,R1,2552,2414,138,22528.0,29,31,48.3,-3267.09,13795.03,1.633,8.83,40.6,39.21
3.0x,R2,2504,2229,275,22711.73,30,30,50.0,-3115.39,12454.72,1.824,9.07,39.3,13.85
3.0x,R3,2685,2685,0,33042.73,29,31,48.3,-2687.34,15517.87,2.129,12.31,0.0,0.0
3.0x,R4,2430,2136,294,18902.43,26,34,43.3,-3267.09,16522.43,1.144,7.78,41.5,38.24
3.0x,R5,2457,1887,570,34998.99,28,32,46.7,-3115.39,10623.17,3.295,14.24,39.6,22.74
main_band_width,R0,1813,278,1535,13370.66,28,32,46.7,-3462.0,17906.96,0.747,7.37,39.3,11.28
main_band_width,R1,2552,2414,138,22528.0,29,31,48.3,-3267.09,13795.03,1.633,8.83,40.6,39.21
main_band_width,R2,2504,2229,275,22711.73,30,30,50.0,-3115.39,12454.72,1.824,9.07,39.3,13.85
main_band_width,R3,2685,2685,0,33042.73,29,31,48.3,-2687.34,15517.87,2.129,12.31,0.0,0.0
main_band_width,R4,2430,2136,294,18902.43,26,34,43.3,-3267.09,16522.43,1.144,7.78,41.5,38.24
main_band_width,R5,2457,1887,570,34998.99,28,32,46.7,-3115.39,10623.17,3.295,14.24,39.6,22.74
to_opposite_inner,R0,1518,278,1240,22341.28,30,30,50.0,-3340.28,16059.54,1.391,14.72,32.5,21.2
to_opposite_inner,R1,2391,2235,156,23770.84,28,32,46.7,-2937.41,12985.7,1.831,9.94,33.3,32.78
to_opposite_inner,R2,2337,2038,299,26688.01,29,31,48.3,-2937.41,13703.2,1.948,11.42,33.8,38.04
to_opposite_inner,R3,2685,2685,0,33042.73,29,31,48.3,-2687.34,15517.87,2.129,12.31,0.0,0.0
to_opposite_inner,R4,2282,1989,293,12732.24,27,33,45.0,-2989.37,21476.1,0.593,5.58,33.8,26.11
to_opposite_inner,R5,2135,1584,551,36016.65,30,30,50.0,-3340.28,13909.48,2.589,16.87,32.3,24.95
