sub_config,target_mode,switchback,sub_cb_n,total_trades,main_trades,sub_trades,total_pnl,win_day_pct,worst_day,max_drawdown,pnl_dd_ratio,ev_per_trade,sub_win_rate,sub_ev_per_trade,sub_cb_fires
BASELINE,N/A,N/A,N/A,2685,2685,0,33042.73,48.3,-2687.34,15517.87,2.129,12.31,0.0,0.0,0
A_si0.5_so1.25,to_opposite_inner,R1,3,2699,2577,122,34935.49,48.3,-3317.73,10358.17,3.373,12.94,36.1,69.01,15
A_si0.5_so1.25,3.0x,R5,5,2525,1977,548,35188.1,45.0,-3015.19,11139.1,3.159,13.94,40.0,25.35,14
A_si0.5_so1.25,main_band_width,R5,5,2525,1977,548,35188.1,45.0,-3015.19,11139.1,3.159,13.94,40.0,25.35,14
A_si0.5_so1.25,3.0x,R5,0,2487,1917,570,34848.5,45.0,-3115.39,11034.22,3.158,14.01,39.6,22.74,0
A_si0.5_so1.25,main_band_width,R5,0,2487,1917,570,34848.5,45.0,-3115.39,11034.22,3.158,14.01,39.6,22.74,0
A_si0.5_so1.25,to_opposite_inner,sub_cb_only,5,1979,1168,811,47975.16,55.0,-3340.28,16057.63,2.988,24.24,32.6,27.08,41
A_si0.5_so1.25,to_opposite_inner,R5,0,2162,1611,551,39851.49,50.0,-3340.28,14255.52,2.796,18.43,32.3,24.95,0
A_si0.5_so1.25,to_opposite_inner,R1,5,2607,2460,147,29679.7,46.7,-2937.41,10920.41,2.718,11.38,34.7,40.9,6
A_si0.5_so1.25,to_opposite_inner,R1,2,2655,2558,97,38419.61,51.7,-3050.58,14139.35,2.717,14.47,35.1,47.42,25
A_si0.5_so1.25,to_opposite_inner,R1,0,2571,2415,156,30506.38,46.7,-2937.41,11702.12,2.607,11.87,33.3,32.78,0
A_si0.5_so1.25,1.5x,R1,0,2724,2611,113,31783.07,46.7,-2937.41,12338.05,2.576,11.67,51.3,-15.67,0
A_si0.5_so1.25,1.5x,R1,5,2724,2611,113,31783.07,46.7,-2937.41,12338.05,2.576,11.67,51.3,-15.67,0
