main_config,trigger,switch_rule,return_rule,sub_config,total_trades,main_trades,sub_trades,sub_pct,overall_ev,main_mode_ev,sub_mode_ev,overall_pnl,max_drawdown,pnl_dd_ratio,win_rate_pct,static_main_ev,best_static_ev,ev_vs_static_main,ev_vs_best_static
i1.50_o2.00,rolling_win_rate,B,R3_N5,i0.75_o2.50,7716,5737,1979,25.6,6.15,7.19,3.14,47487.93,15823.15,3.001,28.58,4.73,4.73,1.42,1.42
i1.50_o2.00,rolling_win_rate,A,R3_N5,i0.75_o2.50,7716,5737,1979,25.6,6.15,7.19,3.14,47487.93,15823.15,3.001,28.58,4.73,4.73,1.42,1.42
i1.50_o2.00,rolling_win_rate,A,R1,i0.75_o2.50,7810,6587,1223,15.7,6.08,4.96,12.12,47492.46,17142.2,2.77,24.47,4.73,4.73,1.35,1.35
i1.50_o2.00,rolling_win_rate,B,R1,i0.75_o2.50,7810,6587,1223,15.7,6.08,4.96,12.12,47492.46,17142.2,2.77,24.47,4.73,4.73,1.35,1.35
i1.50_o2.00,consecutive_stops,A,R3_N3,i1.25_o2.00,7944,5514,2430,30.6,5.87,11.32,-6.49,46641.74,15743.4,2.963,21.78,4.73,4.73,1.14,1.14
i1.50_o2.00,consecutive_stops,B,R3_N5,i1.25_o2.00,8012,5997,2015,25.1,5.79,9.2,-4.38,46368.93,16110.98,2.878,21.12,4.73,4.73,1.06,1.06
i1.00_o2.00,rolling_win_rate,A,R3_N10,i1.50_o2.00,7325,4655,2670,36.5,5.76,2.64,11.2,42173.5,17025.9,2.477,31.15,1.74,4.73,4.02,1.03
i0.75_o2.50,consecutive_stops,A,R3_N10,i1.25_o2.00,7293,2897,4396,60.3,5.54,12.27,1.11,40416.69,19093.68,2.117,40.29,3.47,4.73,2.07,0.81
i0.75_o2.50,consecutive_stops,B,R3_N10,i1.25_o2.00,7293,2897,4396,60.3,5.54,12.27,1.11,40416.69,19093.68,2.117,40.29,3.47,4.73,2.07,0.81
i1.50_o2.00,consecutive_stops,A,R3_N10,i1.25_o2.00,7654,3258,4396,57.4,5.23,14.66,-1.76,40019.13,17416.48,2.298,24.03,4.73,4.73,0.5,0.5
i1.00_o2.00,bar_range,A,R1,i0.50_o2.00,8137,4816,3321,40.8,5.22,12.81,-5.79,42460.25,17255.04,2.461,48.14,1.74,4.73,3.48,0.49
