Hour,avg_stddev,avg_bar_range,inner_touch_per100,outer_touch_per100,count
0,23.5936,12.5782,59.6774,14.9462,930
1,20.4862,12.1313,60.5348,15.7219,935
2,20.1537,11.9108,58.8136,14.4068,1180
3,20.2949,12.3568,49.1575,11.3306,1721
4,21.6071,11.9086,61.3024,15.4039,1597
5,22.8763,11.6768,52.7057,12.8984,1349
6,21.2449,11.5848,48.331,7.9972,1438
7,20.4374,11.5795,61.4588,13.6941,2125
8,18.8705,9.5905,54.3567,10.0661,3179
9,15.4875,8.309,58.7965,12.4234,18280
10,14.7691,8.1086,58.5188,11.7836,20537
11,14.7612,8.0858,59.2312,12.5932,16493
12,14.4056,7.9335,57.3892,12.7236,12410
13,13.8134,7.7232,56.3606,12.5103,10903
14,13.428,7.8334,55.2209,11.9081,10094
15,11.6258,6.5464,54.4267,11.0929,13396
16,13.0432,8.2239,59.025,16.575,4000
18,30.7718,14.4664,62.6766,24.2379,1345
19,22.7436,12.1378,60.9756,13.9024,1230
20,21.79,11.5443,62.7778,16.3194,1440
21,19.5127,10.9529,60.6792,10.7239,1119
22,22.1088,11.134,61.0822,11.0302,961
23,21.3196,11.4942,57.8271,15.5374,856
