week,bl_n,bl_er,bl_pnl,sa_n,sa_er,sa_pnl,be_n,be_er,be_pnl,combo_n,combo_er,combo_pnl
2025-W39,285,66.66,18999.00,290,70.73,20511.00,376,40.41,15194.00,375,39.84,14939.00
2025-W40,283,42.99,12165.50,284,54.75,15549.00,369,46.56,17180.50,372,42.76,15907.00
2025-W41,480,77.37,37137.00,495,72.92,36093.50,597,43.25,25817.50,603,41.65,25112.50
2025-W42,727,74.14,53901.00,748,77.02,57613.00,886,60.46,53571.50,889,58.18,51725.50
2025-W43,384,60.18,23109.00,396,63.37,25093.50,482,57.91,27913.00,482,57.62,27773.50
2025-W44,399,87.98,35102.50,407,77.79,31658.50,512,48.50,24834.50,512,45.90,23498.50
2025-W45,601,74.93,45031.00,612,71.41,43703.50,723,51.46,37208.50,730,54.89,40067.00
2025-W46,659,71.01,46794.00,676,69.89,47244.50,811,55.12,44703.50,814,54.44,44311.00
2025-W47,1322,92.60,122412.50,1349,81.46,109893.50,1523,57.50,87571.50,1530,56.59,86589.50
2025-W48,370,92.68,34291.50,382,81.83,31257.50,454,59.64,27075.50,454,59.84,27168.50
2025-W49,471,88.89,41868.00,475,81.57,38745.50,569,59.87,34066.50,571,59.70,34087.00
2025-W50,515,71.70,36926.00,538,64.53,34719.50,639,43.37,27714.50,643,45.90,29515.00
