cycle_id,agg_bar_offset,agg_idx,tick_bar_offset,price,direction,pnl_ticks,mfe_ticks,mae_ticks,signed_chop,dchop,d2chop,signed_slope,dr2,dslope,r2,choppiness,slope_abs,agg_bar_range
285,0,10564,249,24858.75,1,28.000000,30.000000,0.000000,0.011111,-0.346032,-0.179919,0.125000,-0.909564,-4.250000,0.000991,0.011111,0.125000,7.500000
285,1,10565,499,24858.00,1,25.000000,32.000000,0.000000,0.257732,0.246621,0.592653,3.125000,0.660152,3.000000,0.661142,0.257732,3.125000,7.250000
285,2,10566,652,24861.75,1,40.000000,40.000000,0.000000,0.200000,-0.057732,-0.304353,2.250000,-0.033235,-0.875000,0.627907,0.200000,2.250000,7.750000
286,0,10570,249,24865.75,-1,28.000000,38.000000,2.000000,0.090909,-0.365881,-0.808178,1.125000,-0.712563,-3.500000,0.057692,0.090909,1.125000,10.000000
286,1,10571,278,24862.75,-1,40.000000,40.000000,2.000000,-0.192982,0.102073,0.467954,-2.750000,0.528737,1.625000,0.586430,0.192982,2.750000,7.750000
287,0,10584,229,24879.00,1,24.000000,32.000000,5.000000,-0.040816,-0.395081,-0.773836,-0.500000,-0.933643,-3.750000,0.026490,0.040816,0.500000,9.250000
287,1,10585,479,24881.50,1,34.000000,34.000000,5.000000,0.333333,0.292517,0.687598,3.625000,0.942404,3.125000,0.968894,0.333333,3.625000,4.750000
287,2,10586,505,24883.25,1,41.000000,41.000000,5.000000,0.337500,0.004167,-0.288350,3.375000,0.009192,-0.250000,0.978086,0.337500,3.375000,6.000000
288,0,10589,249,24879.50,1,14.000000,31.000000,9.000000,-0.065934,-0.427399,-0.892564,-0.750000,-0.892614,-3.875000,0.107143,0.065934,0.750000,10.000000
288,1,10590,499,24878.25,1,9.000000,31.000000,9.000000,0.083333,0.017399,0.444799,0.875000,0.230013,0.125000,0.337156,0.083333,0.875000,5.250000
288,2,10591,749,24880.25,1,17.000000,31.000000,9.000000,0.036585,-0.046748,-0.064147,0.375000,-0.199401,-0.500000,0.137755,0.036585,0.375000,5.250000
288,3,10592,999,24873.00,1,-12.000000,31.000000,17.000000,-0.262500,0.225915,0.272663,-2.625000,0.353701,2.250000,0.491456,0.262500,2.625000,9.500000
288,4,10593,1249,24879.25,1,13.000000,31.000000,17.000000,-0.044944,-0.217556,-0.443471,-0.500000,-0.475262,-2.125000,0.016194,0.044944,0.500000,7.500000
288,5,10594,1499,24876.25,1,1.000000,31.000000,17.000000,0.132653,0.087709,0.305265,1.625000,0.254062,1.125000,0.270256,0.132653,1.625000,7.500000
288,6,10595,1749,24871.75,1,-17.000000,31.000000,26.000000,-0.340909,0.208256,0.120547,-3.750000,0.716586,2.125000,0.986842,0.340909,3.750000,7.000000
288,7,10596,1999,24875.25,1,-3.000000,31.000000,26.000000,-0.047059,-0.293850,-0.502106,-0.500000,-0.942066,-3.250000,0.044776,0.047059,0.500000,6.750000
288,8,10597,2249,24869.25,1,-27.000000,31.000000,34.000000,-0.107527,0.060468,0.354318,-1.250000,0.127242,0.750000,0.172018,0.107527,1.250000,9.500000
288,9,10598,2499,24870.25,1,-23.000000,31.000000,34.000000,-0.240964,0.133437,0.072969,-2.500000,0.432820,1.250000,0.604839,0.240964,2.500000,4.500000
288,10,10599,2749,24873.25,1,-11.000000,31.000000,34.000000,0.195122,-0.045842,-0.179279,2.000000,0.318238,-0.500000,0.923077,0.195122,2.000000,6.500000
288,11,10600,2999,24878.75,1,11.000000,31.000000,34.000000,0.425000,0.229878,0.275720,4.250000,0.048896,2.250000,0.971973,0.425000,4.250000,9.000000
288,12,10601,3249,24883.25,1,29.000000,31.000000,34.000000,0.487805,0.062805,-0.167073,5.000000,0.024705,0.750000,0.996678,0.487805,5.000000,5.000000
288,13,10602,3499,24880.75,1,19.000000,38.000000,34.000000,0.100000,-0.387805,-0.450610,1.000000,-0.799956,-4.000000,0.196721,0.100000,1.000000,6.000000
288,14,10603,3749,24876.75,1,3.000000,38.000000,34.000000,-0.382353,0.282353,0.670158,-3.250000,0.785837,2.250000,0.982558,0.382353,3.250000,6.000000
