rank,week,category,bl_n,ab_n,retention,bl_wr,ab_wr,bl_sr,ab_sr,bl_pnl,ab_pnl,bl_er,ab_er
1,2025-W40,WEAKEST,279,283,1.0143,0.8029,0.8092,0.1971,0.1873,10461.00,12165.50,37.49,42.99
2,2025-W39,,288,285,0.9896,0.8229,0.8386,0.1771,0.1614,15497.50,18999.00,53.81,66.66
3,2025-W43,,390,384,0.9846,0.8179,0.8281,0.1821,0.1693,19721.50,23109.00,50.57,60.18
4,2025-W48,LOW,383,370,0.9661,0.8460,0.8676,0.1514,0.1297,28833.50,34291.50,75.28,92.68
5,2025-W44,,415,399,0.9614,0.8410,0.8647,0.1566,0.1353,28983.50,35102.50,69.84,87.98
6,2025-W50,,526,515,0.9791,0.8308,0.8427,0.1673,0.1553,32597.50,36926.00,61.97,71.70
7,2025-W41,MID,484,480,0.9917,0.8223,0.8500,0.1756,0.1500,27002.50,37137.00,55.79,77.37
8,2025-W49,,469,471,1.0043,0.8209,0.8641,0.1770,0.1338,25429.00,41868.00,54.22,88.89
9,2025-W45,,608,601,0.9885,0.8273,0.8453,0.1711,0.1531,37432.00,45031.00,61.57,74.93
10,2025-W46,GOOD,669,659,0.9851,0.8311,0.8437,0.1689,0.1563,40589.00,46794.00,60.67,71.01
11,2025-W42,,719,727,1.0111,0.8317,0.8459,0.1669,0.1541,45516.00,53901.00,63.30,74.14
12,2025-W47,BEST,1394,1322,0.9484,0.8479,0.8669,0.1521,0.1324,106722.00,122412.50,76.56,92.60
