cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,agg_bars_held
285,2025-W40,WEAKEST,2025-09-29 09:30:50,2025-09-29 09:31:03,LONG,24851.75,24861.75,REVERSAL,0,1,40.0,196.5,652,40.0,0.0,3
286,2025-W40,WEAKEST,2025-09-29 09:31:22,2025-09-29 09:31:29,SHORT,24872.75,24862.75,REVERSAL,0,1,40.0,196.5,278,40.0,2.0,2
287,2025-W40,WEAKEST,2025-09-29 09:32:45,2025-09-29 09:33:01,LONG,24873.0,24883.25,REVERSAL,0,1,41.0,201.5,505,41.0,5.0,3
288,2025-W40,WEAKEST,2025-09-29 09:33:19,2025-09-29 09:36:37,LONG,24876.0,24876.0,REVERSAL,1,2,40.0,193.0,5351,38.0,40.0,22
289,2025-W40,WEAKEST,2025-09-29 09:36:49,2025-09-29 09:37:08,LONG,24870.0,24880.0,REVERSAL,0,1,40.0,196.5,589,40.0,7.0,4
290,2025-W40,WEAKEST,2025-09-29 09:38:08,2025-09-29 09:39:01,LONG,24880.75,24881.0,REVERSAL,1,2,42.0,203.0,1355,29.0,40.0,7
291,2025-W40,WEAKEST,2025-09-29 09:45:00,2025-09-29 09:47:24,SHORT,24919.25,24939.25,HARD_STOP,1,2,-120.0,-607.0,6459,20.0,60.0,26
292,2025-W40,WEAKEST,2025-09-29 09:48:11,2025-09-29 09:48:31,LONG,24929.0,24939.0,REVERSAL,0,1,40.0,196.5,490,40.0,5.0,2
293,2025-W40,WEAKEST,2025-09-29 09:50:35,2025-09-29 09:50:55,SHORT,24950.75,24940.75,REVERSAL,0,1,40.0,196.5,520,40.0,4.0,3
294,2025-W40,WEAKEST,2025-09-29 09:54:04,2025-09-29 09:55:26,SHORT,24953.5,24943.5,REVERSAL,0,1,40.0,196.5,2186,40.0,8.0,10
295,2025-W40,WEAKEST,2025-09-29 09:55:36,2025-09-29 09:56:20,LONG,24931.75,24941.75,REVERSAL,0,1,40.0,196.5,1195,40.0,8.0,5
296,2025-W40,WEAKEST,2025-09-29 09:57:31,2025-09-29 09:57:56,SHORT,24943.25,24933.25,REVERSAL,0,1,40.0,196.5,471,40.0,12.0,2
297,2025-W40,WEAKEST,2025-09-29 09:58:09,2025-09-29 10:00:50,SHORT,24941.75,24941.75,REVERSAL,1,2,40.0,193.0,3764,37.0,50.0,16
298,2025-W40,WEAKEST,2025-09-29 10:08:00,2025-09-29 10:08:26,SHORT,24956.25,24946.25,REVERSAL,0,1,40.0,196.5,841,40.0,7.0,4
299,2025-W40,WEAKEST,2025-09-29 10:14:34,2025-09-29 10:19:30,LONG,24954.75,24934.75,HARD_STOP,1,2,-120.0,-607.0,4962,27.0,60.0,21
300,2025-W40,WEAKEST,2025-09-29 10:20:54,2025-09-29 10:22:14,SHORT,24928.0,24948.0,HARD_STOP,1,2,-120.0,-607.0,2300,11.0,60.0,10
301,2025-W40,WEAKEST,2025-09-29 10:27:21,2025-09-29 10:29:15,SHORT,24965.0,24955.0,REVERSAL,0,1,40.0,196.5,1112,40.0,3.0,5
302,2025-W40,WEAKEST,2025-09-29 10:33:31,2025-09-29 10:34:05,LONG,24943.0,24953.0,REVERSAL,0,1,40.0,196.5,482,40.0,0.0,2
303,2025-W40,WEAKEST,2025-09-29 10:35:11,2025-09-29 10:35:16,SHORT,24959.5,24949.5,REVERSAL,0,1,40.0,196.5,320,40.0,6.0,2
