combo,trigger,bucket,trade_count,win_rate,ev_per_trade_dollar,total_pnl_dollar,tercile_low_bound,tercile_high_bound
i1.50_o2.00,stddev_ratio,low,2798,16.62,0.29,812.26,0.399,0.6206
i1.50_o2.00,stddev_ratio,medium,2798,18.23,3.89,10873.27,0.399,0.6206
i1.50_o2.00,stddev_ratio,high,2798,21.52,10.02,28032.65,0.399,0.6206
i1.50_o2.00,bar_speed,low,2821,19.74,7.48,21114.39,9.0,15.9
i1.50_o2.00,bar_speed,medium,2795,19.03,3.84,10720.08,9.0,15.9
i1.50_o2.00,bar_speed,high,2777,17.57,2.95,8187.0,9.0,15.9
i1.50_o2.00,bar_range,low,2826,20.28,11.85,33499.99,6.375,8.6
i1.50_o2.00,bar_range,medium,2788,17.5,-6.43,-17929.65,6.375,8.6
i1.50_o2.00,bar_range,high,2780,18.56,8.69,24147.85,6.375,8.6
i1.50_o2.00,consecutive_stops,low,2964,16.57,1.06,3138.11,1.0,4.0
i1.50_o2.00,consecutive_stops,medium,2736,20.21,14.25,38987.61,1.0,4.0
i1.50_o2.00,consecutive_stops,high,2694,19.78,-0.89,-2407.53,1.0,4.0
i1.50_o2.00,price_position_vs_midline,low,2798,20.09,8.49,23746.79,0.2333,0.75
i1.50_o2.00,price_position_vs_midline,medium,2957,15.83,0.77,2284.41,0.2333,0.75
i1.50_o2.00,price_position_vs_midline,high,2639,20.73,5.19,13686.99,0.2333,0.75
i1.50_o2.00,band_touch_rate,low,3158,16.59,-0.9,-2846.06,0.4,0.7
i1.50_o2.00,band_touch_rate,medium,2848,18.89,10.76,30635.91,0.4,0.7
i1.50_o2.00,band_touch_rate,high,2388,21.57,5.0,11928.34,0.4,0.7
i1.50_o2.00,rolling_win_rate,low,3141,19.26,-0.82,-2561.62,0.1,0.2
i1.50_o2.00,rolling_win_rate,medium,2472,18.65,7.56,18692.15,0.1,0.2
i1.50_o2.00,rolling_win_rate,high,2188,18.24,10.24,22401.6,0.1,0.2
i1.50_o2.00,range_speed,low,2798,17.91,1.31,3670.11,0.4413,0.9286
i1.50_o2.00,range_speed,medium,2798,19.98,12.58,35204.61,0.4413,0.9286
i1.50_o2.00,range_speed,high,2797,18.48,0.41,1146.74,0.4413,0.9286
i1.50_o2.00,speed_range_regime,fast_wide,1226,18.84,2.72,3332.43,,
i1.50_o2.00,speed_range_regime,fast_narrow,2398,19.89,5.37,12871.28,,
i1.50_o2.00,speed_range_regime,slow_wide,2293,18.19,10.7,24542.72,,
i1.50_o2.00,speed_range_regime,slow_narrow,2476,18.26,-0.29,-724.96,,
i0.75_o2.50,stddev_ratio,low,2364,56.3,2.97,7022.99,0.3532,0.5468
i0.75_o2.50,stddev_ratio,medium,2363,58.32,5.83,13772.56,0.3532,0.5468
i0.75_o2.50,stddev_ratio,high,2363,58.4,1.62,3826.42,0.3532,0.5468
i0.75_o2.50,bar_speed,low,2389,57.22,-4.4,-10499.88,10.2,17.3
i0.75_o2.50,bar_speed,medium,2351,58.32,10.43,24517.5,10.2,17.3
i0.75_o2.50,bar_speed,high,2349,57.51,4.89,11476.62,10.2,17.3
i0.75_o2.50,bar_range,low,2384,58.1,4.89,11651.24,6.525,8.95
i0.75_o2.50,bar_range,medium,2350,57.19,-5.63,-13220.38,6.525,8.95
i0.75_o2.50,bar_range,high,2356,57.72,11.12,26191.12,6.525,8.95
