combo,trigger,correlation,n_trades
i1.50_o2.00,stddev_ratio,0.017291,8394
i1.50_o2.00,bar_speed,0.0008,8393
i1.50_o2.00,bar_range,0.007457,8394
i1.50_o2.00,consecutive_stops,-0.004389,8394
i1.50_o2.00,price_position_vs_midline,-0.002178,8394
i1.50_o2.00,band_touch_rate,0.015399,8394
i1.50_o2.00,rolling_win_rate,0.01425,7801
i1.50_o2.00,range_speed,-0.00879,8393
i0.75_o2.50,stddev_ratio,0.007703,7090
i0.75_o2.50,bar_speed,0.011154,7089
i0.75_o2.50,bar_range,0.009621,7090
i0.75_o2.50,consecutive_stops,0.003323,7090
i0.75_o2.50,price_position_vs_midline,-0.014018,7090
i0.75_o2.50,band_touch_rate,0.015448,7090
i0.75_o2.50,rolling_win_rate,-0.023258,6490
i0.75_o2.50,range_speed,-0.013307,7089
i1.00_o2.00,stddev_ratio,0.003828,7027
i1.00_o2.00,bar_speed,0.006238,7026
i1.00_o2.00,bar_range,0.00923,7027
i1.00_o2.00,consecutive_stops,0.004424,7027
i1.00_o2.00,price_position_vs_midline,0.002035,7027
i1.00_o2.00,band_touch_rate,0.007492,7027
i1.00_o2.00,rolling_win_rate,-0.00243,6427
i1.00_o2.00,range_speed,-0.019033,7026
i0.50_o2.00,stddev_ratio,0.007205,10747
i0.50_o2.00,bar_speed,0.003574,10746
i0.50_o2.00,bar_range,0.000935,10747
i0.50_o2.00,consecutive_stops,0.001307,10747
i0.50_o2.00,price_position_vs_midline,-0.005448,10747
i0.50_o2.00,band_touch_rate,0.00602,10747
i0.50_o2.00,rolling_win_rate,-0.009189,10148
i0.50_o2.00,range_speed,-0.022442,10746
i1.25_o2.00,stddev_ratio,0.011689,7375
i1.25_o2.00,bar_speed,0.001356,7374
i1.25_o2.00,bar_range,0.016052,7375
i1.25_o2.00,consecutive_stops,0.002071,7375
i1.25_o2.00,price_position_vs_midline,-0.002315,7375
i1.25_o2.00,band_touch_rate,0.01222,7375
i1.25_o2.00,rolling_win_rate,-0.004645,6781
i1.25_o2.00,range_speed,-0.000445,7374
