block_num,trade_start,trade_end,wins,losses,win_rate,total_pnl,class,std100,avg_range_10,avg_duration_10,band_width,range_bw_ratio,ema_position,price_position,stddev_ratio,hour
1,1,20,6,14,30.0,-1401.88,LOW,8.91519,4.25875,16.825,13.372785,0.350617,0.579068,0.735648,0.255614,10.5
2,21,40,8,12,40.0,15.52,MEDIUM,5.603392,3.83875,21.8,8.405088,0.462242,0.56011,0.567928,0.348495,12.5
3,41,60,10,10,50.0,900.0,MEDIUM,7.47102,4.655,11.645,11.20653,0.427044,0.597404,0.625529,0.389649,9.75
4,61,80,8,12,40.0,-34.86,MEDIUM,8.929243,4.64,17.45,13.393865,0.353395,0.472534,0.37207,0.734386,11.65
5,81,100,8,12,40.0,205.31,MEDIUM,9.101594,5.3675,14.15,13.652391,0.409816,0.470393,0.442456,0.376914,12.0
6,101,120,7,13,35.0,-634.19,LOW,8.70407,4.8575,15.325,13.056105,0.383712,0.521647,0.618418,0.357162,10.3
7,121,140,8,12,40.0,-491.0,MEDIUM,8.277665,4.8725,23.405,12.416497,0.435303,0.459274,0.438649,0.274329,13.35
8,141,160,10,10,50.0,187.21,MEDIUM,12.131836,6.4075,8.39,18.197754,0.399605,0.563569,0.464318,0.193577,9.65
9,161,180,11,9,55.0,1440.13,MEDIUM,11.761768,6.04625,12.495,17.642652,0.396744,0.525631,0.663417,0.345579,10.9
10,181,200,10,10,50.0,1234.08,MEDIUM,14.877456,6.83,13.39,22.316183,0.377578,0.408915,0.412546,0.398923,12.35
11,201,220,8,12,40.0,-404.59,MEDIUM,13.862649,7.50125,10.51,20.793974,0.385268,0.554208,0.564519,0.325869,9.8
12,221,240,7,13,35.0,-1310.26,LOW,11.622827,6.23375,24.885,17.434241,0.416585,0.469586,0.539188,0.342983,13.1
13,241,260,9,11,45.0,203.01,MEDIUM,10.028884,5.415,20.02,15.043326,0.404845,0.492785,0.363225,0.256048,11.35
14,261,280,8,12,40.0,-41.72,MEDIUM,8.692281,4.65375,21.395,13.038421,0.373511,0.575523,0.629378,0.342052,12.55
15,281,300,10,10,50.0,925.06,MEDIUM,16.309781,7.07875,11.565,24.464671,0.307944,0.571653,0.561607,0.650888,9.65
16,301,320,5,15,25.0,-1624.04,LOW,12.065466,5.80875,19.65,18.098199,0.348245,0.497582,0.516018,0.39694,12.35
17,321,340,10,10,50.0,1457.9,MEDIUM,13.658997,6.7725,15.79,20.488496,0.371237,0.554391,0.743067,0.272656,10.2
18,341,360,11,9,55.0,574.57,MEDIUM,6.489573,4.5125,31.21,9.73436,0.477695,0.529046,0.636362,0.19242,13.45
19,361,380,10,10,50.0,975.57,MEDIUM,10.978287,6.48625,12.475,16.467431,0.427406,0.506164,0.455537,0.238986,10.15
20,381,400,11,9,55.0,812.23,MEDIUM,10.384724,6.26375,20.785,15.577085,0.43362,0.435733,0.478527,0.42073,11.15
