date,n_trades,wins,win_rate,total_pnl,std100,avg_range_10,avg_duration_10,band_width,range_bw_ratio,ema_position,price_position,stddev_ratio,hour
10/1/2025,44,21,47.7,1342.59,9.924212,5.646591,22.595455,14.886319,0.429926,0.517738,0.599326,0.226473,11.840909
10/10/2025,90,43,47.8,3317.67,19.170944,10.533611,9.61,28.756415,0.377023,0.504453,0.496178,0.406031,11.666667
10/13/2025,43,19,44.2,-163.56,14.371328,7.8,15.372093,21.556992,0.413275,0.488566,0.506651,0.368371,11.418605
10/14/2025,20,6,30.0,-2647.77,21.464775,8.83,11.49,32.197162,0.298371,0.605386,0.591621,0.390161,10.55
10/15/2025,49,20,40.8,-1565.74,14.23046,8.279592,15.391837,21.34569,0.430497,0.447258,0.400242,0.203453,11.244898
10/16/2025,70,30,42.9,2502.0,19.350878,10.197143,11.137143,29.026316,0.369658,0.527117,0.475889,0.411858,11.357143
10/17/2025,59,28,47.5,4224.42,21.162284,10.841949,12.261017,31.743427,0.374868,0.447,0.508919,0.337956,11.0
10/2/2025,47,24,51.1,1799.73,10.112797,6.126064,19.168085,15.169195,0.435382,0.481145,0.514622,0.329196,11.0
10/20/2025,39,18,46.2,-251.42,9.266268,6.36859,21.882051,13.899402,0.501942,0.561353,0.57433,0.286654,11.461538
10/21/2025,43,23,53.5,2505.18,11.319565,6.144186,22.295349,16.979347,0.400252,0.48068,0.484436,0.453592,11.372093
10/22/2025,27,8,29.6,-2598.43,16.047757,7.793519,11.418519,24.071635,0.346009,0.448446,0.294472,0.370087,10.333333
10/23/2025,27,8,29.6,-2669.28,13.921249,6.962037,13.574074,20.881874,0.359867,0.558541,0.653204,0.423264,10.666667
10/24/2025,20,4,20.0,-2619.62,14.38245,6.6375,13.54,21.573674,0.329669,0.463631,0.481638,0.399772,9.75
10/27/2025,33,9,27.3,-1381.06,8.701806,5.39697,21.109091,13.052709,0.44164,0.493132,0.488891,0.271447,11.151515
10/28/2025,32,14,43.8,252.16,11.641438,5.723437,18.528125,17.462157,0.352618,0.549845,0.651287,0.407271,11.28125
10/29/2025,64,31,48.4,3854.63,13.957203,9.576562,15.915625,20.935804,0.476381,0.511767,0.475343,0.507553,12.125
10/3/2025,52,21,40.4,-877.27,11.527898,6.262981,17.198077,17.291847,0.38616,0.541674,0.520185,0.351821,11.653846
10/30/2025,41,19,46.3,804.73,18.586218,8.909756,13.936585,27.879327,0.366933,0.536013,0.43704,0.37676,11.073171
10/31/2025,49,21,42.9,-101.62,12.536511,7.703571,14.644898,18.804766,0.451549,0.454941,0.555508,0.28702,11.469388
10/6/2025,31,14,45.2,1339.81,10.032635,6.095161,23.087097,15.048953,0.432413,0.51347,0.515277,0.297187,10.806452
10/7/2025,51,23,45.1,334.42,11.977015,6.232843,18.437255,17.965523,0.3766,0.504297,0.547398,0.375242,11.588235
10/8/2025,23,5,21.7,-2158.7,9.699266,4.626087,20.708696,14.5489,0.335673,0.559367,0.566611,0.322881,11.086957
10/9/2025,37,12,32.4,-1235.88,10.833187,6.110811,14.624324,16.24978,0.419181,0.459666,0.460282,0.440514,10.810811
11/10/2025,58,30,51.7,3327.72,11.308907,6.455603,15.32069,16.96336,0.41415,0.521289,0.50611,0.238833,11.741379
11/11/2025,60,24,40.0,-36.03,12.627928,7.13375,17.603333,18.941892,0.425887,0.512975,0.499819,0.353439,11.633333
11/12/2025,7,0,0.0,-2581.07,18.236232,7.910714,11.214286,27.354348,0.345754,0.406312,0.346462,0.28365,9.571429
11/13/2025,9,2,22.2,-2547.14,21.207648,9.341667,5.811111,31.811472,0.325306,0.405832,0.21609,0.238248,9.222222
11/14/2025,65,25,38.5,-1506.37,20.859644,9.875769,9.887692,31.289466,0.352951,0.469071,0.499278,0.356827,11.138462
11/17/2025,37,14,37.8,-2572.49,21.934082,10.034459,12.508108,32.901123,0.345345,0.457564,0.400979,0.320084,11.027027
11/18/2025,92,45,48.9,5405.37,21.527545,13.359239,11.931522,32.291317,0.466656,0.418077,0.466207,0.365133,11.576087
11/19/2025,76,42,55.3,7909.42,18.883993,11.582237,12.319737,28.325989,0.463676,0.463448,0.486004,0.349896,11.697368
11/20/2025,79,40,50.6,11091.27,25.20017,14.550949,8.308861,37.800255,0.407572,0.49629,0.451901,0.326823,11.658228
11/21/2025,75,33,44.0,4352.69,27.283139,14.751,10.701333,40.924709,0.390747,0.48102,0.449934,0.421633,11.04
11/24/2025,59,30,50.8,7974.89,16.889585,9.779237,16.005085,25.334377,0.426786,0.453588,0.524897,0.290535,11.118644
11/25/2025,48,25,52.1,3491.92,20.462694,10.86875,12.68125,30.694041,0.398313,0.471628,0.506613,0.405012,10.625
11/26/2025,48,22,45.8,1549.57,14.818378,8.269792,18.020833,22.227567,0.379762,0.532289,0.527366,0.501807,11.479167
11/27/2025,2,0,0.0,-400.98,9.82455,7.75,156.6,14.736825,0.526419,0.163693,0.090643,0.633222,9.0
11/28/2025,18,8,44.4,-130.06,16.561269,8.465278,39.65,24.841904,0.365238,0.564507,0.700951,0.518624,10.722222
11/3/2025,43,20,46.5,798.78,13.015302,7.002907,20.781395,19.522953,0.394901,0.527098,0.493132,0.360153,11.604651
11/4/2025,52,24,46.2,2849.53,14.878811,7.824038,14.551923,22.318217,0.375112,0.501048,0.531285,0.365162,11.576923
11/5/2025,50,21,42.0,-934.28,13.115912,7.7895,17.082,19.673868,0.426034,0.467832,0.491194,0.289669,11.22
11/6/2025,62,24,38.7,-2687.33,19.501123,9.338306,10.130645,29.251685,0.354698,0.437446,0.409008,0.377485,10.967742
11/7/2025,34,12,35.3,-2679.24,19.50429,10.258088,9.476471,29.256435,0.37149,0.469903,0.45728,0.326896,10.147059
12/1/2025,28,10,35.7,-2660.3,15.558275,9.127679,8.989286,23.337412,0.441971,0.561006,0.542468,0.396226,9.678571
12/10/2025,51,25,49.0,-13.0,18.097154,8.266176,18.935294,27.145731,0.358152,0.502062,0.502541,0.502584,12.27451
